fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_hammonsb,results_blankenshipd,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_hammonsb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
34001,Atlantic,131980,114510,148,151,Released separately AFTER election night,98,134885,98%,98% reported,edison,2,some,,14118,,,68978,60957,902,381,341,155,104,95,67,61032,51884,683,294,274,120,88,84,51,2020-11-09T16:36:01Z,6.07744,D+6,Biden +6,democrat,-6.07744,118041,-7,113344,-16.83,new-jersey,2020-11-11T00:35:04.810148Z
34003,Bergen,448647,428024,522,561,Merged into voters' home precincts AFTER election night,93,482190,93%,93% reported,edison,2,some,,45653,,,259358,182831,2554,1611,1203,314,269,291,216,250139,171754,2382,1611,1137,289,245,269,198,2020-11-06T23:53:54Z,17.05729,D+17,Biden +17,democrat,-17.05729,422213,-13.2,385990,-11.32,new-jersey,2020-11-11T00:35:04.810148Z
34005,Burlington,242911,203612,352,365,Merged into voters' home precincts and released with cumulative results,96,251784,96%,96% reported,edison,2,some,,31397,,,144154,94755,2027,751,542,153,126,330,73,126131,74502,1449,620,409,114,85,249,53,2020-11-10T17:22:58Z,20.33625,D+20,Biden +20,democrat,-20.33625,221283,-14.7,216339,-18.02,new-jersey,2020-11-11T00:35:04.810148Z
34007,Camden,243151,0,321,345,Released separately AFTER election night,93,260581,93%,93% reported,edison,2,unknown,,59568,,,160606,78600,1717,901,712,171,141,200,103,0,0,0,0,0,0,0,0,0,2020-11-09T21:20:36Z,33.72637,D+34,Biden +34,democrat,-33.72637,229047,-32.3,225949,-37.27,new-jersey,2020-11-11T00:35:04.810148Z
34009,Cape May,57163,49516,127,127,Merged into voters' home precincts and released with cumulative results,100,56030,>98%,>98% reported,edison,4,some,,9231,,,23583,32770,304,209,138,16,58,29,56,21159,27756,215,174,105,10,43,20,34,2020-11-10T20:32:43Z,16.07158,R+16,Trump +16,republican,16.07158,49257,19.7,48093,8.58,new-jersey,2020-11-11T00:35:04.810148Z
34011,Cumberland,57738,17519,85,92,Released separately AFTER election night,91,63586,91%,91% reported,edison,4,some,,5984,,,29845,27099,355,154,124,20,65,29,47,11098,6267,63,28,21,7,15,9,11,2020-11-10T08:36:43Z,4.75597,D+5,Biden +5,democrat,-4.75597,54331,-6.1,55369,-24.2,new-jersey,2020-11-11T00:35:04.810148Z
34013,Essex,291105,0,447,550,Released as a separate subtotal as first report of the night,81,357574,81%,81% reported,edison,2,unknown,,24131,,,224615,63971,1093,0,806,230,88,100,202,0,0,0,0,0,0,0,0,0,2020-11-05T22:39:35Z,55.18421,D+55,Biden +55,democrat,-55.18421,312884,-56.8,303295,-56.78,new-jersey,2020-11-11T00:35:04.810148Z
34015,Gloucester,168093,149317,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,unknown,,25391,,,84120,80700,1542,769,435,81,144,116,186,76925,69839,1181,589,349,67,122,98,147,2020-11-05T22:00:35Z,2.03459,D+2,Biden +2,democrat,-2.03459,141254,0.5,135570,-10.74,new-jersey,2020-11-11T00:35:04.810148Z
34017,Hudson,213606,0,384,454,Released as a separate subtotal as first report of the night,85,252281,85%,85% reported,edison,2,some,,14745,,,157349,53435,1054,522,684,180,219,72,91,0,0,0,0,0,0,0,0,0,2020-11-09T19:59:36Z,48.64751,D+49,Biden +49,democrat,-48.64751,220542,-52.1,197693,-56.02,new-jersey,2020-11-11T00:35:04.810148Z
34019,Hunterdon,78998,72648,112,116,Released as a separate subtotal as first report of the night,97,81461,97%,97% reported,edison,4,some,,13401,,,37419,39751,864,397,358,40,70,64,35,35318,35808,698,326,314,38,59,57,30,2020-11-07T00:40:03Z,2.95197,R+3,Trump +3,republican,2.95197,71660,13.7,66624,17.73,new-jersey,2020-11-11T00:35:04.810148Z
