fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
56001,Albany,18612,0,14,14,Released as a separate subtotal as first report of the night,100,18255,>98%,>98% reported,edison,6,all,,7554,,,8575,9091,595,178,173,0,0,0,0,0,2020-11-04T10:43:35Z,2.7724,D+3,Biden +3,democrat,-2.7724,17060,4.2,16300,2.5,wyoming,2020-11-11T00:35:22.423125Z
56003,Big Horn,5752,0,13,13,Merged into voters' home precincts and released with cumulative results,97,5955,97%,97% reported,edison,2,some,,1650,,,4806,788,74,46,38,0,0,0,0,0,2020-11-04T10:43:35Z,69.85396,R+70,Trump +70,republican,69.85396,5317,65.1,5324,64.18,wyoming,2020-11-11T00:35:22.423125Z
56005,Campbell,19564,19564,15,37,Merged into voters' home precincts and released with cumulative results,100,19564,>98%,>98% reported,edison,6,all,,8522,,,16973,1935,434,120,102,16973,1935,434,120,102,2020-11-04T10:43:36Z,76.86567,R+77,Trump +77,republican,76.86567,18199,79.4,17571,72.79,wyoming,2020-11-11T00:35:22.423125Z
56007,Carbon,6662,2865,18,19,Merged into voters' home precincts and released with cumulative results,92,7233,92%,92% reported,edison,2,some,,2373,,,5012,1427,142,49,32,1817,970,43,23,12,2020-11-04T10:43:37Z,53.81267,R+54,Trump +54,republican,53.81267,6374,49.1,6509,31.31,wyoming,2020-11-11T00:35:22.423125Z
56009,Converse,6969,0,18,19,Merged into voters' home precincts and released with cumulative results,94,7452,94%,94% reported,edison,2,some,,2742,,,5916,861,121,43,28,0,0,0,0,0,2020-11-04T10:43:37Z,72.53551,R+73,Trump +73,republican,72.53551,6654,72.9,6343,62.34,wyoming,2020-11-11T00:35:22.423125Z
56011,Crook,4119,0,16,17,Merged into voters' home precincts and released with cumulative results,96,4285,96%,96% reported,edison,2,some,,1090,,,3651,378,57,19,14,0,0,0,0,0,2020-11-04T10:43:38Z,79.46103,R+79,Trump +79,republican,79.46103,3826,80.4,3685,72.81,wyoming,2020-11-11T00:35:22.423125Z
56013,Fremont,18111,0,31,33,Merged into voters' home precincts and released with cumulative results,95,19066,95%,95% reported,edison,2,unknown,,5466,,,12007,5519,321,157,107,0,0,0,0,0,2020-11-04T10:43:38Z,35.82353,R+36,Trump +36,republican,35.82353,17023,40.9,16939,33.9,wyoming,2020-11-11T00:35:22.423125Z
56015,Goshen,6241,0,24,25,Merged into voters' home precincts and released with cumulative results,96,6492,96%,96% reported,edison,2,unknown,,1994,,,4878,1203,86,43,31,0,0,0,0,0,2020-11-04T10:43:39Z,58.88479,R+59,Trump +59,republican,58.88479,5796,60.3,5806,46.85,wyoming,2020-11-11T00:35:22.423125Z
56017,Hot Springs,2577,0,4,4,Merged into voters' home precincts and released with cumulative results,89,2896,89%,89% reported,edison,2,unknown,,862,,,1999,482,61,24,11,0,0,0,0,0,2020-11-04T10:43:40Z,58.8669,R+59,Trump +59,republican,58.8669,2586,59.5,2515,54.55,wyoming,2020-11-11T00:35:22.423125Z
56019,Johnson,4914,0,16,16,Merged into voters' home precincts and released with cumulative results,99,4947,>98%,>98% reported,edison,2,some,,1765,,,3881,897,86,27,23,0,0,0,0,0,2020-11-04T10:43:42Z,60.72446,R+61,Trump +61,republican,60.72446,4417,64.3,4259,61.38,wyoming,2020-11-11T00:35:22.423125Z
56021,Laramie,44865,0,60,61,Merged into voters' home precincts and released with cumulative results,98,45885,98%,98% reported,edison,2,unknown,,24234,,,27814,15181,1060,491,319,0,0,0,0,0,2020-11-04T10:43:42Z,28.15781,R+28,Trump +28,republican,28.15781,40969,32.4,39505,24.32,wyoming,2020-11-11T00:35:22.423125Z
56023,Lincoln,10498,0,15,15,Merged into voters' home precincts and released with cumulative results,99,10600,>98%,>98% reported,edison,4,some,,3246,,,8673,1509,167,71,78,0,0,0,0,0,2020-11-04T10:43:43Z,68.24157,R+68,Trump +68,republican,68.24157,8875,63.9,8618,67.96,wyoming,2020-11-11T00:35:22.423125Z
56025,Natrona,35196,17418,43,46,Released as a precinct as first report of the night,94,37350,94%,94% reported,edison,4,all,,11960,,,25267,8528,895,294,212,10730,6076,352,142,118,2020-11-04T10:43:43Z,47.55938,R+48,Trump +48,republican,47.55938,33348,50.9,32373,40.69,wyoming,2020-11-11T00:35:22.423125Z
56027,Niobrara,1308,380,5,6,None,89,1472,89%,89% reported,edison,2,some,,480,,,1118,155,21,11,3,286,85,6,2,1,2020-11-06T02:42:53Z,73.62385,R+74,Trump +74,republican,73.62385,1314,76.2,1276,64.42,wyoming,2020-11-11T00:35:22.423125Z
56029,Park,16699,0,30,30,Merged into voters' home precincts and released with cumulative results,100,16699,>98%,>98% reported,edison,6,all,,6325,,,12802,3404,281,97,115,0,0,0,0,0,2020-11-04T10:43:44Z,56.27882,R+56,Trump +56,republican,56.27882,15095,56.8,14608,56.87,wyoming,2020-11-11T00:35:22.423125Z
56031,Platte,4923,1979,13,13,Merged into voters' home precincts and released with cumulative results,97,5072,97%,97% reported,edison,2,all,,1712,,,3898,890,65,49,21,1322,597,23,24,13,2020-11-04T10:43:45Z,61.10095,R+61,Trump +61,republican,61.10095,4529,60,4531,42.22,wyoming,2020-11-11T00:35:22.423125Z
56033,Sheridan,16428,0,29,29,None,100,16428,>98%,>98% reported,edison,6,all,,5912,,,11843,4043,339,114,89,0,0,0,0,0,2020-11-04T10:43:45Z,47.47991,R+47,Trump +47,republican,47.47991,14510,50.6,14322,46.43,wyoming,2020-11-11T00:35:22.423125Z
56035,Sublette,4970,0,7,7,Merged into voters' home precincts and released with cumulative results,99,5000,>98%,>98% reported,edison,2,some,,1936,,,3957,882,71,37,23,0,0,0,0,0,2020-11-04T10:43:45Z,61.87123,R+62,Trump +62,republican,61.87123,4390,63,4376,61.81,wyoming,2020-11-11T00:35:22.423125Z
56037,Sweetwater,16489,0,32,37,Merged into voters' home precincts and released with cumulative results,100,16489,>98%,>98% reported,edison,6,all,,4187,,,12197,3822,354,116,0,0,0,0,0,0,2020-11-04T10:43:45Z,50.79144,R+51,Trump +51,republican,50.79144,17130,52.1,16895,39.38,wyoming,2020-11-11T00:35:22.423125Z
56039,Teton,14677,0,19,19,Released as a separate subtotal as first report of the night,100,14142,>98%,>98% reported,edison,2,unknown,,7958,,,4341,9848,255,89,144,0,0,0,0,0,2020-11-04T10:43:46Z,37.52129,D+38,Biden +38,democrat,-37.52129,12627,-26.9,11464,-11.82,wyoming,2020-11-11T00:35:22.423125Z
56041,Uinta,9400,3907,10,10,Merged into voters' home precincts and released with cumulative results,99,9486,>98%,>98% reported,edison,2,some,,3219,,,7494,1591,172,79,64,2743,1048,51,37,28,2020-11-04T10:43:46Z,62.79787,R+63,Trump +63,republican,62.79787,8470,58.5,8539,58.4,wyoming,2020-11-11T00:35:22.423125Z
56043,Washakie,4012,0,5,5,Merged into voters' home precincts and released with cumulative results,92,4381,92%,92% reported,edison,2,unknown,,1323,,,3245,651,65,32,19,0,0,0,0,0,2020-11-04T10:43:47Z,64.65603,R+65,Trump +65,republican,64.65603,3814,62.4,3944,56.29,wyoming,2020-11-11T00:35:22.423125Z
56045,Weston,3542,0,7,8,Merged into voters' home precincts and released with cumulative results,90,3949,90%,90% reported,edison,2,some,,1131,,,3107,360,46,20,9,0,0,0,0,0,2020-11-04T10:43:48Z,77.55505,R+78,Trump +78,republican,77.55505,3526,77.5,3359,71.42,wyoming,2020-11-11T00:35:22.423125Z
