fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_kennedya,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53001,Adams,5109,0,29,31,None,93,5512,93%,93% reported,edison,4,all,,,,,1562,3449,71,15,8,4,0,0,0,0,0,0,0,0,2020-11-07T00:56:43Z,36.93482,R+37,Trump +37,republican,36.93482,4782,37.3,4793,34.03,washington,2020-11-11T00:34:07.765066Z
53003,Asotin,11847,0,26,26,None,100,11386,>98%,>98% reported,edison,4,all,,,,,4233,7259,254,35,9,5,52,0,0,0,0,0,0,0,2020-11-06T22:04:41Z,25.54233,R+26,Trump +26,republican,25.54233,9974,26.1,9901,16.68,washington,2020-11-11T00:34:07.765066Z
53005,Benton,101478,0,245,245,None,100,92031,>98%,>98% reported,edison,4,unknown,,,,,38081,59746,2655,344,116,55,481,0,0,0,0,0,0,0,2020-11-10T23:57:50Z,21.34946,R+21,Trump +21,republican,21.34946,83592,24.9,79559,26.79,washington,2020-11-11T00:34:07.765066Z
53007,Chelan,42548,0,91,91,None,100,38387,>98%,>98% reported,edison,4,unknown,,,,,19005,22476,697,145,43,21,161,0,0,0,0,0,0,0,2020-11-07T00:52:38Z,8.15785,R+8,Trump +8,republican,8.15785,34433,14.8,32250,16.4,washington,2020-11-11T00:34:07.765066Z
53009,Clallam,48419,0,67,67,None,100,45376,>98%,>98% reported,edison,4,unknown,,,,,24335,22732,870,230,59,41,152,0,0,0,0,0,0,0,2020-11-11T00:25:48Z,3.31068,D+3,Biden +3,democrat,-3.31068,40533,2.8,38066,-0.38,washington,2020-11-11T00:34:07.765066Z
53011,Clark,271285,0,314,314,None,100,230184,>98%,>98% reported,edison,2,unknown,,,,,139219,125334,5254,1104,235,139,0,0,0,0,0,0,0,0,2020-11-10T01:04:42Z,5.11823,D+5,Biden +5,democrat,-5.11823,208485,-0.2,190805,-0.23,washington,2020-11-11T00:34:07.765066Z
53013,Columbia,2397,0,12,13,None,92,2598,92%,92% reported,edison,2,unknown,,,,,644,1699,46,4,1,3,0,0,0,0,0,0,0,0,2020-11-04T10:43:28Z,44.01335,R+44,Trump +44,republican,44.01335,2229,43.6,2259,40.86,washington,2020-11-11T00:34:07.765066Z
53015,Cowlitz,59608,0,78,78,None,100,52546,>98%,>98% reported,edison,2,unknown,,,,,23802,34215,1261,240,45,45,0,0,0,0,0,0,0,0,2020-11-11T00:03:53Z,17.46913,R+17,Trump +17,republican,17.46913,47142,13.3,44620,-4.44,washington,2020-11-11T00:34:07.765066Z
53017,Douglas,20567,0,47,47,None,100,18500,>98%,>98% reported,edison,2,unknown,,,,,7554,12619,315,55,13,11,0,0,0,0,0,0,0,0,2020-11-07T00:16:41Z,24.62683,R+25,Trump +25,republican,24.62683,15901,29.5,14942,28.5,washington,2020-11-11T00:34:07.765066Z
53019,Ferry,4308,0,19,19,None,100,4141,>98%,>98% reported,edison,4,some,,,,,1465,2735,74,10,5,3,16,0,0,0,0,0,0,0,2020-11-06T20:52:38Z,29.48004,R+29,Trump +29,republican,29.48004,3644,30.3,3440,20.38,washington,2020-11-11T00:34:07.765066Z
53021,Franklin,31330,0,105,105,None,100,27278,>98%,>98% reported,edison,4,some,,,,,12786,17583,663,106,31,22,139,0,0,0,0,0,0,0,2020-11-06T00:08:38Z,15.3112,R+15,Trump +15,republican,15.3112,24614,17.6,22643,23.63,washington,2020-11-11T00:34:07.765066Z
53023,Garfield,1478,0,12,12,None,100,1470,>98%,>98% reported,edison,4,all,,,,,362,1062,42,2,1,1,8,0,0,0,0,0,0,0,2020-11-05T18:21:46Z,47.3613,R+47,Trump +47,republican,47.3613,1266,45.2,1278,45.15,washington,2020-11-11T00:34:07.765066Z
53025,Grant,36951,0,75,75,None,100,32598,>98%,>98% reported,edison,4,unknown,,,,,11572,24442,691,106,42,25,73,0,0,0,0,0,0,0,2020-11-11T00:13:48Z,34.82991,R+35,Trump +35,republican,34.82991,29258,36.6,27558,32.3,washington,2020-11-11T00:34:07.765066Z
53027,Grays Harbor,36652,0,77,77,None,100,32987,>98%,>98% reported,edison,4,all,,,,,16623,18960,721,193,24,30,101,0,0,0,0,0,0,0,2020-11-06T23:41:40Z,6.37619,R+6,Trump +6,republican,6.37619,29301,7,28684,-14.11,washington,2020-11-11T00:34:07.765066Z
53029,Island,53089,0,48,48,None,100,49307,>98%,>98% reported,edison,2,unknown,,,,,29003,22535,1261,214,51,25,0,0,0,0,0,0,0,0,2020-11-07T00:16:40Z,12.18331,D+12,Biden +12,democrat,-12.18331,44273,-5.6,42099,-4.45,washington,2020-11-11T00:34:07.765066Z
53031,Jefferson,24352,0,39,39,None,100,23317,>98%,>98% reported,edison,2,unknown,,,,,17067,6786,315,140,33,11,0,0,0,0,0,0,0,0,2020-11-11T00:16:46Z,42.2183,D+42,Biden +42,democrat,-42.2183,20879,-31.7,19829,-31.94,washington,2020-11-11T00:34:07.765066Z
53033,King,1195188,0,2642,2642,None,100,1148274,>98%,>98% reported,edison,4,all,,,,,902562,266988,17856,5550,1579,653,0,0,0,0,0,0,0,0,2020-11-10T23:52:48Z,53.17774,D+53,Biden +53,democrat,-53.17774,1028450,-48.8,967154,-40.56,washington,2020-11-11T00:34:07.765066Z
53035,Kitsap,156434,0,215,215,None,100,142965,>98%,>98% reported,edison,4,some,,,,,89660,61081,4738,709,141,105,0,0,0,0,0,0,0,0,2020-11-10T00:34:38Z,18.26905,D+18,Biden +18,democrat,-18.26905,128770,-11,123367,-11.7,washington,2020-11-11T00:34:07.765066Z
53037,Kittitas,25579,0,62,62,None,100,21798,>98%,>98% reported,edison,4,all,,,,,11004,13778,512,95,19,9,162,0,0,0,0,0,0,0,2020-11-07T03:30:41Z,10.84483,R+11,Trump +11,republican,10.84483,19615,13.3,18171,10.09,washington,2020-11-11T00:34:07.765066Z
53039,Klickitat,12104,0,28,29,None,98,12384,98%,98% reported,edison,4,all,,,,,5375,6508,158,44,9,10,0,0,0,0,0,0,0,0,2020-11-10T01:14:38Z,9.36054,R+9,Trump +9,republican,9.36054,11074,14.4,10274,6.99,washington,2020-11-11T00:34:07.765066Z
53041,Lewis,45155,0,95,95,None,100,42800,>98%,>98% reported,edison,4,all,,,,,14462,29318,920,173,42,20,220,0,0,0,0,0,0,0,2020-11-10T00:49:38Z,32.90001,R+33,Trump +33,republican,32.90001,35199,35.1,34044,22.88,washington,2020-11-11T00:34:07.765066Z
53043,Lincoln,6942,0,46,46,None,100,6753,>98%,>98% reported,edison,4,unknown,,,,,1694,5095,108,15,3,1,26,0,0,0,0,0,0,0,2020-11-05T21:22:39Z,48.99165,R+49,Trump +49,republican,48.99165,5861,48.9,5872,40.7,washington,2020-11-11T00:34:07.765066Z
53045,Mason,36572,0,43,43,None,100,32470,>98%,>98% reported,edison,4,unknown,,,,,16999,18342,853,169,44,25,140,0,0,0,0,0,0,0,2020-11-05T01:02:54Z,3.67221,R+4,Trump +4,republican,3.67221,29003,5.8,28235,-7.09,washington,2020-11-11T00:34:07.765066Z
