fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
06001,Alameda,676753,292999,472,521,"Released as first report, then NOT included in cumulative results",91,745863,91%,91% reported,edison,2,some,,533518,,,548073,115771,5139,3884,2064,1822,0,250884,37712,1745,1383,704,571,0,2020-11-10T02:36:41Z,63.87885,D+64,Biden +64,democrat,-63.87885,659543,-63.5,595642,-60.69,california,2020-11-11T00:33:57.940025Z
06003,Alpine,736,736,0,5,Other,100,738,>98%,>98% reported,edison,4,unknown,,1050,,,473,238,14,4,2,0,5,473,238,14,4,2,0,5,2020-11-08T17:21:32Z,31.92935,D+32,Biden +32,democrat,-31.92935,602,-19.4,653,-23.43,california,2020-11-11T00:33:57.940025Z
06005,Amador,22358,17849,30,30,Released as a separate subtotal as first report of the night,100,20217,>98%,>98% reported,edison,4,none,,17509,,,8147,13571,349,110,41,64,76,7294,10068,248,84,29,50,76,2020-11-10T22:05:45Z,24.25977,R+24,Trump +24,republican,24.25977,17963,24.9,17649,19.55,california,2020-11-11T00:33:57.940025Z
06007,Butte,99780,0,143,157,Released as a separate subtotal as first report of the night,92,108943,92%,92% reported,edison,2,unknown,,90845,,,49402,47568,1728,495,275,312,0,0,0,0,0,0,0,0,2020-11-10T02:36:40Z,1.83804,D+1.8,Biden +1.8,democrat,-1.83804,97002,3.7,90752,1.99,california,2020-11-11T00:33:57.940025Z
06009,Calaveras,26717,18851,29,29,Merged into voters' home precincts and released with cumulative results,100,26375,>98%,>98% reported,edison,4,some,,23685,,,9845,16287,352,120,44,69,0,8168,10318,208,82,28,47,0,2020-11-09T23:35:36Z,24.11199,R+24,Trump +24,republican,24.11199,23531,23.7,21786,16.96,california,2020-11-11T00:33:57.940025Z
06011,Colusa,7672,0,18,18,None,100,4235,>98%,>98% reported,edison,4,all,,5440,,,3114,4399,79,25,27,28,0,0,0,0,0,0,0,0,2020-11-07T02:35:36Z,16.74922,R+17,Trump +17,republican,16.74922,6697,13.3,6034,21.33,california,2020-11-11T00:33:57.940025Z
06013,Contra Costa,498340,313531,897,957,Released as a separate subtotal as first report of the night,94,531440,94%,94% reported,edison,4,all,,393525,,,363370,125703,4734,2069,980,1458,26,244659,63738,2639,1137,556,802,0,2020-11-07T00:34:37Z,47.69174,D+48,Biden +48,democrat,-47.69174,473014,-43,438226,-35.21,california,2020-11-11T00:33:57.940025Z
06015,Del Norte,11066,0,18,18,Released as a separate subtotal as first report of the night,100,10896,>98%,>98% reported,edison,2,unknown,,8414,,,4565,6201,141,75,33,51,0,0,0,0,0,0,0,0,2020-11-07T00:34:37Z,14.78402,R+15,Trump +15,republican,14.78402,9558,17.3,8770,9.38,california,2020-11-11T00:33:57.940025Z
06017,El Dorado,113446,82534,202,202,Released as a separate subtotal as first report of the night,100,106694,>98%,>98% reported,edison,4,unknown,,102390,,,50532,60259,1820,445,106,226,58,41456,39485,1075,296,68,142,12,2020-11-07T01:40:39Z,8.57412,R+9,Trump +9,republican,8.57412,95149,13.5,88774,17.81,california,2020-11-11T00:33:57.940025Z
06019,Fresno,356245,231358,384,384,Merged into voters' home precincts and released with cumulative results,100,321844,>98%,>98% reported,edison,4,all,,227374,,,188224,160689,3910,1440,640,1101,241,130464,96873,2133,903,375,560,50,2020-11-10T23:34:44Z,7.72923,D+8,Biden +8,democrat,-7.72923,287062,-6,258827,-1.79,california,2020-11-11T00:33:57.940025Z
06021,Glenn,10891,5135,74,74,Released as a separate subtotal as first report of the night,100,10796,>98%,>98% reported,edison,4,unknown,,11067,,,3815,6854,120,32,32,37,1,1963,3069,52,14,18,18,1,2020-11-10T02:36:40Z,27.90377,R+28,Trump +28,republican,27.90377,9470,28.8,9211,25.31,california,2020-11-11T00:33:57.940025Z
06023,Humboldt,46222,38109,44,66,Released as a separate subtotal as first report of the night,68,67540,68%,68% reported,edison,2,some,,48283,,,31010,13756,565,329,160,141,261,26616,10319,428,257,134,107,248,2020-11-07T00:34:36Z,37.32854,D+37,Biden +37,democrat,-37.32854,60014,-24.7,57470,-27.2,california,2020-11-11T00:33:57.940025Z
06025,Imperial,30732,17885,218,218,Released separately AFTER election night,56,54824,56%,56% reported,edison,4,unknown,,31600,,,20134,10023,186,110,139,140,0,12510,5045,110,64,81,75,0,2020-11-10T02:36:40Z,32.90056,D+33,Biden +33,democrat,-32.90056,48091,-41.5,38565,-32.05,california,2020-11-11T00:33:57.940025Z
06027,Inyo,9147,5305,20,21,Merged into voters' home precincts and released with cumulative results,99,9218,>98%,>98% reported,edison,4,all,,8286,,,4495,4436,125,41,21,29,0,3091,2097,67,26,7,17,0,2020-11-06T23:35:37Z,0.64502,D+0.65,Biden +0.65,democrat,-0.64502,8179,13.4,8036,11.42,california,2020-11-11T00:33:57.940025Z
06029,Kern,183717,126942,458,694,Released as a separate subtotal as first report of the night,66,278346,66%,66% reported,edison,4,unknown,,202125,,,84946,94844,2135,600,563,629,0,66392,57804,1418,465,429,434,0,2020-11-10T23:34:44Z,5.38763,R+5,Trump +5,republican,5.38763,244163,12.7,221472,16.76,california,2020-11-11T00:33:57.940025Z
06031,Kings,41935,33000,96,96,Released as a separate subtotal as first report of the night,100,38663,>98%,>98% reported,edison,4,unknown,,38870,,,17729,23169,575,120,165,175,2,14079,18218,390,77,120,114,2,2020-11-06T23:35:37Z,12.97246,R+13,Trump +13,republican,12.97246,34310,13,31418,14.93,california,2020-11-11T00:33:57.940025Z
06033,Lake,11038,0,28,70,Released as a separate subtotal as first report of the night,40,27936,40%,40% reported,edison,2,unknown,,23517,,,6874,3955,94,71,18,26,0,0,0,0,0,0,0,0,2020-11-04T10:43:34Z,26.44501,D+26,Biden +26,democrat,-26.44501,24675,-3.6,23391,-16.94,california,2020-11-11T00:33:57.940025Z
06035,Lassen,11779,0,55,57,Released as a separate subtotal as first report of the night,97,12138,97%,97% reported,edison,2,unknown,,12965,,,2772,8798,137,31,16,25,0,0,0,0,0,0,0,0,2020-11-09T02:36:46Z,51.15884,R+51,Trump +51,republican,51.15884,10699,50,10683,39.72,california,2020-11-11T00:33:57.940025Z
06037,Los Angeles,4151278,2868526,3383,3383,Released as a separate subtotal as first report of the night,100,3915111,>98%,>98% reported,edison,4,all,,1561325,,,2947568,1107090,34238,20843,15105,15051,11383,2090279,720484,19435,12001,8012,7598,10717,2020-11-11T00:15:53Z,44.33521,D+44,Biden +44,democrat,-44.33521,3434308,-49.3,3181067,-41.86,california,2020-11-11T00:33:57.940025Z
06039,Madera,51405,35718,72,72,Released as a separate subtotal as first report of the night,100,49148,>98%,>98% reported,edison,4,all,,39467,,,22158,28133,585,207,154,168,0,16495,18520,372,131,86,114,0,2020-11-07T02:35:35Z,11.62338,R+12,Trump +12,republican,11.62338,43507,14.5,39866,17.14,california,2020-11-11T00:33:57.940025Z
06041,Marin,135667,0,95,112,Other,85,158771,85%,85% reported,edison,2,unknown,,140974,,,112921,20505,1198,553,200,290,0,0,0,0,0,0,0,0,2020-11-07T01:40:39Z,68.11973,D+68,Biden +68,democrat,-68.11973,140683,-61.8,134516,-51.31,california,2020-11-11T00:33:57.940025Z
