fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_duncanj,results_clevelandh,results_absentee_duncanj,results_absentee_clevelandh,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
45001,Abbeville,12375,6792,16,16,Merged into voters' home precincts and released with cumulative results,100,12375,>98%,>98% reported,edison,10,unknown,3221,8437,3938,4041,2751,2020-11-16T15:48:21Z,36.35556,R+36,Duncan +36,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45007,Anderson,95561,30816,79,79,Released as a precinct at the end of tabulation,100,95561,>98%,>98% reported,edison,10,all,15738,70455,25106,18810,12006,2020-11-16T15:48:21Z,47.45555,R+47,Duncan +47,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45037,Edgefield,13287,7076,12,12,Released as a precinct as first report of the night,100,13287,>98%,>98% reported,edison,10,all,3950,8428,4859,4002,3074,2020-11-16T15:48:22Z,26.86084,R+27,Duncan +27,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45045,Greenville,33890,11519,19,19,Released as a precinct in the middle of the night,100,33890,>98%,>98% reported,edison,10,unknown,32851,21453,12437,5179,6340,2020-11-16T15:48:26Z,26.60372,R+27,Duncan +27,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45047,Greenwood,31826,15234,51,51,Released as a precinct as first report of the night,100,31826,>98%,>98% reported,edison,10,all,10778,20416,11410,8428,6806,2020-11-16T15:48:23Z,28.29762,R+28,Duncan +28,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45059,Laurens,30394,10663,33,33,Released as a precinct as first report of the night,100,30394,>98%,>98% reported,edison,10,unknown,5470,20692,9702,5733,4930,2020-11-16T15:48:23Z,36.15845,R+36,Duncan +36,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45065,McCormick,5699,3833,17,17,Released as a separate subtotal at the end of tabulation,100,5699,>98%,>98% reported,edison,10,all,3494,3092,2607,1875,1958,2020-11-16T15:48:24Z,8.51026,R+9,Duncan +9,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45071,Newberry,3426,1576,6,6,Released as a precinct as first report of the night,100,3426,>98%,>98% reported,edison,10,unknown,3907,2458,968,1003,573,2020-11-16T15:48:26Z,43.49095,R+43,Duncan +43,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45073,Oconee,40409,19518,31,31,Released as a precinct as first report of the night,100,40409,>98%,>98% reported,edison,10,all,11104,30983,9426,13501,6017,2020-11-16T15:48:24Z,53.34703,R+53,Duncan +53,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
45077,Pickens,57170,24206,61,61,Released as a precinct as first report of the night,100,57170,>98%,>98% reported,edison,10,all,7925,44754,12416,16706,7500,2020-11-16T15:48:25Z,56.56463,R+57,Duncan +57,republican,SC-G-H-3-2020-11-03,sc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-south-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-south-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,SC,south-carolina,South Carolina,S.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",333256,135117,11,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,343,343,100% reporting,100%,100,333564,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:20:10Z,TRUE,42.55947,141832,R+43,Duncan +43,republican,"","",0,0,1604456085296
