fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
09001,Fairfield,470756,27085,188,190,,,,,"",edison,,,,,,,296239,167905,4689,1670,253,21492,5188,209,107,89,2020-11-16T15:48:04Z,27.26126,D+27,Biden +27,democrat,-27.26126,421209,-19.9,396130,-10.63,connecticut,2020-11-19T00:44:20.009963Z
09003,Hartford,450751,6550,167,171,,,,,"",edison,,,,,,,284341,159370,5128,1784,128,5227,1220,73,27,3,2020-11-16T15:48:10Z,27.72506,D+28,Biden +28,democrat,-27.72506,406864,-22.7,392240,-25.85,connecticut,2020-11-19T00:44:20.009963Z
09005,Litchfield,107557,0,50,50,,,,,"",edison,,,,,,,50164,55609,1280,485,19,0,0,0,0,0,2020-11-16T15:48:02Z,5.06243,R+5,Trump +5,republican,5.06243,97442,13.6,92427,3.62,connecticut,2020-11-19T00:44:20.009963Z
09007,Middlesex,99198,0,34,34,,,,,"",edison,,,,,,,56848,40665,1210,444,31,0,0,0,0,0,2020-11-16T15:48:06Z,16.31384,D+16,Biden +16,democrat,-16.31384,88624,-7.3,83538,-15.88,connecticut,2020-11-19T00:44:20.009963Z
09009,New Haven,418442,27572,188,193,,,,,"",edison,,,,,,,242628,170354,3667,1681,112,19155,8165,143,81,28,2020-11-16T15:48:03Z,17.27217,D+17,Biden +17,democrat,-17.27217,379006,-12.3,361059,-22.33,connecticut,2020-11-19T00:44:20.009963Z
09011,New London,139604,0,60,60,,,,,"",edison,,,,,,,79459,57110,2256,757,22,0,0,0,0,0,2020-11-16T15:48:03Z,16.00885,D+16,Biden +16,democrat,-16.00885,123528,-6.7,115102,-18.27,connecticut,2020-11-19T00:44:20.009963Z
09013,Tolland,80546,0,23,25,,,,,"",edison,,,,,,,44006,34819,1274,398,49,0,0,0,0,0,2020-11-16T15:48:22Z,11.4059,D+11,Biden +11,democrat,-11.4059,77424,-5.6,70991,-12.56,connecticut,2020-11-19T00:44:20.009963Z
09015,Windham,57078,0,29,30,,,,,"",edison,,,,,,,26702,29141,914,307,14,0,0,0,0,0,2020-11-16T15:48:09Z,4.2731,R+4,Trump +4,republican,4.2731,50823,7.8,46588,-13.28,connecticut,2020-11-19T00:44:20.009963Z
