fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
39121,Noble,6221,0,19,19,None,100,6234,>98%,>98% reported,edison,4,unknown,,3920,,,5024,1156,23,13,5,0,0,0,0,0,2020-11-16T15:47:59Z,62.1765,R+62,Trump +62,republican,62.1765,6039,55.1,5891,24.31,ohio,2020-11-19T00:43:36.073300Z
39123,Ottawa,24046,0,36,36,Merged into voters' home precincts and released with cumulative results,100,23803,>98%,>98% reported,edison,4,unknown,,11056,,,14628,9008,292,74,44,0,0,0,0,0,2020-11-18T22:35:06Z,23.37187,R+23,Trump +23,republican,23.37187,22385,19.5,22505,-4.29,ohio,2020-11-19T00:43:36.073300Z
39125,Paulding,9280,5745,16,16,Merged into voters' home precincts and released with cumulative results,100,9280,>98%,>98% reported,edison,6,all,,4563,,,6927,2172,121,37,23,3993,1665,56,21,10,2020-11-16T15:48:00Z,51.23922,R+51,Trump +51,republican,51.23922,9095,48.5,9150,19.85,ohio,2020-11-19T00:43:36.073300Z
39127,Perry,16179,9445,33,33,Merged into voters' home precincts and released with cumulative results,100,15544,>98%,>98% reported,edison,4,some,,7278,,,11959,4006,165,46,3,6324,3018,75,28,0,2020-11-16T15:48:01Z,49.15631,R+49,Trump +49,republican,49.15631,15101,40.3,15020,3.95,ohio,2020-11-19T00:43:36.073300Z
39129,Pickaway,28314,0,42,42,Other,100,26230,>98%,>98% reported,edison,4,some,,12064,,,20593,7304,295,65,57,0,0,0,0,0,2020-11-18T19:18:46Z,46.93438,R+47,Trump +47,republican,46.93438,24912,42.3,24154,18.02,ohio,2020-11-19T00:43:36.073300Z
39131,Pike,12063,0,20,22,Merged into voters' home precincts and released with cumulative results,98,12314,98%,98% reported,edison,2,unknown,,6190,,,8872,3051,118,22,,0,0,0,0,,2020-11-16T15:48:02Z,48.25499,R+48,Trump +48,republican,48.25499,11951,36.5,11596,0.01,ohio,2020-11-19T00:43:36.073300Z
39133,Portage,83022,31467,129,129,Other,100,80092,>98%,>98% reported,edison,4,all,,35339,,,45990,35661,906,295,170,11686,19250,305,134,92,2020-11-18T19:05:56Z,12.44128,R+12,Trump +12,republican,12.44128,76762,9.9,76384,-5.51,ohio,2020-11-19T00:43:36.073300Z
39135,Preble,21437,4381,42,42,Merged into voters' home precincts and released with cumulative results,100,21422,>98%,>98% reported,edison,6,unknown,,7200,,,16697,4435,240,50,15,2557,1762,47,15,0,2020-11-16T15:48:03Z,57.20017,R+57,Trump +57,republican,57.20017,20681,53.8,20225,36.21,ohio,2020-11-19T00:43:36.073300Z
39137,Putnam,19671,0,23,25,Merged into voters' home precincts AFTER election night,99,19893,>98%,>98% reported,edison,2,unknown,,8054,,,16218,3152,241,60,,0,0,0,0,,2020-11-16T15:48:04Z,66.42265,R+66,Trump +66,republican,66.42265,18857,63.8,18400,51.1,ohio,2020-11-19T00:43:36.073300Z
39139,Richland,59975,37772,83,83,Merged into voters' home precincts and released with cumulative results,98,61176,98%,98% reported,edison,4,all,,32970,,,41472,17640,680,168,15,23680,13670,314,102,6,2020-11-18T18:56:31Z,39.73656,R+40,Trump +40,republican,39.73656,55424,37,57806,19.34,ohio,2020-11-19T00:43:36.073300Z
39141,Ross,33365,0,65,65,Merged into voters' home precincts and released with cumulative results,100,31997,>98%,>98% reported,edison,4,unknown,,17573,,,22278,10557,345,116,69,0,0,0,0,0,2020-11-18T22:32:27Z,35.12963,R+35,Trump +35,republican,35.12963,30565,27.1,30160,1.46,ohio,2020-11-19T00:43:36.073300Z
39143,Sandusky,29490,0,58,58,Released as a separate subtotal as first report of the night,97,30535,97%,97% reported,edison,4,unknown,,11870,,,18487,10391,430,128,54,0,0,0,0,0,2020-11-16T15:48:06Z,27.45337,R+27,Trump +27,republican,27.45337,28285,22.6,29095,-2.7,ohio,2020-11-19T00:43:36.073300Z
39145,Scioto,32051,0,70,77,Released as a precinct as first report of the night,98,32820,98%,98% reported,edison,2,unknown,,15107,,,22609,9080,262,91,9,0,0,0,0,0,2020-11-18T19:15:05Z,42.21085,R+42,Trump +42,republican,42.21085,31003,36.8,31262,1.33,ohio,2020-11-19T00:43:36.073300Z
39147,Seneca,25322,0,47,51,Merged into voters' home precincts and released with cumulative results,95,26607,95%,95% reported,edison,2,unknown,,9734,,,16739,8147,345,91,,0,0,0,0,,2020-11-16T15:48:07Z,33.93097,R+34,Trump +34,republican,33.93097,24183,30.7,25343,7.46,ohio,2020-11-19T00:43:36.073300Z
39149,Shelby,24785,14476,35,35,Merged into voters' home precincts and released with cumulative results,100,24785,>98%,>98% reported,edison,6,all,,11214,,,19988,4399,284,70,44,10730,3547,152,47,0,2020-11-16T15:48:09Z,62.89691,R+63,Trump +63,republican,62.89691,23829,60.2,23903,45.18,ohio,2020-11-19T00:43:36.073300Z
39151,Stark,190093,0,255,274,Merged into voters' home precincts and released with cumulative results,92,206880,92%,92% reported,edison,2,unknown,,83515,,,111097,75904,2163,683,246,0,0,0,0,0,2020-11-18T22:51:37Z,18.51357,R+19,Trump +19,republican,18.51357,176165,17.2,181746,-0.47,ohio,2020-11-19T00:43:36.073300Z
39153,Summit,281280,149069,420,420,None,92,305188,92%,92% reported,edison,2,unknown,,138795,,,124833,151668,3003,888,888,45298,102219,1149,403,0,2020-11-18T19:08:06Z,9.54032,D+10,Biden +10,democrat,-9.54032,260346,-8.5,268358,-15.67,ohio,2020-11-19T00:43:36.073300Z
