fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02936,ED 36,5096,1,5,10,Released as a separate subtotal as first report of the night,54,9504,54%,54% reported,edison,2,unknown,,4000,,,3185,1601,310,0,1,0,2020-11-11T03:25:57Z,31.0832,R+31,Sullivan +31,republican,alaska,2020-11-12T17:35:20.786364Z
02937,ED 37,3124,0,19,35,Released as a separate subtotal as first report of the night,54,5821,54%,54% reported,edison,2,unknown,,4000,,,1555,1325,244,0,0,0,2020-11-11T03:25:57Z,7.36236,R+7,Sullivan +7,republican,alaska,2020-11-12T17:35:20.786364Z
02938,ED 38,3822,0,20,31,Released as a separate subtotal as first report of the night,65,5859,65%,65% reported,edison,2,unknown,,4000,,,1270,2025,527,0,0,0,2020-11-11T03:25:58Z,19.75406,D+20,Gross +20,democrat,alaska,2020-11-12T17:35:20.786364Z
02939,ED 39,4831,282,25,33,Released as a separate subtotal as first report of the night,74,6485,74%,74% reported,edison,2,unknown,,4000,,,2014,2175,642,106,162,14,2020-11-12T16:41:29Z,3.33264,D+3,Gross +3,democrat,alaska,2020-11-12T17:35:20.786364Z
02904,ED 4,10947,6244,6,7,Released as a separate subtotal as first report of the night,100,10949,>98%,>98% reported,edison,2,unknown,,4000,,,4842,5726,379,2025,4087,132,2020-11-11T13:18:24Z,8.07527,D+8,Gross +8,democrat,alaska,2020-11-12T17:35:20.786364Z
02940,ED 40,3277,0,14,23,Released as a separate subtotal as first report of the night,62,5302,62%,62% reported,edison,2,unknown,,4000,,,1722,1069,486,0,0,0,2020-11-12T16:41:28Z,19.92676,R+20,Sullivan +20,republican,alaska,2020-11-12T17:35:20.786364Z
02905,ED 5,8457,4334,8,9,Released as a separate subtotal as first report of the night,93,9092,93%,93% reported,edison,2,unknown,,4000,,,4125,4007,325,1553,2677,104,2020-11-12T16:41:34Z,1.39529,R+1.4,Sullivan +1.4,republican,alaska,2020-11-12T17:35:20.786364Z
02906,ED 6,8825,4,29,33,Released as a separate subtotal as first report of the night,91,9729,91%,91% reported,edison,2,unknown,,4000,,,5405,2924,496,1,3,0,2020-11-12T16:41:33Z,28.11331,R+28,Sullivan +28,republican,alaska,2020-11-12T17:35:20.786364Z
02907,ED 7,8731,5066,6,7,Released as a separate subtotal as first report of the night,92,9538,92%,92% reported,edison,2,unknown,,4000,,,6230,2011,490,3390,1443,233,2020-11-11T03:26:07Z,48.32207,R+48,Sullivan +48,republican,alaska,2020-11-12T17:35:20.786364Z
02908,ED 8,8922,3914,5,6,Released as a separate subtotal as first report of the night,96,9284,96%,96% reported,edison,2,unknown,,4000,,,6606,1828,488,2571,1184,159,2020-11-11T13:18:22Z,53.55302,R+54,Sullivan +54,republican,alaska,2020-11-12T17:35:20.786364Z
02909,ED 9,10307,4,11,11,Released as a separate subtotal as first report of the night,100,10297,>98%,>98% reported,edison,2,unknown,,4000,,,7198,2613,496,2,2,0,2020-11-12T16:41:31Z,44.48433,R+44,Sullivan +44,republican,alaska,2020-11-12T17:35:20.786364Z
