fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mceachind,results_benjaminl,results_absentee_mceachind,results_absentee_benjaminl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
51036,Charles City,4365,2805,4,4,Released separately AFTER election night,91,4789,91%,91% reported,edison,2,unknown,611,2640,1725,2023,782,2020-11-11T03:26:31Z,20.9622,D+21,McEachin +21,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51550,Chesapeake,70117,49836,34,35,"As a precinct in the FIRST cumulative report, along with regular precincts",98,71671,98%,98% reported,edison,2,none,15226,30515,39602,25423,24413,2020-11-11T03:26:27Z,12.95977,R+13,Benjamin +13,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51041,Chesterfield,60175,43370,23,23,Released as a precinct at the end of tabulation,100,58759,>98%,>98% reported,edison,2,unknown,17975,28992,31183,23121,20249,2020-11-12T03:07:59Z,3.64105,R+4,Benjamin +4,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51570,Colonial Heights,8927,5620,5,6,Released as a separate subtotal at the end of tabulation,91,9860,91%,91% reported,edison,2,unknown,1209,3052,5875,2121,3499,2020-11-11T03:26:28Z,31.62317,R+32,Benjamin +32,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51053,Dinwiddie,14783,8144,13,14,None,93,15834,93%,93% reported,edison,4,all,1542,6288,8495,4263,3881,2020-11-11T03:26:23Z,14.92931,R+15,Benjamin +15,republican,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51595,Emporia,2302,1010,7,8,Merged into voters' home precincts and released with cumulative results,83,2765,83%,83% reported,edison,4,all,2367,1574,728,776,234,2020-11-11T03:26:28Z,36.75065,D+37,McEachin +37,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51081,Greensville,4452,1954,9,10,Merged into voters' home precincts and released with cumulative results,100,4439,>98%,>98% reported,edison,6,all,4363,2643,1809,1331,623,2020-11-11T03:26:24Z,18.73315,D+19,McEachin +19,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51087,Henrico,47238,29020,22,24,Released as a precinct at the end of tabulation,93,50580,93%,93% reported,edison,2,unknown,17095,36224,11014,24720,4300,2020-11-11T03:26:32Z,53.36805,D+53,McEachin +53,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51670,Hopewell,9458,5331,7,8,Released as a precinct at the end of tabulation,90,10495,90%,90% reported,edison,4,unknown,788,5548,3910,3433,1898,2020-11-11T03:26:29Z,17.31867,D+17,McEachin +17,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
51730,Petersburg,13813,9149,7,8,Released as a precinct in the middle of the night,86,16071,86%,86% reported,edison,2,unknown,2313,12172,1641,8274,875,2020-11-11T03:26:30Z,76.23977,D+76,McEachin +76,democrat,VA-G-H-4-2020-11-03,va-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-dem,4,District 4,VA,virginia,Virginia,Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",395321,255598,16,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,242,265,91% reporting,91%,93,425000,edison,93%,93% reported,edison,democrat,FALSE,2020-11-12T21:30:57Z,TRUE,22.79692,90121,D+23,McEachin +23,democrat,"","",3,0,1604497369632
