fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_thompsonb,results_flowersb,results_write_ins,results_absentee_thompsonb,results_absentee_flowersb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28055,Issaquena,663,0,5,5,None,100,621,>98%,>98% reported,edison,4,all,64,368,295,0,0,0,0,2020-11-11T03:26:11Z,11.01056,D+11,Thompson +11,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28063,Jefferson,3859,0,12,12,None,91,4246,91%,91% reported,edison,4,some,600,3364,494,1,0,0,0,2020-11-11T03:26:11Z,74.3716,D+74,Thompson +74,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28079,Leake,8193,0,19,19,None,88,9294,88%,88% reported,edison,4,all,646,3469,4720,4,0,0,0,2020-11-11T03:26:11Z,15.26913,R+15,Flowers +15,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28083,Leflore,7961,0,18,18,None,100,7961,>98%,>98% reported,edison,6,none,646,5493,2465,3,0,0,0,2020-11-11T03:26:08Z,38.03542,D+38,Thompson +38,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28089,Madison,9862,0,10,10,None,100,9862,>98%,>98% reported,edison,6,none,2144,7696,2156,10,0,0,0,2020-11-11T03:26:08Z,56.17522,D+56,Thompson +56,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28097,Montgomery,4924,0,15,15,None,100,4924,>98%,>98% reported,edison,6,all,726,2246,2677,1,0,0,0,2020-11-11T03:26:09Z,8.75305,R+9,Flowers +9,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28107,Panola,15329,0,21,21,Merged into voters' home precincts AFTER election night,100,12620,>98%,>98% reported,edison,6,unknown,1296,7670,7643,16,0,0,0,2020-11-11T03:26:08Z,0.17614,D+0.18,Thompson +0.18,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28119,Quitman,3126,0,10,10,Merged into voters' home precincts and released with cumulative results,100,3126,>98%,>98% reported,edison,6,none,1586,2205,918,3,0,0,0,2020-11-11T03:26:09Z,41.17083,D+41,Thompson +41,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28125,Sharkey,2093,0,10,10,Released with cumulative results periodically election night,100,2093,>98%,>98% reported,edison,6,all,144,1488,605,0,0,0,0,2020-11-11T03:26:09Z,42.18825,D+42,Thompson +42,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28133,Sunflower,9450,0,17,17,None,100,8530,>98%,>98% reported,edison,4,unknown,234,6916,2534,0,0,0,0,2020-11-11T03:26:09Z,46.37037,D+46,Thompson +46,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28135,Tallahatchie,5559,0,21,21,Merged into voters' home precincts and released with cumulative results,100,5217,>98%,>98% reported,edison,2,unknown,916,3378,2179,2,0,0,0,2020-11-11T03:26:07Z,21.56863,D+22,Thompson +22,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28143,Tunica,3383,0,12,12,Merged into voters' home precincts and released with cumulative results,100,3170,>98%,>98% reported,edison,2,unknown,230,2558,821,4,0,0,0,2020-11-11T03:26:07Z,51.34496,D+51,Thompson +51,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28149,Warren,20760,0,22,23,None,97,21358,97%,97% reported,edison,2,unknown,1150,10616,10144,0,0,0,0,2020-11-11T03:26:07Z,2.2736,D+2,Thompson +2,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28151,Washington,10256,0,19,19,None,69,14954,69%,69% reported,edison,4,unknown,914,6424,3824,8,0,0,0,2020-11-11T03:26:07Z,25.35101,D+25,Thompson +25,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
