fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_veaseym,results_vasquezf,results_quintanillac,results_reevesj,results_weltonr,results_absentee_veaseym,results_absentee_vasquezf,results_absentee_quintanillac,results_absentee_reevesj,results_absentee_weltonr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48113,Dallas,78692,63762,94,100,Released as a precinct as first report of the night,94,83557,94%,94% reported,edison,4,all,739551,49388,21355,5739,1358,852,40937,17078,4123,993,631,2020-11-11T03:27:06Z,35.6237,D+36,Veasey +36,democrat,TX-G-H-33-2020-11-03,tx-house-general-district-033-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-33.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 33,U.S. House,H,solid-dem,33,District 33,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",157205,127947,2,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,161,171,94% reporting,94%,94,168000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-11T03:26:53Z,TRUE,41.66534,65500,D+42,Veasey +42,democrat,"","",1,0,1604456028796
48439,Tarrant,78513,64185,67,71,Released as a precinct as first report of the night,94,83695,94%,94% reported,edison,4,all,685898,55650,18183,2320,1221,1139,46523,14312,1606,895,849,2020-11-11T03:27:06Z,47.72076,D+48,Veasey +48,democrat,TX-G-H-33-2020-11-03,tx-house-general-district-033-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-33.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 33,U.S. House,H,solid-dem,33,District 33,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",157205,127947,2,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,161,171,94% reporting,94%,94,168000,edison,94%,94% reported,edison,democrat,FALSE,2020-11-11T03:26:53Z,TRUE,41.66534,65500,D+42,Veasey +42,democrat,"","",1,0,1604456028796
