fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42001,Adams,56635,0,50,50,Merged into voters' home precincts and released with cumulative results,100,56000,>98%,>98% reported,edison,4,none,,3456,,,18254,37567,814,,0,0,0,,2020-11-14T16:39:11Z,34.10082,R+34,Trump +34,republican,34.10082,47990,35.8,42457,27.5,pennsylvania,2020-11-15T00:43:40.064032Z
42003,Allegheny,722145,342731,1267,1323,Merged into voters' home precincts and released with cumulative results,100,725000,>98%,>98% reported,edison,4,unknown,,44826,,,428876,282170,8341,2758,273080,66575,3076,0,2020-11-14T16:39:13Z,20.31531,D+20,Biden +20,democrat,-20.31531,657189,-16.5,622081,-14.57,pennsylvania,2020-11-15T00:43:40.064032Z
42005,Armstrong,36178,0,61,62,Merged into voters' home precincts AFTER election night,100,35810,>98%,>98% reported,edison,4,unknown,,2059,,,8417,27340,421,,0,0,0,,2020-11-14T16:39:14Z,52.30527,R+52,Trump +52,republican,52.30527,31864,51.2,29602,37.49,pennsylvania,2020-11-15T00:43:40.064032Z
42007,Beaver,93083,0,124,129,Merged into voters' home precincts and released with cumulative results,100,93250,>98%,>98% reported,edison,4,unknown,,6320,,,37747,54108,1228,,0,0,0,,2020-11-14T16:39:14Z,17.57679,R+18,Trump +18,republican,17.57679,84462,18.5,80474,6.57,pennsylvania,2020-11-15T00:43:40.064032Z
42009,Bedford,27574,5351,40,40,Merged into voters' home precincts and released with cumulative results,100,27018,>98%,>98% reported,edison,6,unknown,,2106,,,4367,23025,182,,2424,2872,55,,2020-11-14T16:39:15Z,67.66519,R+68,Trump +68,republican,67.66519,23675,67.2,21697,54.91,pennsylvania,2020-11-15T00:43:40.064032Z
42011,Berks,198260,0,189,202,Other,99,200000,>98%,>98% reported,edison,4,unknown,,10526,,,89530,105941,2789,,0,0,0,,2020-11-14T16:39:16Z,8.27751,R+8,Trump +8,republican,8.27751,184085,9.9,170320,0.99,pennsylvania,2020-11-15T00:43:40.064032Z
42013,Blair,62784,0,92,93,Merged into voters' home precincts and released with cumulative results,99,63694,>98%,>98% reported,edison,4,some,,4155,,,17425,44714,645,,0,0,0,,2020-11-14T16:39:16Z,43.4649,R+43,Trump +43,republican,43.4649,55341,45.5,50241,33.92,pennsylvania,2020-11-15T00:43:40.064032Z
42015,Bradford,30143,0,61,61,None,100,29116,>98%,>98% reported,edison,4,none,,2080,,,8044,21586,513,,0,0,0,,2020-11-14T16:39:17Z,44.92585,R+45,Trump +45,republican,44.92585,25986,45.3,23426,24.7,pennsylvania,2020-11-15T00:43:40.064032Z
42017,Bucks,390316,0,297,304,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,388000,>98%,>98% reported,edison,4,some,,25432,,,201768,184440,4108,,0,0,0,,2020-11-14T16:39:18Z,4.43948,D+4,Biden +4,democrat,-4.43948,345042,-0.8,321016,-1.23,pennsylvania,2020-11-15T00:43:40.064032Z
42019,Butler,113090,0,89,89,Released as a separate subtotal at the end of tabulation,100,111600,>98%,>98% reported,edison,4,none,,7869,,,37379,74279,1432,,0,0,0,,2020-11-14T16:39:19Z,32.62888,R+33,Trump +33,republican,32.62888,98051,36.6,89445,34.89,pennsylvania,2020-11-15T00:43:40.064032Z
