fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_la_rivag,results_kennedya,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_kennedya,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
53001,Adams,5784,0,31,31,None,100,5512,>98%,>98% reported,edison,4,all,,,,,1789,3881,82,18,9,5,,0,0,0,0,0,0,,2020-11-14T16:39:46Z,36.16874,R+36,Trump +36,republican,36.16874,4782,37.3,4793,34.03,washington,2020-11-15T00:42:57.227795Z
53003,Asotin,11795,0,26,26,None,100,11386,>98%,>98% reported,edison,4,all,,,,,4233,7259,254,35,9,5,,0,0,0,0,0,0,,2020-11-14T16:39:46Z,25.65494,R+26,Trump +26,republican,25.65494,9974,26.1,9901,16.68,washington,2020-11-15T00:42:57.227795Z
53005,Benton,101529,0,245,245,None,100,92031,>98%,>98% reported,edison,4,unknown,,,,,38293,60045,2667,350,117,57,,0,0,0,0,0,0,,2020-11-14T16:39:47Z,21.42442,R+21,Trump +21,republican,21.42442,83592,24.9,79559,26.79,washington,2020-11-15T00:42:57.227795Z
53007,Chelan,42387,0,91,91,None,100,38387,>98%,>98% reported,edison,4,unknown,,,,,19005,22476,697,145,43,21,,0,0,0,0,0,0,,2020-11-14T16:39:47Z,8.18883,R+8,Trump +8,republican,8.18883,34433,14.8,32250,16.4,washington,2020-11-15T00:42:57.227795Z
53009,Clallam,48658,0,67,67,None,100,45376,>98%,>98% reported,edison,4,unknown,,,,,24532,22912,878,234,60,42,,0,0,0,0,0,0,,2020-11-14T16:39:48Z,3.32936,D+3,Biden +3,democrat,-3.32936,40533,2.8,38066,-0.38,washington,2020-11-15T00:42:57.227795Z
53011,Clark,272916,0,314,314,None,100,230184,>98%,>98% reported,edison,2,unknown,,,,,140070,126047,5303,1120,237,139,,0,0,0,0,0,0,,2020-11-14T16:39:48Z,5.13821,D+5,Biden +5,democrat,-5.13821,208485,-0.2,190805,-0.23,washington,2020-11-15T00:42:57.227795Z
53013,Columbia,2482,0,13,13,None,96,2598,96%,96% reported,edison,2,unknown,,,,,668,1754,51,5,1,3,,0,0,0,0,0,0,,2020-11-14T16:39:49Z,43.75504,R+44,Trump +44,republican,43.75504,2229,43.6,2259,40.86,washington,2020-11-15T00:42:57.227795Z
53015,Cowlitz,59658,0,78,78,None,100,52546,>98%,>98% reported,edison,2,unknown,,,,,23830,34235,1263,240,45,45,,0,0,0,0,0,0,,2020-11-14T16:39:49Z,17.44108,R+17,Trump +17,republican,17.44108,47142,13.3,44620,-4.44,washington,2020-11-15T00:42:57.227795Z
53017,Douglas,21110,0,47,47,None,100,18500,>98%,>98% reported,edison,2,unknown,,,,,7787,12908,334,56,13,12,,0,0,0,0,0,0,,2020-11-14T16:39:50Z,24.25865,R+24,Trump +24,republican,24.25865,15901,29.5,14942,28.5,washington,2020-11-15T00:42:57.227795Z
53019,Ferry,4292,0,19,19,None,100,4141,>98%,>98% reported,edison,4,some,,,,,1465,2735,74,10,5,3,,0,0,0,0,0,0,,2020-11-14T16:39:51Z,29.58993,R+30,Trump +30,republican,29.58993,3644,30.3,3440,20.38,washington,2020-11-15T00:42:57.227795Z
53021,Franklin,31833,0,105,105,None,100,27278,>98%,>98% reported,edison,4,some,,,,,13148,17849,673,109,32,22,,0,0,0,0,0,0,,2020-11-14T16:39:52Z,14.76769,R+15,Trump +15,republican,14.76769,24614,17.6,22643,23.63,washington,2020-11-15T00:42:57.227795Z
53023,Garfield,1470,0,12,12,None,100,1470,>98%,>98% reported,edison,4,all,,,,,362,1062,42,2,1,1,,0,0,0,0,0,0,,2020-11-14T16:39:52Z,47.61905,R+48,Trump +48,republican,47.61905,1266,45.2,1278,45.15,washington,2020-11-15T00:42:57.227795Z
53025,Grant,37145,0,75,75,None,100,32598,>98%,>98% reported,edison,4,unknown,,,,,11674,24594,701,108,43,25,,0,0,0,0,0,0,,2020-11-14T16:39:53Z,34.78261,R+35,Trump +35,republican,34.78261,29258,36.6,27558,32.3,washington,2020-11-15T00:42:57.227795Z
53027,Grays Harbor,37763,0,77,77,None,100,32987,>98%,>98% reported,edison,4,all,,,,,17172,19590,746,196,28,31,,0,0,0,0,0,0,,2020-11-14T16:39:54Z,6.40309,R+6,Trump +6,republican,6.40309,29301,7,28684,-14.11,washington,2020-11-15T00:42:57.227795Z
