fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_westk,results_de_la_fuenter,results_kennedya,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_westk,results_absentee_de_la_fuenter,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
27001,Aitkin,10010,0,50,54,Merged into voters' home precincts and released with cumulative results,100,10005,>98%,>98% reported,edison,6,all,,2973,,,3607,6258,55,24,24,22,15,3,2,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:29Z,26.48352,R+26,Trump +26,republican,26.48352,9231,25.8,9142,1.32,minnesota,2020-11-15T00:42:22.498500Z
27003,Anoka,210491,0,125,128,Merged into voters' home precincts and released with cumulative results,98,215479,98%,98% reported,edison,2,some,,34809,,,100892,104903,2475,731,408,513,467,36,66,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:31Z,1.90554,R+1.9,Trump +1.9,republican,1.90554,185758,9.6,186465,2.58,minnesota,2020-11-15T00:42:22.498500Z
27005,Becker,19418,6296,47,48,Merged into voters' home precincts and released with cumulative results,100,19025,>98%,>98% reported,edison,6,all,,4508,,,6592,12452,178,39,33,57,40,12,15,,3416,2792,38,11,10,13,15,0,1,,2020-11-14T16:39:32Z,30.17819,R+30,Trump +30,republican,30.17819,17222,32.9,16382,14.5,minnesota,2020-11-15T00:42:22.498500Z
27007,Beltrami,24131,0,61,63,Merged into voters' home precincts and released with cumulative results,95,25461,95%,95% reported,edison,2,unknown,,4845,,,11426,12188,256,75,33,95,32,9,17,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:34Z,3.15776,R+3,Trump +3,republican,3.15776,21564,9.7,22051,-9.89,minnesota,2020-11-15T00:42:22.498500Z
27009,Benton,22219,0,26,27,Merged into voters' home precincts and released with cumulative results,100,22088,>98%,>98% reported,edison,2,unknown,,3225,,,7281,14382,351,81,40,45,29,5,5,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:36Z,31.95913,R+32,Trump +32,republican,31.95913,20058,36.1,19619,13.64,minnesota,2020-11-15T00:42:22.498500Z
27011,Big Stone,2972,0,21,23,Merged into voters' home precincts and released with cumulative results,99,2987,>98%,>98% reported,edison,4,some,,612,,,1052,1862,14,14,8,14,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:38Z,27.25437,R+27,Trump +27,republican,27.25437,2755,24.9,2789,1.43,minnesota,2020-11-15T00:42:22.498500Z
27013,Blue Earth,35969,0,50,54,Merged into voters' home precincts and released with cumulative results,91,39485,91%,91% reported,edison,4,some,,5756,,,18330,16731,477,139,82,120,64,16,10,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:38Z,4.44549,D+4,Biden +4,democrat,-4.44549,33593,3.7,34274,-9.48,minnesota,2020-11-15T00:42:22.498500Z
27015,Brown,14630,0,29,32,Merged into voters' home precincts and released with cumulative results,100,13777,>98%,>98% reported,edison,4,all,,2808,,,4750,9550,136,38,41,33,33,3,6,40,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:39Z,32.8093,R+33,Trump +33,republican,32.8093,13779,35.9,13929,16.57,minnesota,2020-11-15T00:42:22.498500Z
27017,Carlton,20361,0,37,38,Merged into voters' home precincts and released with cumulative results,100,20361,>98%,>98% reported,edison,6,all,,3884,,,10094,9787,231,61,40,43,48,4,4,49,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:40Z,1.50778,D+1.5,Biden +1.5,democrat,-1.50778,18211,-1.6,18436,-26.05,minnesota,2020-11-15T00:42:22.498500Z
27019,Carver,66119,0,35,35,Merged into voters' home precincts and released with cumulative results,100,65382,>98%,>98% reported,edison,6,unknown,,12048,,,30770,34012,821,141,107,126,124,5,13,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:40Z,4.90328,R+5,Trump +5,republican,4.90328,55696,13.6,52899,19.68,minnesota,2020-11-15T00:42:22.498500Z
27021,Cass,18256,0,72,73,Merged into voters' home precincts and released with cumulative results,100,17708,>98%,>98% reported,edison,2,unknown,,4911,,,6342,11621,111,60,27,46,34,3,12,,0,0,0,0,0,0,0,0,0,,2020-11-14T16:39:41Z,28.91652,R+29,Trump +29,republican,28.91652,15999,31.5,16141,13,minnesota,2020-11-15T00:42:22.498500Z
