fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,state,retrieved_time
02901,ED 1,7147,3503,8,9,Released as a separate subtotal as first report of the night,94,7634,94%,94% reported,edison,2,unknown,,4000,,,3429,3401,209,50,32,24,2,1332,2062,61,27,16,5,0,2020-11-14T16:39:23Z,0.39177,R+0.39,Trump +0.39,republican,0.39177,6638,9.1,alaska,2020-11-15T00:42:17.261657Z
02910,ED 10,10878,5385,11,11,Released as a separate subtotal as first report of the night,100,10396,>98%,>98% reported,edison,2,unknown,,4000,,,7813,2680,276,63,21,19,6,3379,1856,109,22,10,8,1,2020-11-14T16:39:41Z,47.18698,R+47,Trump +47,republican,47.18698,9040,49.2,alaska,2020-11-15T00:42:17.261657Z
02911,ED 11,10449,5777,8,9,Released as a separate subtotal as first report of the night,94,11142,94%,94% reported,edison,2,unknown,,4000,,,6968,3084,266,86,22,17,6,3367,2200,141,46,13,6,4,2020-11-14T16:39:43Z,37.17102,R+37,Trump +37,republican,37.17102,9689,44.4,alaska,2020-11-15T00:42:17.261657Z
02912,ED 12,10976,5478,7,7,Released as a separate subtotal as first report of the night,100,10974,>98%,>98% reported,edison,2,unknown,,4000,,,7707,2887,282,54,28,15,3,3264,2046,123,24,15,6,0,2020-11-14T16:39:45Z,43.91399,R+44,Trump +44,republican,43.91399,9543,49.3,alaska,2020-11-15T00:42:17.261657Z
02913,ED 13,6855,3573,5,6,Released as a separate subtotal as first report of the night,91,7513,91%,91% reported,edison,2,unknown,,4000,,,4138,2372,273,33,14,20,5,1773,1650,120,16,4,9,1,2020-11-14T16:39:46Z,25.76222,R+26,Trump +26,republican,25.76222,6533,35.9,alaska,2020-11-15T00:42:17.261657Z
02914,ED 14,10131,5879,6,7,Released as a separate subtotal as first report of the night,85,11983,85%,85% reported,edison,2,unknown,,4000,,,5931,3826,286,36,38,10,4,2815,2893,127,16,21,5,2,2020-11-14T16:39:47Z,20.77781,R+21,Trump +21,republican,20.77781,10420,28.2,alaska,2020-11-15T00:42:17.261657Z
02915,ED 15,4989,2634,4,5,Released as a separate subtotal as first report of the night,87,5729,87%,87% reported,edison,2,unknown,,4000,,,2426,2335,166,34,8,11,9,1076,1461,74,13,4,2,4,2020-11-14T16:39:48Z,1.82401,R+1.8,Trump +1.8,republican,1.82401,4982,14,alaska,2020-11-15T00:42:17.261657Z
02916,ED 16,7553,4067,6,7,Released as a separate subtotal as first report of the night,88,8551,88%,88% reported,edison,2,unknown,,4000,,,3297,3960,190,60,23,13,10,1284,2659,70,29,13,6,6,2020-11-14T16:39:49Z,8.77797,D+9,Biden +9,democrat,-8.77797,7436,-1.2,alaska,2020-11-15T00:42:17.261657Z
02917,ED 17,6612,3898,6,7,Released as a separate subtotal as first report of the night,85,7806,85%,85% reported,edison,2,unknown,,4000,,,2574,3785,154,60,14,16,9,1110,2670,73,26,6,7,6,2020-11-14T16:38:23Z,18.31518,D+18,Biden +18,democrat,-18.31518,6788,-9.9,alaska,2020-11-15T00:42:17.261657Z
02918,ED 18,7139,4555,8,10,Released as a separate subtotal as first report of the night,84,8512,84%,84% reported,edison,2,unknown,,4000,,,2555,4336,136,71,22,15,4,1255,3174,70,39,9,5,3,2020-11-14T16:38:25Z,24.94747,D+25,Biden +25,democrat,-24.94747,7402,-16.5,alaska,2020-11-15T00:42:17.261657Z
02919,ED 19,4915,2520,5,6,Released as a separate subtotal as first report of the night,89,5511,89%,89% reported,edison,2,unknown,,4000,,,1829,2896,97,50,22,9,12,638,1808,37,22,6,6,3,2020-11-14T16:38:27Z,21.70905,D+22,Biden +22,democrat,-21.70905,4792,-21.6,alaska,2020-11-15T00:42:17.261657Z
02902,ED 2,6023,2591,4,4,Released as a separate subtotal as first report of the night,95,6316,95%,95% reported,edison,2,unknown,,4000,,,3596,2073,284,29,18,14,9,1238,1248,83,10,6,4,2,2020-11-14T16:39:25Z,25.2864,R+25,Trump +25,republican,25.2864,5492,29.2,alaska,2020-11-15T00:42:17.261657Z
02920,ED 20,6891,4672,8,9,Released as a separate subtotal as first report of the night,84,8211,84%,84% reported,edison,2,unknown,,4000,,,2174,4526,128,43,6,13,1,1136,3452,51,26,2,5,0,2020-11-14T16:38:30Z,34.13148,D+34,Biden +34,democrat,-34.13148,7140,-27.5,alaska,2020-11-15T00:42:17.261657Z
02921,ED 21,8797,5181,7,8,Released as a separate subtotal as first report of the night,88,9944,88%,88% reported,edison,2,unknown,,4000,,,3458,5046,184,62,27,17,3,1452,3610,71,31,9,5,3,2020-11-14T16:38:33Z,18.05161,D+18,Biden +18,democrat,-18.05161,8647,-8.6,alaska,2020-11-15T00:42:17.261657Z
02922,ED 22,8882,4701,6,7,Released as a separate subtotal as first report of the night,92,9628,92%,92% reported,edison,2,unknown,,4000,,,4386,4236,184,42,14,17,3,1668,2906,78,26,8,13,2,2020-11-14T16:38:35Z,1.68881,R+1.7,Trump +1.7,republican,1.68881,8372,11.1,alaska,2020-11-15T00:42:17.261657Z
02923,ED 23,7178,3678,7,8,Released as a separate subtotal as first report of the night,90,7963,90%,90% reported,edison,2,unknown,,4000,,,3421,3513,153,46,19,13,13,1301,2278,60,23,8,3,5,2020-11-14T16:38:39Z,1.28169,D+1.3,Biden +1.3,democrat,-1.28169,6924,5.1,alaska,2020-11-15T00:42:17.261657Z
02924,ED 24,9779,5513,6,7,Released as a separate subtotal as first report of the night,92,10684,92%,92% reported,edison,2,unknown,,4000,,,5051,4452,196,41,15,19,5,2119,3253,97,22,10,10,2,2020-11-14T16:38:41Z,6.12537,R+6,Trump +6,republican,6.12537,9290,12.2,alaska,2020-11-15T00:42:17.261657Z
