fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_hammonsb,results_blankenshipd,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_hammonsb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
34001,Atlantic,131980,114510,148,151,Released separately AFTER election night,98,134885,98%,98% reported,edison,2,some,,14118,,,68978,60957,902,381,341,155,104,95,67,61032,51884,683,294,274,120,88,84,51,2020-11-14T16:39:34Z,6.07744,D+6,Biden +6,democrat,-6.07744,118041,-7,113344,-16.83,new-jersey,2020-11-15T00:43:55.191983Z
34003,Bergen,448647,428024,522,561,Merged into voters' home precincts AFTER election night,93,482190,93%,93% reported,edison,2,some,,45653,,,259358,182831,2554,1611,1203,314,269,291,216,250139,171754,2382,1611,1137,289,245,269,198,2020-11-14T16:39:37Z,17.05729,D+17,Biden +17,democrat,-17.05729,422213,-13.2,385990,-11.32,new-jersey,2020-11-15T00:43:55.191983Z
34005,Burlington,246427,203530,352,365,Merged into voters' home precincts and released with cumulative results,98,251784,98%,98% reported,edison,2,some,,31397,,,145987,96583,2069,538,557,158,125,335,75,126131,74502,1449,538,409,114,85,249,53,2020-11-14T16:39:39Z,20.04813,D+20,Biden +20,democrat,-20.04813,221283,-14.7,216339,-18.02,new-jersey,2020-11-15T00:43:55.191983Z
34007,Camden,244806,0,345,345,Released separately AFTER election night,94,260581,94%,94% reported,edison,2,unknown,,59568,,,161719,79126,1734,895,714,173,142,200,103,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:40Z,33.73814,D+34,Biden +34,democrat,-33.73814,229047,-32.3,225949,-37.27,new-jersey,2020-11-15T00:43:55.191983Z
34009,Cape May,56954,49342,127,127,Merged into voters' home precincts and released with cumulative results,100,56030,>98%,>98% reported,edison,4,some,,9231,,,23583,32770,304,,138,16,58,29,56,21159,27756,215,,105,10,43,20,34,2020-11-14T16:39:41Z,16.13056,R+16,Trump +16,republican,16.13056,49257,19.7,48093,8.58,new-jersey,2020-11-15T00:43:55.191983Z
34011,Cumberland,58248,17519,86,92,Released separately AFTER election night,92,63586,92%,92% reported,edison,4,some,,5984,,,30148,27294,362,154,126,20,67,29,48,11098,6267,63,28,21,7,15,9,11,2020-11-14T16:39:43Z,4.89974,D+5,Biden +5,democrat,-4.89974,54331,-6.1,55369,-24.2,new-jersey,2020-11-15T00:43:55.191983Z
34013,Essex,308715,0,475,550,Released as a separate subtotal as first report of the night,86,357574,86%,86% reported,edison,2,unknown,,24131,,,237981,68038,1172,,863,245,93,110,213,0,0,0,,0,0,0,0,0,2020-11-14T16:39:44Z,55.04851,D+55,Biden +55,democrat,-55.04851,312884,-56.8,303295,-56.78,new-jersey,2020-11-15T00:43:55.191983Z
34015,Gloucester,173308,149317,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,some,,25391,,,86588,83312,1614,798,446,82,149,122,197,76925,69839,1181,589,349,67,122,98,147,2020-11-14T16:39:45Z,1.89028,D+1.9,Biden +1.9,democrat,-1.89028,141254,0.5,135570,-10.74,new-jersey,2020-11-15T00:43:55.191983Z
34017,Hudson,213606,0,384,454,Released as a separate subtotal as first report of the night,85,252281,85%,85% reported,edison,2,some,,14745,,,157349,53435,1054,522,684,180,219,72,91,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:46Z,48.64751,D+49,Biden +49,democrat,-48.64751,220542,-52.1,197693,-56.02,new-jersey,2020-11-15T00:43:55.191983Z
34019,Hunterdon,82865,72648,112,116,Released as a separate subtotal as first report of the night,100,81461,>98%,>98% reported,edison,4,some,,13401,,,38658,42203,963,425,392,44,75,70,35,35318,35808,698,326,314,38,59,57,30,2020-11-14T16:39:47Z,4.27804,R+4,Trump +4,republican,4.27804,71660,13.7,66624,17.73,new-jersey,2020-11-15T00:43:55.191983Z
34021,Mercer,163520,0,221,243,None,91,180008,91%,91% reported,edison,4,unknown,,21542,,,112845,47788,1319,645,524,110,87,84,118,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:48Z,39.78535,D+40,Biden +40,democrat,-39.78535,158058,-37.1,155355,-36.7,new-jersey,2020-11-15T00:43:55.191983Z
34023,Middlesex,339147,0,615,615,Other,90,375017,90%,90% reported,edison,4,some,,56703,,,205718,128535,2266,777,1079,209,182,220,161,0,0,0,0,0,0,0,0,0,2020-11-14T22:08:57Z,22.75798,D+23,Biden +23,democrat,-22.75798,328557,-21.3,301860,-27.58,new-jersey,2020-11-15T00:43:55.191983Z
34025,Monmouth,369083,0,511,511,Merged into voters' home precincts and released with cumulative results,100,361534,>98%,>98% reported,edison,2,unknown,,47571,,,176558,187393,2638,239,1352,171,337,218,177,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:50Z,2.93565,R+3,Trump +3,republican,2.93565,317750,9.3,284557,5.05,new-jersey,2020-11-15T00:43:55.191983Z
34027,Morris,283368,0,390,396,Merged into voters' home precincts and released with cumulative results,98,287978,98%,98% reported,edison,2,unknown,,33525,,,145196,132713,2283,1458,918,228,214,192,166,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:51Z,4.40523,D+4,Biden +4,democrat,-4.40523,253537,4.3,227885,10.88,new-jersey,2020-11-15T00:43:55.191983Z
34029,Ocean,322036,269888,413,413,Released as a separate subtotal as first report of the night,100,315516,>98%,>98% reported,edison,4,unknown,,43803,,,113359,203613,2223,1119,967,45,462,133,115,99692,166501,1562,817,714,33,367,109,93,2020-11-14T16:39:52Z,28.02606,R+28,Trump +28,republican,28.02606,276725,33.2,251853,17.54,new-jersey,2020-11-15T00:43:55.191983Z
34031,Passaic,205977,111703,248,284,None,92,224022,92%,92% reported,edison,2,some,,17333,,,118112,84873,1017,586,747,150,103,133,256,67604,42806,422,252,334,65,45,63,112,2020-11-14T16:39:53Z,16.13724,D+16,Biden +16,democrat,-16.13724,196228,-22.4,181988,-28.25,new-jersey,2020-11-15T00:43:55.191983Z
34033,Salem,32448,0,45,45,None,96,33926,96%,96% reported,edison,4,some,,3501,,,13722,18042,381,109,83,16,40,37,18,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:53Z,13.31361,R+13,Trump +13,republican,13.31361,29853,15,29622,-1.3,new-jersey,2020-11-15T00:43:55.191983Z
34035,Somerset,174640,0,256,265,Released as a separate subtotal as first report of the night,97,180656,97%,97% reported,edison,2,some,,24227,,,103875,67335,1533,930,564,109,127,108,59,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:54Z,20.92304,D+21,Biden +21,democrat,-20.92304,157092,-12.8,143180,-5.58,new-jersey,2020-11-15T00:43:55.191983Z
34037,Sussex,84806,76645,118,119,Merged into voters' home precincts and released with cumulative results,99,85245,>98%,>98% reported,edison,4,some,,9122,,,33142,49609,1029,373,334,85,88,98,48,30875,44055,859,306,281,71,75,82,41,2020-11-14T16:39:56Z,19.41726,R+19,Trump +19,republican,19.41726,75158,29.9,68194,21.29,new-jersey,2020-11-15T00:43:55.191983Z
34039,Union,229821,122637,388,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,153667,72679,1301,984,713,51,60,103,263,88914,32365,480,398,292,21,19,45,103,2020-11-14T16:39:56Z,35.2396,D+35,Biden +35,democrat,-35.2396,223570,-35.5,210088,-34,new-jersey,2020-11-15T00:43:55.191983Z
34041,Warren,58182,53340,22,22,Merged into voters' home precincts and released with cumulative results,100,56621,>98%,>98% reported,edison,4,some,,7469,,,23861,32998,629,257,245,39,89,39,25,22315,29867,546,227,211,34,82,36,22,2020-11-14T16:39:57Z,15.70417,R+16,Trump +16,republican,15.70417,49683,25.3,45415,15.41,new-jersey,2020-11-15T00:43:55.191983Z
