fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34001,Atlantic,127811,111152,143,151,Released separately AFTER election night,95,134885,95%,95% reported,edison,2,some,,14118,,,66812,58525,1493,502,393,86,59095,50082,1167,404,332,72,2020-11-14T16:39:58Z,6.48379,D+6,Booker +6,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34003,Bergen,437227,417177,509,561,Merged into voters' home precincts AFTER election night,91,482190,91%,91% reported,edison,2,some,,45653,,,253970,176130,2885,2510,1459,273,244619,165903,2675,2358,1349,273,2020-11-14T16:39:59Z,17.80311,D+18,Booker +18,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34005,Burlington,240495,198907,343,365,Merged into voters' home precincts and released with cumulative results,96,251784,96%,96% reported,edison,2,some,,31397,,,141654,95786,914,1618,436,87,122088,74541,666,1220,305,87,2020-11-14T16:40:00Z,19.07233,D+19,Booker +19,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34007,Camden,241182,0,345,345,Released separately AFTER election night,93,260581,93%,93% reported,edison,2,unknown,,59568,,,159728,78802,642,1556,267,187,0,0,0,0,0,0,2020-11-14T16:40:00Z,33.55391,D+34,Booker +34,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34009,Cape May,54430,47376,123,127,Merged into voters' home precincts and released with cumulative results,97,56030,97%,97% reported,edison,4,some,,9231,,,22570,30937,393,404,126,,20209,26468,288,323,88,,2020-11-14T16:40:01Z,15.37204,R+15,Mehta +15,republican,new-jersey,2020-11-16T00:44:59.255097Z
34011,Cumberland,56697,17100,84,92,Released separately AFTER election night,89,63586,89%,89% reported,edison,4,some,,5984,,,29546,25253,1198,368,278,54,10821,5797,279,97,94,12,2020-11-14T16:40:01Z,7.57183,D+8,Booker +8,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34013,Essex,300326,0,462,550,Released as a separate subtotal as first report of the night,84,357574,84%,84% reported,edison,2,unknown,,24131,,,232299,63931,1525,2190,381,,0,0,0,0,0,,2020-11-14T16:40:02Z,56.06175,D+56,Booker +56,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34015,Gloucester,169973,146750,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,some,,25391,,,85376,80917,952,2248,286,194,75604,68245,715,1809,226,151,2020-11-14T16:40:02Z,2.62336,D+3,Booker +3,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34017,Hudson,206083,0,371,454,Released as a separate subtotal as first report of the night,82,252281,82%,82% reported,edison,2,some,,14745,,,153645,46961,3012,1696,666,103,0,0,0,0,0,0,2020-11-14T16:40:02Z,51.76749,D+52,Booker +52,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34019,Hunterdon,81123,71243,110,116,Released as a separate subtotal as first report of the night,100,81461,>98%,>98% reported,edison,4,some,,13401,,,35964,43042,375,1419,176,147,32877,36658,296,1151,138,123,2020-11-14T16:40:02Z,8.72502,R+9,Mehta +9,republican,new-jersey,2020-11-16T00:44:59.255097Z
34021,Mercer,159428,0,215,243,None,89,180008,89%,89% reported,edison,4,unknown,,21542,,,108436,48643,939,1100,227,83,0,0,0,0,0,0,2020-11-14T16:40:03Z,37.5047,D+38,Booker +38,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34023,Middlesex,331258,0,615,615,Other,88,375017,88%,88% reported,edison,4,some,,56703,,,201557,122069,2538,3118,1739,237,0,0,0,0,0,0,2020-11-14T22:08:57Z,23.9958,D+24,Booker +24,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34025,Monmouth,363390,0,511,511,Merged into voters' home precincts and released with cumulative results,100,361534,>98%,>98% reported,edison,2,unknown,,47571,,,169019,187577,1594,4318,838,44,0,0,0,0,0,0,2020-11-14T16:40:03Z,5.10691,R+5,Mehta +5,republican,new-jersey,2020-11-16T00:44:59.255097Z
34027,Morris,274589,0,378,396,Merged into voters' home precincts and released with cumulative results,95,287978,95%,95% reported,edison,2,unknown,,33525,,,137832,133382,1037,1596,512,230,0,0,0,0,0,0,2020-11-14T16:40:04Z,1.6206,D+1.6,Booker +1.6,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34029,Ocean,310062,260531,406,413,Released as a separate subtotal as first report of the night,98,315516,98%,98% reported,edison,4,unknown,,43803,,,109833,194849,1987,2555,485,353,96301,160141,1508,1938,376,267,2020-11-14T16:40:04Z,27.41903,R+27,Mehta +27,republican,new-jersey,2020-11-16T00:44:59.255097Z
34031,Passaic,201349,109504,243,284,None,90,224022,90%,90% reported,edison,2,some,,17333,,,120016,75666,2436,2286,805,140,67838,39132,1037,1062,371,64,2020-11-14T16:40:04Z,22.02643,D+22,Booker +22,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34033,Salem,32009,0,45,45,None,94,33926,94%,94% reported,edison,4,some,,3501,,,13746,17209,365,481,161,47,0,0,0,0,0,0,2020-11-14T16:40:04Z,10.81883,R+11,Mehta +11,republican,new-jersey,2020-11-16T00:44:59.255097Z
34035,Somerset,172116,0,252,265,Released as a separate subtotal as first report of the night,95,180656,95%,95% reported,edison,2,some,,24227,,,98721,71017,559,1455,236,128,0,0,0,0,0,0,2020-11-14T16:38:25Z,16.09612,D+16,Booker +16,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34037,Sussex,83089,75184,116,119,Merged into voters' home precincts and released with cumulative results,97,85245,97%,97% reported,edison,4,some,,9122,,,32575,48004,575,1540,225,170,30271,42755,482,1336,196,144,2020-11-14T16:40:22Z,18.56925,R+19,Mehta +19,republican,new-jersey,2020-11-16T00:44:59.255097Z
34039,Union,225880,120577,381,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,151423,70833,1577,1431,447,169,86793,32261,612,641,195,75,2020-11-15T20:06:45Z,35.67824,D+36,Booker +36,democrat,new-jersey,2020-11-16T00:44:59.255097Z
34041,Warren,56933,52262,22,22,Merged into voters' home precincts and released with cumulative results,100,56621,>98%,>98% reported,edison,4,some,,7469,,,23071,32279,442,883,175,83,21563,29305,370,797,155,72,2020-11-14T16:40:24Z,16.1734,R+16,Mehta +16,republican,new-jersey,2020-11-16T00:44:59.255097Z
