fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_warnerm,results_gaded,results_absentee_warnerm,results_absentee_gaded,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
51137,Orange,20562,9799,11,11,None,100,18125,>98%,>98% reported,edison,4,some,,1498,,,8392,12170,5593,4206,2020-11-14T16:41:54Z,18.3737,R+18,Gade +18,republican,virginia,2020-11-16T00:45:25.100219Z
51139,Page,12388,5047,6,6,Released as a precinct in the middle of the night,100,11515,>98%,>98% reported,edison,2,unknown,,904,,,3420,8968,2219,2828,2020-11-14T16:41:54Z,44.78528,R+45,Gade +45,republican,virginia,2020-11-16T00:45:25.100219Z
51141,Patrick,9185,3528,13,14,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9141,>98%,>98% reported,edison,2,unknown,,749,,,2310,6875,1309,2219,2020-11-14T16:41:54Z,49.7006,R+50,Gade +50,republican,virginia,2020-11-16T00:45:25.100219Z
51730,Petersburg,13918,9218,7,8,Released as a precinct in the middle of the night,74,18743,74%,74% reported,edison,2,unknown,,2313,,,12413,1505,8421,797,2020-11-14T16:41:04Z,78.37333,D+78,Warner +78,democrat,virginia,2020-11-16T00:45:25.100219Z
51143,Pittsylvania,33502,17814,27,30,Released as a precinct in the middle of the night,99,33880,>98%,>98% reported,edison,2,unknown,,2965,,,11509,21993,7059,10755,2020-11-14T16:41:54Z,31.29365,R+31,Gade +31,republican,virginia,2020-11-16T00:45:25.100219Z
51735,Poquoson,7806,4992,4,4,Released separately AFTER election night,96,8120,96%,96% reported,edison,2,unknown,,868,,,2212,5594,1707,3285,2020-11-14T16:41:04Z,43.32565,R+43,Gade +43,republican,virginia,2020-11-16T00:45:25.100219Z
51740,Portsmouth,43761,23911,27,32,Released separately AFTER election night,81,54103,81%,81% reported,edison,4,unknown,,4194,,,31520,12241,19664,4247,2020-11-14T16:41:05Z,44.05521,D+44,Warner +44,democrat,virginia,2020-11-16T00:45:25.100219Z
51145,Powhatan,19683,10038,13,13,"As a precinct in the FIRST cumulative report, along with regular precincts",100,19683,>98%,>98% reported,edison,6,unknown,,1526,,,5638,14045,3883,6155,2020-11-14T16:41:55Z,42.71198,R+43,Gade +43,republican,virginia,2020-11-16T00:45:25.100219Z
51147,Prince Edward,9486,4870,10,11,None,98,9680,98%,98% reported,edison,4,none,,743,,,5195,4291,3134,1736,2020-11-14T16:41:55Z,9.52983,D+10,Warner +10,democrat,virginia,2020-11-16T00:45:25.100219Z
51149,Prince George,17041,10022,10,11,"As a precinct in the FIRST cumulative report, along with regular precincts",100,16985,>98%,>98% reported,edison,4,all,,2071,,,7199,9842,5072,4950,2020-11-14T16:41:55Z,15.50965,R+16,Gade +16,republican,virginia,2020-11-16T00:45:25.100219Z
51153,Prince William,224232,167433,91,94,Released as a precinct in the middle of the night,97,231915,97%,97% reported,edison,2,unknown,,50233,,,144162,80070,115546,51887,2020-11-14T16:41:55Z,28.5829,D+29,Warner +29,democrat,virginia,2020-11-16T00:45:25.100219Z
51155,Pulaski,17144,8839,12,13,None,100,16262,>98%,>98% reported,edison,4,all,,1096,,,5941,11203,3978,4861,2020-11-14T16:41:55Z,30.69295,R+31,Gade +31,republican,virginia,2020-11-16T00:45:25.100219Z
51750,Radford,6241,3656,4,5,Released as a precinct in the middle of the night,91,6885,91%,91% reported,edison,4,unknown,,497,,,3551,2690,2417,1239,2020-11-14T16:41:05Z,13.79587,D+14,Warner +14,democrat,virginia,2020-11-16T00:45:25.100219Z
51157,Rappahannock,4953,2127,7,7,Other,100,4705,>98%,>98% reported,edison,4,none,,451,,,2219,2734,1500,627,2020-11-14T16:41:55Z,10.39774,R+10,Gade +10,republican,virginia,2020-11-16T00:45:25.100219Z
51159,Richmond,4034,2311,6,6,Merged into voters' home precincts and released with cumulative results,100,4040,>98%,>98% reported,edison,2,unknown,,283,,,1687,2347,1153,1158,2020-11-14T16:41:56Z,16.36093,R+16,Gade +16,republican,virginia,2020-11-16T00:45:25.100219Z
51760,Richmond City,108655,71261,62,70,Released as a precinct in the middle of the night,89,122111,89%,89% reported,edison,2,unknown,,7463,,,90560,18095,62702,8559,2020-11-14T16:41:05Z,66.69274,D+67,Warner +67,democrat,virginia,2020-11-16T00:45:25.100219Z
51161,Roanoke,56685,37092,32,34,None,100,54038,>98%,>98% reported,edison,2,unknown,,4981,,,24043,32642,18582,18510,2020-11-14T16:41:56Z,15.1698,R+15,Gade +15,republican,virginia,2020-11-16T00:45:25.100219Z
51770,Roanoke City,42844,27534,19,21,Released as a precinct at the end of tabulation,100,42063,>98%,>98% reported,edison,2,none,,4517,,,28345,14499,20450,7084,2020-11-14T16:41:06Z,32.31724,D+32,Warner +32,democrat,virginia,2020-11-16T00:45:25.100219Z
51163,Rockbridge,12277,5042,17,18,Released as a precinct at the end of tabulation,100,11329,>98%,>98% reported,edison,4,unknown,,929,,,4631,7646,2942,2100,2020-11-14T16:41:56Z,24.55812,R+25,Gade +25,republican,virginia,2020-11-16T00:45:25.100219Z
51165,Rockingham,43439,17906,31,32,Released with cumulative results periodically election night,100,39343,>98%,>98% reported,edison,4,unknown,,2635,,,13739,29700,8665,9241,2020-11-14T16:41:56Z,36.74348,R+37,Gade +37,republican,virginia,2020-11-16T00:45:25.100219Z
51167,Russell,13250,5315,15,16,"As a precinct in the FIRST cumulative report, along with regular precincts",99,13324,>98%,>98% reported,edison,6,all,,1136,,,3288,9962,1709,3606,2020-11-14T16:41:56Z,50.36981,R+50,Gade +50,republican,virginia,2020-11-16T00:45:25.100219Z
51775,Salem,13024,8946,10,11,Released as a separate subtotal at the end of tabulation,100,12893,>98%,>98% reported,edison,4,unknown,,1333,,,5691,7333,4554,4392,2020-11-14T16:41:06Z,12.60749,R+13,Gade +13,republican,virginia,2020-11-16T00:45:25.100219Z
51169,Scott,10734,4541,16,18,None,100,10739,>98%,>98% reported,edison,6,all,,965,,,2191,8543,1153,3388,2020-11-14T16:41:56Z,59.17645,R+59,Gade +59,republican,virginia,2020-11-16T00:45:25.100219Z
51171,Shenandoah,23536,10899,13,13,Released as a precinct at the end of tabulation,100,21528,>98%,>98% reported,edison,2,unknown,,1752,,,7313,16223,4851,6048,2020-11-14T16:41:56Z,37.8569,R+38,Gade +38,republican,virginia,2020-11-16T00:45:25.100219Z
51173,Smyth,13986,4605,14,15,Released as a precinct in the middle of the night,100,13820,>98%,>98% reported,edison,4,some,,841,,,3973,10013,1912,2693,2020-11-14T16:41:57Z,43.18604,R+43,Gade +43,republican,virginia,2020-11-16T00:45:25.100219Z
51175,Southampton,9615,4392,13,14,Merged into voters' home precincts AFTER election night,99,9719,>98%,>98% reported,edison,6,all,,598,,,4123,5492,2356,2036,2020-11-14T16:41:57Z,14.23817,R+14,Gade +14,republican,virginia,2020-11-16T00:45:25.100219Z
51177,Spotsylvania,74819,48416,27,27,Released as a precinct in the middle of the night,100,65659,>98%,>98% reported,edison,4,unknown,,8867,,,35605,39214,27263,21153,2020-11-14T16:41:57Z,4.82364,R+5,Gade +5,republican,virginia,2020-11-16T00:45:25.100219Z
51179,Stafford,77955,48548,28,28,Released as a precinct in the middle of the night,99,78500,>98%,>98% reported,edison,4,some,,9001,,,40566,37389,29797,18751,2020-11-14T16:41:57Z,4.07543,D+4,Warner +4,democrat,virginia,2020-11-16T00:45:25.100219Z
51790,Staunton,12835,8909,6,6,Released as a precinct at the end of tabulation,100,11812,>98%,>98% reported,edison,4,none,,1258,,,7289,5546,5901,3008,2020-11-14T16:41:06Z,13.58005,D+14,Warner +14,democrat,virginia,2020-11-16T00:45:25.100219Z
51800,Suffolk,49230,30578,27,28,Released as a precinct as first report of the night,96,51023,96%,96% reported,edison,2,unknown,,5506,,,29275,19955,21057,9521,2020-11-14T16:41:06Z,18.93155,D+19,Warner +19,democrat,virginia,2020-11-16T00:45:25.100219Z
51181,Surry,4397,2579,7,8,Merged into voters' home precincts and released with cumulative results,87,5079,87%,87% reported,edison,4,some,,4228,,,2439,1958,1722,857,2020-11-14T16:41:58Z,10.93928,D+11,Warner +11,democrat,virginia,2020-11-16T00:45:25.100219Z
51183,Sussex,5070,2283,10,12,None,79,6410,79%,79% reported,edison,4,unknown,,363,,,2924,2146,1498,785,2020-11-14T16:41:58Z,15.34517,D+15,Warner +15,democrat,virginia,2020-11-16T00:45:25.100219Z
51185,Tazewell,19537,9716,19,21,Released as a precinct at the end of tabulation,98,19906,98%,98% reported,edison,2,unknown,,1686,,,4504,15033,2743,6973,2020-11-14T16:41:58Z,53.89261,R+54,Gade +54,republican,virginia,2020-11-16T00:45:25.100219Z
51810,Virginia Beach,223790,128358,94,101,Released as a precinct as first report of the night,88,255000,88%,88% reported,edison,4,unknown,,29739,,,120753,103037,81120,47238,2020-11-14T16:41:06Z,7.91635,D+8,Warner +8,democrat,virginia,2020-11-16T00:45:25.100219Z
51187,Warren,20949,11351,12,12,Other,100,18849,>98%,>98% reported,edison,2,unknown,,1693,,,7075,13874,5084,6267,2020-11-14T16:41:58Z,32.45501,R+32,Gade +32,republican,virginia,2020-11-16T00:45:25.100219Z
51191,Washington,28400,15756,19,20,Released as a precinct in the middle of the night,100,27126,>98%,>98% reported,edison,4,some,,2689,,,7744,20656,5577,10179,2020-11-14T16:41:59Z,45.46479,R+45,Gade +45,republican,virginia,2020-11-16T00:45:25.100219Z
51820,Waynesboro,10599,6715,5,5,Released as a precinct in the middle of the night,100,9660,>98%,>98% reported,edison,2,unknown,,708,,,5275,5324,3917,2798,2020-11-14T16:41:07Z,0.46231,R+0.46,Gade +0.46,republican,virginia,2020-11-16T00:45:25.100219Z
51193,Westmoreland,9830,5186,9,9,Released with cumulative results periodically election night,100,8998,>98%,>98% reported,edison,2,unknown,,1118,,,4821,5009,3162,2024,2020-11-14T16:41:59Z,1.91251,R+1.9,Gade +1.9,republican,virginia,2020-11-16T00:45:25.100219Z
51830,Williamsburg,6831,5421,2,3,None,100,6797,>98%,>98% reported,edison,6,all,,961,,,4811,2020,4037,1384,2020-11-14T16:41:07Z,40.85785,D+41,Warner +41,democrat,virginia,2020-11-16T00:45:25.100219Z
51840,Winchester,11974,7982,7,7,None,100,11195,>98%,>98% reported,edison,4,none,,1269,,,6898,5076,5181,2801,2020-11-14T16:41:07Z,15.2163,D+15,Warner +15,democrat,virginia,2020-11-16T00:45:25.100219Z
51195,Wise,16224,9008,12,13,Released as a precinct in the middle of the night,100,16257,>98%,>98% reported,edison,4,all,,1328,,,4128,12096,2654,6354,2020-11-14T16:41:59Z,49.11243,R+49,Gade +49,republican,virginia,2020-11-16T00:45:25.100219Z
51197,Wythe,14830,6003,11,12,None,100,14307,>98%,>98% reported,edison,2,unknown,,896,,,4043,10787,2355,3648,2020-11-14T16:41:59Z,45.47539,R+45,Gade +45,republican,virginia,2020-11-16T00:45:25.100219Z
51199,York,38549,27861,13,14,Released as a precinct at the end of tabulation,100,38602,>98%,>98% reported,edison,2,none,,3644,,,18025,20524,14685,13176,2020-11-14T16:42:00Z,6.48266,R+6,Gade +6,republican,virginia,2020-11-16T00:45:25.100219Z
