fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_dainess,results_bullocks,results_absentee_dainess,results_absentee_bullocks,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
30001,Beaverhead,5665,0,16,16,Merged into voters' home precincts AFTER election night,100,5664,>98%,>98% reported,edison,6,all,,4174,,,3775,1890,0,0,2020-11-14T16:39:21Z,33.27449,R+33,Daines +33,republican,montana,2020-11-16T00:44:51.509408Z
30003,Big Horn,4676,0,18,19,Released as a separate subtotal as first report of the night,90,5191,90%,90% reported,edison,2,some,,2040,,,2086,2590,0,0,2020-11-14T16:39:22Z,10.77844,D+11,Bullock +11,democrat,montana,2020-11-16T00:44:51.509408Z
30005,Blaine,3135,0,8,8,Merged into voters' home precincts AFTER election night,100,3135,>98%,>98% reported,edison,6,all,,1576,,,1343,1792,0,0,2020-11-14T16:39:23Z,14.32217,D+14,Bullock +14,democrat,montana,2020-11-16T00:44:51.509408Z
30007,Broadwater,4069,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4069,>98%,>98% reported,edison,6,all,,2206,,,3074,995,0,0,2020-11-14T16:39:23Z,51.09363,R+51,Daines +51,republican,montana,2020-11-16T00:44:51.509408Z
30009,Carbon,7040,0,13,13,Merged into voters' home precincts and released with cumulative results,100,7045,>98%,>98% reported,edison,6,all,,4579,,,4361,2679,0,0,2020-11-14T16:39:24Z,23.89205,R+24,Daines +24,republican,montana,2020-11-16T00:44:51.509408Z
30011,Carter,861,0,4,4,Merged into voters' home precincts and released with cumulative results,92,937,92%,92% reported,edison,2,unknown,,414,,,767,94,0,0,2020-11-14T16:39:25Z,78.16492,R+78,Daines +78,republican,montana,2020-11-16T00:44:51.509408Z
30013,Cascade,39841,0,23,23,Merged into voters' home precincts and released with cumulative results,100,39841,>98%,>98% reported,edison,6,all,,42859,,,22197,17644,0,0,2020-11-14T16:39:25Z,11.42793,R+11,Daines +11,republican,montana,2020-11-16T00:44:51.509408Z
30015,Chouteau,2985,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2985,>98%,>98% reported,edison,6,all,,2205,,,1811,1174,0,0,2020-11-14T16:39:26Z,21.34003,R+21,Daines +21,republican,montana,2020-11-16T00:44:51.509408Z
30017,Custer,5855,0,13,14,Merged into voters' home precincts AFTER election night,100,5878,>98%,>98% reported,edison,6,unknown,,3874,,,3994,1861,0,0,2020-11-14T16:39:27Z,36.4304,R+36,Daines +36,republican,montana,2020-11-16T00:44:51.509408Z
30019,Daniels,1030,0,4,4,Merged into voters' home precincts and released with cumulative results,87,1188,87%,87% reported,edison,2,unknown,,595,,,787,243,0,0,2020-11-14T16:39:27Z,52.81553,R+53,Daines +53,republican,montana,2020-11-16T00:44:51.509408Z
