fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_hunterd,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_hunterd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
41041,Lincoln,30441,0,32,32,Other,100,28792,>98%,>98% reported,edison,4,unknown,,,,,17248,12336,450,138,206,63,0,0,0,0,0,0,2020-11-11T03:26:32Z,16.13613,D+16,Biden +16,democrat,-16.13613,25256,-9.7,22984,-20.51,oregon,2020-11-12T17:32:47.220719Z
41043,Linn,71148,0,90,90,Other,100,66940,>98%,>98% reported,edison,2,some,,,,,25893,42708,1532,480,391,144,0,0,0,0,0,0,2020-11-11T03:26:33Z,23.63383,R+24,Trump +24,republican,23.63383,58719,26.4,51426,16.66,oregon,2020-11-12T17:32:47.220719Z
41045,Malheur,11653,0,24,24,Other,98,11896,98%,98% reported,edison,2,unknown,,,,,3202,8101,215,50,56,29,0,0,0,0,0,0,2020-11-11T03:26:33Z,42.04068,R+42,Trump +42,republican,42.04068,10435,47.4,9956,41.1,oregon,2020-11-12T17:32:47.220719Z
41047,Marion,164156,0,122,122,Other,100,155998,>98%,>98% reported,edison,4,unknown,,,,,80138,78424,3228,1219,832,315,0,0,0,0,0,0,2020-11-11T03:26:33Z,1.04413,D+1.0,Biden +1.0,democrat,-1.04413,136840,4.1,120376,3.17,oregon,2020-11-12T17:32:47.220719Z
41049,Morrow,5060,0,5,5,Other,100,4750,>98%,>98% reported,edison,2,unknown,,,,,1345,3557,123,17,13,5,0,0,0,0,0,0,2020-11-11T03:26:28Z,43.71542,R+44,Trump +44,republican,43.71542,4167,40.9,3882,34.26,oregon,2020-11-12T17:32:47.220719Z
41051,Multnomah,461453,0,113,113,Other,100,454977,>98%,>98% reported,edison,2,some,,,,,365787,82410,5661,3524,2945,1126,0,0,0,0,0,0,2020-11-11T03:26:29Z,61.40972,D+61,Biden +61,democrat,-61.40972,399103,-56.3,364722,-54.72,oregon,2020-11-12T17:32:47.220719Z
41053,Polk,48148,0,16,16,Other,100,46585,>98%,>98% reported,edison,6,all,,,,,22842,23670,976,359,211,90,0,0,0,0,0,0,2020-11-11T03:26:29Z,1.7197,R+1.7,Trump +1.7,republican,1.7197,40295,6.3,35257,4.33,oregon,2020-11-12T17:32:47.220719Z
41055,Sherman,1197,0,5,5,Other,100,1165,>98%,>98% reported,edison,2,unknown,,,,,257,914,24,1,0,1,0,0,0,0,0,0,2020-11-11T03:26:29Z,54.88722,R+55,Trump +55,republican,54.88722,1017,52.1,1026,34.99,oregon,2020-11-12T17:32:47.220719Z
41057,Tillamook,16725,0,29,29,Other,100,15735,>98%,>98% reported,edison,2,all,,,,,7956,8306,258,85,88,32,0,0,0,0,0,0,2020-11-11T03:25:42Z,2.09268,R+2,Trump +2,republican,2.09268,13803,5.6,12519,-4.86,oregon,2020-11-12T17:32:47.220719Z
41059,Umatilla,32539,0,45,45,Other,100,31461,>98%,>98% reported,edison,2,unknown,,,,,10499,21002,723,172,89,54,0,0,0,0,0,0,2020-11-11T03:25:44Z,32.27819,R+32,Trump +32,republican,32.27819,27597,34,24969,27.69,oregon,2020-11-12T17:32:47.220719Z
41061,Union,14862,0,19,19,Other,100,14784,>98%,>98% reported,edison,2,unknown,,,,,4227,10247,239,72,46,31,0,0,0,0,0,0,2020-11-11T03:25:44Z,40.50599,R+41,Trump +41,republican,40.50599,12968,40,12070,30.35,oregon,2020-11-12T17:32:47.220719Z
41063,Wallowa,5128,0,12,12,Other,100,4977,>98%,>98% reported,edison,4,all,,,,,1619,3390,75,18,10,16,0,0,0,0,0,0,2020-11-11T20:24:16Z,34.53588,R+35,Trump +35,republican,34.53588,4366,39.7,4205,36.88,oregon,2020-11-12T17:32:47.220719Z
41065,Wasco,13904,0,14,14,Other,100,13639,>98%,>98% reported,edison,2,unknown,,,,,6467,6965,284,90,71,27,0,0,0,0,0,0,2020-11-11T03:25:45Z,3.5817,R+4,Trump +4,republican,3.5817,11964,8.8,10873,0.17,oregon,2020-11-12T17:32:47.220719Z
41067,Washington,318353,0,143,143,Other,100,306924,>98%,>98% reported,edison,4,all,,,,,208447,98661,6360,2850,1408,627,0,0,0,0,0,0,2020-11-11T03:25:46Z,34.48562,D+34,Biden +34,democrat,-34.48562,269232,-26,237023,-17.43,oregon,2020-11-12T17:32:47.220719Z
41069,Wheeler,963,0,3,3,Other,100,967,>98%,>98% reported,edison,2,unknown,,,,,216,710,25,5,2,5,0,0,0,0,0,0,2020-11-11T03:25:47Z,51.29803,R+51,Trump +51,republican,51.29803,818,53.3,858,32.52,oregon,2020-11-12T17:32:47.220719Z
41071,Yamhill,57723,0,22,22,Other,100,55578,>98%,>98% reported,edison,2,unknown,,,,,26668,28933,1401,362,244,115,0,0,0,0,0,0,2020-11-11T03:25:47Z,3.92391,R+4,Trump +4,republican,3.92391,48753,8.1,42907,6.49,oregon,2020-11-12T17:32:47.220719Z
