fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
37001,Alamance,85616,68096,36,38,Released as a separate subtotal as first report of the night,100,85000,>98%,>98% reported,edison,2,none,,62360,,,45887,38673,683,222,151,0,34433,32922,468,165,108,0,2020-11-12T16:42:53Z,8.426,R+8,Trump +8,republican,8.426,71157,12.6,67776,13.71,north-carolina,2020-11-12T17:30:11.258840Z
37003,Alexander,20120,16818,9,10,Released as a separate subtotal as first report of the night,100,20088,>98%,>98% reported,edison,6,all,,15384,,,15806,4113,127,18,24,32,13065,3620,76,16,20,21,2020-11-11T03:25:32Z,58.1163,R+58,Trump +58,republican,58.1163,18271,55.4,17196,44.44,north-carolina,2020-11-12T17:30:11.258840Z
37005,Alleghany,6040,5006,4,4,Released as a separate subtotal as first report of the night,100,5336,>98%,>98% reported,edison,6,all,,5206,,,4501,1480,31,15,5,8,3652,1313,25,11,5,0,2020-11-11T03:25:38Z,50.01656,R+50,Trump +50,republican,50.01656,5315,47.2,5067,35.66,north-carolina,2020-11-12T17:30:11.258840Z
37007,Anson,11183,7913,8,9,Released as a precinct as first report of the night,97,11500,97%,97% reported,edison,2,unknown,,10515,,,5321,5788,41,14,19,,3208,4659,25,9,12,,2020-11-11T03:25:45Z,4.17598,D+4,Biden +4,democrat,-4.17598,10545,-12.8,11256,-25.35,north-carolina,2020-11-12T17:30:11.258840Z
37009,Ashe,15691,11243,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",100,15720,>98%,>98% reported,edison,2,unknown,,9733,,,11368,4149,125,22,27,,7688,3451,71,13,20,,2020-11-11T03:25:50Z,46.00727,R+46,Trump +46,republican,46.00727,13424,44,12610,32.72,north-carolina,2020-11-12T17:30:11.258840Z
37011,Avery,9339,5962,17,19,Released as a separate subtotal as first report of the night,97,9660,97%,97% reported,edison,2,unknown,,4091,,,7092,2171,54,12,10,,4229,1689,32,8,4,,2020-11-11T03:25:54Z,52.69301,R+53,Trump +53,republican,52.69301,8249,55.9,7759,50.06,north-carolina,2020-11-12T17:30:11.258840Z
37013,Beaufort,26128,20365,18,21,Released as a precinct as first report of the night,93,28032,93%,93% reported,edison,4,all,,22376,,,16352,9575,134,30,37,,12021,8210,90,18,26,,2020-11-11T03:25:57Z,25.93769,R+26,Trump +26,republican,25.93769,23938,24.1,23620,19.23,north-carolina,2020-11-12T17:30:11.258840Z
37015,Bertie,9676,7765,10,12,Merged into voters' home precincts and released with cumulative results,100,9676,>98%,>98% reported,edison,6,all,,9773,,,3778,5846,29,15,8,,2732,4990,25,13,5,,2020-11-11T03:26:01Z,21.37247,D+21,Biden +21,democrat,-21.37247,9347,-24.8,10123,-32.68,north-carolina,2020-11-12T17:30:11.258840Z
37017,Bladen,17111,13773,15,17,Released as a precinct as first report of the night,99,17307,>98%,>98% reported,edison,2,unknown,,16846,,,9677,7328,68,18,20,0,7497,6203,46,14,13,0,2020-11-12T16:44:06Z,13.72801,R+14,Trump +14,republican,13.72801,15897,9.4,15957,-1.97,north-carolina,2020-11-12T17:30:11.258840Z
37019,Brunswick,89183,78863,25,25,Released as a separate subtotal as first report of the night,99,90000,>98%,>98% reported,edison,2,unknown,,65557,,,55373,32984,625,112,89,,47469,30790,441,90,73,,2020-11-11T03:26:05Z,25.10456,R+25,Trump +25,republican,25.10456,68351,28.4,57362,22.15,north-carolina,2020-11-12T17:30:11.258840Z
37021,Buncombe,160855,141433,74,80,Released as a precinct as first report of the night,93,173684,93%,93% reported,edison,4,some,,142646,,,62253,96383,1455,540,224,,50488,89302,1068,398,177,,2020-11-11T03:26:08Z,21.21787,D+21,Biden +21,democrat,-21.21787,138947,-14.2,127696,-12.47,north-carolina,2020-11-12T17:30:11.258840Z
37023,Burke,44182,36522,30,33,Released as a separate subtotal as first report of the night,97,45576,97%,97% reported,edison,2,unknown,,37205,,,30814,12985,259,81,43,,24934,11319,177,56,36,,2020-11-11T03:26:09Z,40.35354,R+40,Trump +40,republican,40.35354,38920,38.5,36544,23.44,north-carolina,2020-11-12T17:30:11.258840Z
37025,Cabarrus,116396,97086,39,39,Released as a precinct as first report of the night,99,118000,>98%,>98% reported,edison,4,all,,66450,,,62974,51943,1086,251,142,,50169,45845,782,183,107,,2020-11-11T03:26:11Z,9.47713,R+9,Trump +9,republican,9.47713,93289,19.6,83566,19.99,north-carolina,2020-11-12T17:30:11.258840Z
