fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,29130,0,22,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",85,34332,85%,85% reported,edison,2,unknown,,4312,,,8464,20213,300,114,39,0,0,0,0,0,2020-11-11T03:26:24Z,40.33299,R+40,Trump +40,republican,40.33299,30654,43.7,29850,31.57,maryland,2020-11-12T17:30:58.509446Z
24003,Anne Arundel,294678,0,196,202,Released as a precinct as first report of the night,97,302491,97%,97% reported,edison,2,none,,61018,,,164988,123672,4475,1179,364,0,0,0,0,0,2020-11-12T16:37:44Z,14.02073,D+14,Biden +14,democrat,-14.02073,270081,-2.2,260155,0.08,maryland,2020-11-12T17:30:58.509446Z
24005,Baltimore,346035,0,186,236,Released separately AFTER election night,79,437564,79%,79% reported,edison,2,none,,89978,,,210155,130085,3919,1433,443,0,0,0,0,0,2020-11-12T01:33:44Z,23.13928,D+23,Biden +23,democrat,-23.13928,390682,-17.6,384782,-17,maryland,2020-11-12T17:30:58.509446Z
24510,Baltimore City,220296,0,243,296,Other,79,279607,79%,79% reported,edison,2,none,,72816,,,193130,23872,1628,1247,419,0,0,0,0,0,2020-11-11T03:26:25Z,76.83208,D+77,Biden +77,democrat,-76.83208,239402,-74.1,254005,-76.1,maryland,2020-11-12T17:30:58.509446Z
24009,Calvert,48023,0,22,24,"As a precinct in the FIRST cumulative report, along with regular precincts",90,53097,90%,90% reported,edison,2,unknown,,11262,,,22185,24957,719,124,38,0,0,0,0,0,2020-11-11T03:26:25Z,5.77223,R+6,Trump +6,republican,5.77223,47408,16.8,45518,7.52,maryland,2020-11-12T17:30:58.509446Z
24011,Caroline,14940,0,8,8,Released as a precinct as first report of the night,95,15807,95%,95% reported,edison,2,unknown,,3784,,,4704,9899,219,86,32,0,0,0,0,0,2020-11-11T03:26:25Z,34.77242,R+35,Trump +35,republican,34.77242,14113,38,13357,23.42,maryland,2020-11-12T17:30:58.509446Z
24013,Carroll,96848,58185,34,36,Released separately AFTER election night,94,102870,94%,94% reported,edison,4,some,,16653,,,35316,58883,1961,522,166,24488,32426,898,283,90,2020-11-11T03:26:26Z,24.33401,R+24,Trump +24,republican,24.33401,91848,34.5,87536,32.93,maryland,2020-11-12T17:30:58.509446Z
24015,Cecil,45853,0,25,28,Other,90,50701,90%,90% reported,edison,2,none,,9424,,,16053,28797,690,224,89,0,0,0,0,0,2020-11-11T03:26:26Z,27.79317,R+28,Trump +28,republican,27.79317,45269,33.6,42480,19.42,maryland,2020-11-12T17:30:58.509446Z
24017,Charles,81617,0,44,44,Released as a precinct as first report of the night,93,87699,93%,93% reported,edison,2,unknown,,19179,,,56204,24227,681,375,130,0,0,0,0,0,2020-11-11T03:26:26Z,39.17934,D+39,Biden +39,democrat,-39.17934,78303,-30.3,75222,-31.37,maryland,2020-11-12T17:30:58.509446Z
24019,Dorchester,13371,0,31,39,Other,78,17061,78%,78% reported,edison,2,none,,3944,,,5295,7804,143,90,39,0,0,0,0,0,2020-11-11T03:26:26Z,18.76449,R+19,Trump +19,republican,18.76449,15225,14.2,15444,4.66,maryland,2020-11-12T17:30:58.509446Z
