fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_hammonsb,results_blankenshipd,results_de_la_fuenter,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_hammonsb,results_absentee_blankenshipd,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
34001,Atlantic,131980,114510,148,151,Released separately AFTER election night,98,134885,98%,98% reported,edison,2,some,,14118,,,68978,60957,902,381,341,155,104,95,67,61032,51884,683,294,274,120,88,84,51,2020-11-11T03:25:41Z,6.07744,D+6,Biden +6,democrat,-6.07744,118041,-7,113344,-16.83,new-jersey,2020-11-12T17:33:03.615463Z
34003,Bergen,448647,428024,522,561,Merged into voters' home precincts AFTER election night,93,482190,93%,93% reported,edison,2,some,,45653,,,259358,182831,2554,1611,1203,314,269,291,216,250139,171754,2382,1611,1137,289,245,269,198,2020-11-11T03:25:45Z,17.05729,D+17,Biden +17,democrat,-17.05729,422213,-13.2,385990,-11.32,new-jersey,2020-11-12T17:33:03.615463Z
34005,Burlington,242911,203612,352,365,Merged into voters' home precincts and released with cumulative results,96,251784,96%,96% reported,edison,2,some,,31397,,,144154,94755,2027,751,542,153,126,330,73,126131,74502,1449,620,409,114,85,249,53,2020-11-11T03:25:46Z,20.33625,D+20,Biden +20,democrat,-20.33625,221283,-14.7,216339,-18.02,new-jersey,2020-11-12T17:33:03.615463Z
34007,Camden,243151,0,322,345,Released separately AFTER election night,93,260581,93%,93% reported,edison,2,unknown,,59568,,,160606,78600,1717,901,712,171,141,200,103,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:46Z,33.72637,D+34,Biden +34,democrat,-33.72637,229047,-32.3,225949,-37.27,new-jersey,2020-11-12T17:33:03.615463Z
34009,Cape May,56954,49342,127,127,Merged into voters' home precincts and released with cumulative results,100,56030,>98%,>98% reported,edison,4,some,,9231,,,23583,32770,304,,138,16,58,29,56,21159,27756,215,,105,10,43,20,34,2020-11-11T03:25:48Z,16.13056,R+16,Trump +16,republican,16.13056,49257,19.7,48093,8.58,new-jersey,2020-11-12T17:33:03.615463Z
34011,Cumberland,58248,17519,86,92,Released separately AFTER election night,92,63586,92%,92% reported,edison,4,some,,5984,,,30148,27294,362,154,126,20,67,29,48,11098,6267,63,28,21,7,15,9,11,2020-11-11T03:50:43Z,4.89974,D+5,Biden +5,democrat,-4.89974,54331,-6.1,55369,-24.2,new-jersey,2020-11-12T17:33:03.615463Z
34013,Essex,308715,0,474,550,Released as a separate subtotal as first report of the night,86,357574,86%,86% reported,edison,2,unknown,,24131,,,237981,68038,1172,,863,245,93,110,213,0,0,0,,0,0,0,0,0,2020-11-11T20:19:43Z,55.04851,D+55,Biden +55,democrat,-55.04851,312884,-56.8,303295,-56.78,new-jersey,2020-11-12T17:33:03.615463Z
34015,Gloucester,168093,149317,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,unknown,,25391,,,84120,80700,1542,769,435,81,144,116,186,76925,69839,1181,589,349,67,122,98,147,2020-11-11T03:25:52Z,2.03459,D+2,Biden +2,democrat,-2.03459,141254,0.5,135570,-10.74,new-jersey,2020-11-12T17:33:03.615463Z
34017,Hudson,213606,0,384,454,Released as a separate subtotal as first report of the night,85,252281,85%,85% reported,edison,2,some,,14745,,,157349,53435,1054,522,684,180,219,72,91,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:53Z,48.64751,D+49,Biden +49,democrat,-48.64751,220542,-52.1,197693,-56.02,new-jersey,2020-11-12T17:33:03.615463Z
34019,Hunterdon,78998,72648,112,116,Released as a separate subtotal as first report of the night,97,81461,97%,97% reported,edison,4,some,,13401,,,37419,39751,864,397,358,40,70,64,35,35318,35808,698,326,314,38,59,57,30,2020-11-11T03:25:54Z,2.95197,R+3,Trump +3,republican,2.95197,71660,13.7,66624,17.73,new-jersey,2020-11-12T17:33:03.615463Z
