fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bookerc,results_mehtar,results_fernandezv,results_hoffmanm,results_burked,results_write_ins,results_absentee_bookerc,results_absentee_mehtar,results_absentee_fernandezv,results_absentee_hoffmanm,results_absentee_burked,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
34001,Atlantic,127811,111152,143,151,Released separately AFTER election night,95,134885,95%,95% reported,edison,2,some,,14118,,,66812,58525,1493,502,393,86,59095,50082,1167,404,332,72,2020-11-11T03:26:04Z,6.48379,D+6,Booker +6,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34003,Bergen,437227,417177,509,561,Merged into voters' home precincts AFTER election night,91,482190,91%,91% reported,edison,2,some,,45653,,,253970,176130,2885,2510,1459,273,244619,165903,2675,2358,1349,273,2020-11-11T03:26:05Z,17.80311,D+18,Booker +18,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34005,Burlington,236865,198924,343,365,Merged into voters' home precincts and released with cumulative results,94,251784,94%,94% reported,edison,2,some,,31397,,,139867,93987,897,1578,426,110,122088,74541,666,1220,305,104,2020-11-11T03:26:06Z,19.36968,D+19,Booker +19,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34007,Camden,239384,0,317,345,Released separately AFTER election night,92,260581,92%,92% reported,edison,2,unknown,,59568,,,158501,78242,634,1549,263,195,0,0,0,0,0,0,2020-11-11T03:26:07Z,33.5273,D+34,Booker +34,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34009,Cape May,54430,47376,123,127,Merged into voters' home precincts and released with cumulative results,97,56030,97%,97% reported,edison,4,some,,9231,,,22570,30937,393,404,126,,20209,26468,288,323,88,,2020-11-11T03:26:07Z,15.37204,R+15,Mehta +15,republican,new-jersey,2020-11-12T00:38:06.447489Z
34011,Cumberland,56697,17100,83,92,Released separately AFTER election night,89,63586,89%,89% reported,edison,4,some,,5984,,,29546,25253,1198,368,278,54,10821,5797,279,97,94,12,2020-11-11T03:50:43Z,7.57183,D+8,Booker +8,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34013,Essex,300326,0,461,550,Released as a separate subtotal as first report of the night,84,357574,84%,84% reported,edison,2,unknown,,24131,,,232299,63931,1525,2190,381,,0,0,0,0,0,,2020-11-11T20:19:43Z,56.06175,D+56,Booker +56,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34015,Gloucester,164946,146750,229,229,Merged into voters' home precincts and released with cumulative results,100,160473,>98%,>98% reported,edison,4,unknown,,25391,,,82904,78513,901,2165,278,185,75604,68245,715,1809,226,151,2020-11-11T03:26:09Z,2.66208,D+3,Booker +3,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34017,Hudson,206083,0,371,454,Released as a separate subtotal as first report of the night,82,252281,82%,82% reported,edison,2,some,,14745,,,153645,46961,3012,1696,666,103,0,0,0,0,0,0,2020-11-11T03:26:10Z,51.76749,D+52,Booker +52,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34019,Hunterdon,77366,71243,110,116,Released as a separate subtotal as first report of the night,95,81461,95%,95% reported,edison,4,some,,13401,,,34771,40634,347,1309,161,144,32877,36658,296,1151,138,123,2020-11-11T03:26:11Z,7.57826,R+8,Mehta +8,republican,new-jersey,2020-11-12T00:38:06.447489Z
34021,Mercer,154206,0,208,243,None,86,180008,86%,86% reported,edison,4,unknown,,21542,,,105126,46813,894,1059,212,102,0,0,0,0,0,0,2020-11-11T03:26:11Z,37.815,D+38,Booker +38,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34023,Middlesex,291579,0,478,615,Other,78,375017,78%,78% reported,edison,4,some,,56703,,,181132,104138,2103,2625,1464,117,0,0,0,0,0,0,2020-11-11T16:48:51Z,26.40588,D+26,Booker +26,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34025,Monmouth,354205,0,501,511,Merged into voters' home precincts and released with cumulative results,98,361534,98%,98% reported,edison,2,unknown,,47571,,,165023,182627,1538,4169,801,47,0,0,0,0,0,0,2020-11-11T14:18:27Z,4.97,R+5,Mehta +5,republican,new-jersey,2020-11-12T00:38:06.447489Z
34027,Morris,201917,0,278,396,Merged into voters' home precincts and released with cumulative results,70,287978,70%,70% reported,edison,2,unknown,,33525,,,106697,92946,690,1103,335,146,0,0,0,0,0,0,2020-11-11T03:26:12Z,6.81022,D+7,Booker +7,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34029,Ocean,310062,260531,406,413,Released as a separate subtotal as first report of the night,98,315516,98%,98% reported,edison,4,unknown,,43803,,,109833,194849,1987,2555,485,353,96301,160141,1508,1938,376,267,2020-11-11T03:26:13Z,27.41903,R+27,Mehta +27,republican,new-jersey,2020-11-12T00:38:06.447489Z
34031,Passaic,191369,109504,243,284,None,85,224022,85%,85% reported,edison,2,some,,17333,,,113984,72078,2260,2145,762,140,67838,39132,1037,1062,371,64,2020-11-11T16:42:54Z,21.89801,D+22,Booker +22,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34033,Salem,31483,0,42,45,None,93,33926,93%,93% reported,edison,4,some,,3501,,,13493,16960,353,472,158,47,0,0,0,0,0,0,2020-11-11T16:57:07Z,11.01229,R+11,Mehta +11,republican,new-jersey,2020-11-12T00:38:06.447489Z
34035,Somerset,166646,0,244,265,Released as a separate subtotal as first report of the night,92,180656,92%,92% reported,edison,2,some,,24227,,,96158,68371,522,1360,202,33,0,0,0,0,0,0,2020-11-11T03:24:54Z,16.67427,D+17,Booker +17,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34037,Sussex,83089,75184,116,119,Merged into voters' home precincts and released with cumulative results,97,85245,97%,97% reported,edison,4,some,,9122,,,32575,48004,575,1540,225,170,30271,42755,482,1336,196,144,2020-11-11T17:51:42Z,18.56925,R+19,Mehta +19,republican,new-jersey,2020-11-12T00:38:06.447489Z
34039,Union,196523,120577,331,431,Merged into voters' home precincts and released with cumulative results,100,147759,>98%,>98% reported,edison,6,all,,25247,,,133459,60183,1218,1163,360,140,86793,32261,612,641,195,75,2020-11-11T20:42:44Z,37.28622,D+37,Booker +37,democrat,new-jersey,2020-11-12T00:38:06.447489Z
34041,Warren,52262,52262,19,22,Merged into voters' home precincts and released with cumulative results,92,56621,92%,92% reported,edison,4,some,,7469,,,21563,29305,370,797,155,72,21563,29305,370,797,155,72,2020-11-11T03:25:03Z,14.81382,R+15,Mehta +15,republican,new-jersey,2020-11-12T00:38:06.447489Z
