fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_capitos,results_swearenginp,results_morand,results_absentee_capitos,results_absentee_swearenginp,results_absentee_morand,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
54001,Barbour,6618,0,13,13,Merged into voters' home precincts and released with cumulative results,99,6659,>98%,>98% reported,edison,2,unknown,,2032,,,5096,1331,191,0,0,0,2020-11-11T03:25:07Z,56.8903,R+57,Capito +57,republican,west-virginia,2020-11-12T00:38:33.558295Z
54003,Berkeley,48464,0,66,66,Merged into voters' home precincts and released with cumulative results,99,49100,>98%,>98% reported,edison,2,unknown,,15549,,,32841,14234,1389,0,0,0,2020-11-11T03:25:08Z,38.39345,R+38,Capito +38,republican,west-virginia,2020-11-12T00:38:33.558295Z
54005,Boone,8867,0,24,26,Other,99,8983,>98%,>98% reported,edison,6,all,,2061,,,6674,2016,177,0,0,0,2020-11-11T03:25:09Z,52.53186,R+53,Capito +53,republican,west-virginia,2020-11-12T00:38:33.558295Z
54007,Braxton,5547,0,18,18,Merged into voters' home precincts and released with cumulative results,99,5599,>98%,>98% reported,edison,2,unknown,,2472,,,4006,1395,146,0,0,0,2020-11-11T03:25:01Z,47.07049,R+47,Capito +47,republican,west-virginia,2020-11-12T00:38:33.558295Z
54009,Brooke,10365,0,22,22,Merged into voters' home precincts and released with cumulative results,97,10631,97%,97% reported,edison,6,some,,3091,,,7355,2699,311,0,0,0,2020-11-11T03:25:02Z,44.92041,R+45,Capito +45,republican,west-virginia,2020-11-12T00:38:33.558295Z
54011,Cabell,36723,0,71,71,None,100,36900,>98%,>98% reported,edison,2,unknown,,13914,,,22880,12979,864,0,0,0,2020-11-11T03:25:03Z,26.9613,R+27,Capito +27,republican,west-virginia,2020-11-12T00:38:33.558295Z
54013,Calhoun,2888,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2879,>98%,>98% reported,edison,2,unknown,,965,,,2276,537,75,0,0,0,2020-11-11T03:25:04Z,60.21468,R+60,Capito +60,republican,west-virginia,2020-11-12T00:38:33.558295Z
54015,Clay,3334,0,11,11,Merged into voters' home precincts and released with cumulative results,100,3313,>98%,>98% reported,edison,2,unknown,,1368,,,2680,575,79,0,0,0,2020-11-11T03:25:04Z,63.13737,R+63,Capito +63,republican,west-virginia,2020-11-12T00:38:33.558295Z
54017,Doddridge,3024,0,12,12,Merged into voters' home precincts and released with cumulative results,97,3124,97%,97% reported,edison,2,unknown,,1440,,,2507,415,102,0,0,0,2020-11-11T03:25:04Z,69.17989,R+69,Capito +69,republican,west-virginia,2020-11-12T00:38:33.558295Z
54019,Fayette,16460,0,36,37,Merged into voters' home precincts and released with cumulative results,98,16794,98%,98% reported,edison,6,all,,4426,,,11158,4938,364,0,0,0,2020-11-11T03:24:57Z,37.78858,R+38,Capito +38,republican,west-virginia,2020-11-12T00:38:33.558295Z
54021,Gilmer,2593,0,9,10,Other,93,2797,93%,93% reported,edison,2,unknown,,1074,,,1939,586,68,0,0,0,2020-11-11T03:24:58Z,52.17894,R+52,Capito +52,republican,west-virginia,2020-11-12T00:38:33.558295Z
54023,Grant,5231,0,14,15,Merged into voters' home precincts and released with cumulative results,96,5452,96%,96% reported,edison,2,unknown,,2250,,,4544,534,153,0,0,0,2020-11-11T03:24:58Z,76.65838,R+77,Capito +77,republican,west-virginia,2020-11-12T00:38:33.558295Z
54025,Greenbrier,15621,0,29,29,Other,100,15374,>98%,>98% reported,edison,4,all,,5698,,,11042,4299,280,0,0,0,2020-11-11T03:24:59Z,43.16625,R+43,Capito +43,republican,west-virginia,2020-11-12T00:38:33.558295Z
54027,Hampshire,9800,0,24,24,None,99,9872,>98%,>98% reported,edison,6,all,,2597,,,7764,1764,272,0,0,0,2020-11-11T03:24:59Z,61.22449,R+61,Capito +61,republican,west-virginia,2020-11-12T00:38:33.558295Z
54029,Hancock,13439,0,23,24,Merged into voters' home precincts and released with cumulative results,97,13882,97%,97% reported,edison,4,all,,3621,,,9593,3484,362,0,0,0,2020-11-11T03:25:00Z,45.45725,R+45,Capito +45,republican,west-virginia,2020-11-12T00:38:33.558295Z
54031,Hardy,6241,0,14,14,Other,100,6207,>98%,>98% reported,edison,2,unknown,,1837,,,4879,1196,166,0,0,0,2020-11-11T03:25:54Z,59.01298,R+59,Capito +59,republican,west-virginia,2020-11-12T00:38:33.558295Z
54033,Harrison,29834,0,65,67,Other,98,30559,98%,98% reported,edison,4,all,,6885,,,21092,7751,991,0,0,0,2020-11-11T03:25:54Z,44.71744,R+45,Capito +45,republican,west-virginia,2020-11-12T00:38:33.558295Z
54035,Jackson,13337,0,31,31,Merged into voters' home precincts and released with cumulative results,100,13320,>98%,>98% reported,edison,2,unknown,,6758,,,10298,2754,285,0,0,0,2020-11-11T03:25:55Z,56.56444,R+57,Capito +57,republican,west-virginia,2020-11-12T00:38:33.558295Z
54037,Jefferson,27304,0,32,32,Released as a separate subtotal as first report of the night,100,27300,>98%,>98% reported,edison,4,some,,10602,,,15625,11033,646,0,0,0,2020-11-11T03:24:51Z,16.81805,R+17,Capito +17,republican,west-virginia,2020-11-12T00:38:33.558295Z
54039,Kanawha,81068,41805,165,169,Merged into voters' home precincts and released with cumulative results,97,83259,97%,97% reported,edison,4,all,,23987,,,50953,28565,1550,22730,18500,575,2020-11-11T03:24:55Z,27.61632,R+28,Capito +28,republican,west-virginia,2020-11-12T00:38:33.558295Z
54041,Lewis,7405,0,23,24,Merged into voters' home precincts and released with cumulative results,97,7621,97%,97% reported,edison,2,unknown,,2592,,,5736,1431,238,0,0,0,2020-11-11T03:24:56Z,58.13639,R+58,Capito +58,republican,west-virginia,2020-11-12T00:38:33.558295Z
54043,Lincoln,7619,0,16,16,Other,98,7773,98%,98% reported,edison,2,unknown,,2981,,,5770,1663,186,0,0,0,2020-11-11T03:25:51Z,53.90471,R+54,Capito +54,republican,west-virginia,2020-11-12T00:38:33.558295Z
54045,Logan,12307,0,33,36,None,91,13595,91%,91% reported,edison,2,unknown,,3142,,,9810,2266,231,0,0,0,2020-11-11T03:25:52Z,61.29845,R+61,Capito +61,republican,west-virginia,2020-11-12T00:38:33.558295Z
54049,Marion,25333,14679,70,70,Merged into voters' home precincts and released with cumulative results,100,25170,>98%,>98% reported,edison,4,all,,7667,,,16722,7626,985,9080,5182,417,2020-11-11T03:25:53Z,35.90574,R+36,Capito +36,republican,west-virginia,2020-11-12T00:38:33.558295Z
54051,Marshall,13411,0,34,37,None,93,14445,93%,93% reported,edison,2,unknown,,4835,,,10349,2821,241,0,0,0,2020-11-11T03:25:53Z,56.13303,R+56,Capito +56,republican,west-virginia,2020-11-12T00:38:33.558295Z
54053,Mason,10986,0,29,30,Released as a separate subtotal as first report of the night,98,11205,98%,98% reported,edison,4,all,,4762,,,8352,2319,315,0,0,0,2020-11-11T03:25:54Z,54.91535,R+55,Capito +55,republican,west-virginia,2020-11-12T00:38:33.558295Z
54047,McDowell,6017,0,33,37,None,88,6823,88%,88% reported,edison,2,unknown,,1014,,,4539,1363,115,0,0,0,2020-11-11T03:25:52Z,52.78378,R+53,Capito +53,republican,west-virginia,2020-11-12T00:38:33.558295Z
54055,Mercer,24503,0,46,47,Merged into voters' home precincts and released with cumulative results,98,25103,98%,98% reported,edison,6,all,,10426,,,18740,5269,494,0,0,0,2020-11-11T03:25:47Z,54.97694,R+55,Capito +55,republican,west-virginia,2020-11-12T00:38:33.558295Z
54057,Mineral,12610,0,26,26,None,99,12720,>98%,>98% reported,edison,2,unknown,,3014,,,9830,2308,472,0,0,0,2020-11-11T03:25:48Z,59.65107,R+60,Capito +60,republican,west-virginia,2020-11-12T00:38:33.558295Z
54059,Mingo,9480,0,34,38,Other,91,10461,91%,91% reported,edison,2,unknown,,1698,,,7742,1512,226,0,0,0,2020-11-11T03:25:48Z,65.7173,R+66,Capito +66,republican,west-virginia,2020-11-12T00:38:33.558295Z
54061,Monongalia,41486,29856,41,41,Released as a separate subtotal as first report of the night,99,42000,>98%,>98% reported,edison,4,all,,14120,,,22140,17863,1483,14843,14180,833,2020-11-11T03:25:50Z,10.3095,R+10,Capito +10,republican,west-virginia,2020-11-12T00:38:33.558295Z
54063,Monroe,6337,0,18,18,Merged into voters' home precincts and released with cumulative results,99,6386,>98%,>98% reported,edison,2,unknown,,2659,,,4901,1305,131,0,0,0,2020-11-11T03:25:50Z,56.74609,R+57,Capito +57,republican,west-virginia,2020-11-12T00:38:33.558295Z
54065,Morgan,8524,0,13,13,Merged into voters' home precincts and released with cumulative results,100,8365,>98%,>98% reported,edison,2,unknown,,3563,,,6504,1797,223,0,0,0,2020-11-11T03:25:51Z,55.22055,R+55,Capito +55,republican,west-virginia,2020-11-12T00:38:33.558295Z
54067,Nicholas,10400,4129,28,28,Merged into voters' home precincts and released with cumulative results,100,10440,>98%,>98% reported,edison,4,all,,2811,,,7976,2214,210,2927,1142,60,2020-11-11T03:25:44Z,55.40385,R+55,Capito +55,republican,west-virginia,2020-11-12T00:38:33.558295Z
54069,Ohio,19425,0,38,39,Released separately at end; NOT included in cumulative results,98,19732,98%,98% reported,edison,2,unknown,,6715,,,13232,5837,356,0,0,0,2020-11-11T03:25:45Z,38.0695,R+38,Capito +38,republican,west-virginia,2020-11-12T00:38:33.558295Z
54071,Pendleton,3588,1555,9,9,Merged into voters' home precincts and released with cumulative results,100,3563,>98%,>98% reported,edison,2,some,,1341,,,2840,677,71,1062,470,23,2020-11-11T03:25:46Z,60.28428,R+60,Capito +60,republican,west-virginia,2020-11-12T00:38:33.558295Z
54073,Pleasants,3381,0,10,10,Other,97,3500,97%,97% reported,edison,2,unknown,,1573,,,2628,634,119,0,0,0,2020-11-11T03:25:46Z,58.97663,R+59,Capito +59,republican,west-virginia,2020-11-12T00:38:33.558295Z
54075,Pocahontas,3853,0,14,15,Merged into voters' home precincts and released with cumulative results,96,4011,96%,96% reported,edison,2,unknown,,1701,,,2707,1034,112,0,0,0,2020-11-11T03:25:46Z,43.42071,R+43,Capito +43,republican,west-virginia,2020-11-12T00:38:33.558295Z
54077,Preston,14277,0,28,28,Merged into voters' home precincts and released with cumulative results,97,14700,97%,97% reported,edison,2,unknown,,3059,,,9953,2664,1660,0,0,0,2020-11-11T03:25:47Z,51.05414,R+51,Capito +51,republican,west-virginia,2020-11-12T00:38:33.558295Z
54079,Putnam,28209,16373,46,46,Released as a separate subtotal as first report of the night,99,28410,>98%,>98% reported,edison,6,all,,10869,,,20812,6784,613,11358,4733,282,2020-11-11T03:25:38Z,49.72881,R+50,Capito +50,republican,west-virginia,2020-11-12T00:38:33.558295Z
54081,Raleigh,31964,12391,87,87,Released as a separate subtotal as first report of the night,99,32371,>98%,>98% reported,edison,4,some,,8835,,,23365,8049,550,7963,4256,172,2020-11-11T03:25:39Z,47.91641,R+48,Capito +48,republican,west-virginia,2020-11-12T00:38:33.558295Z
54083,Randolph,12006,0,27,27,Merged into voters' home precincts and released with cumulative results,100,11964,>98%,>98% reported,edison,2,unknown,,4790,,,8873,2868,265,0,0,0,2020-11-11T03:25:40Z,50.01666,R+50,Capito +50,republican,west-virginia,2020-11-12T00:38:33.558295Z
54085,Ritchie,4161,0,14,15,Other,93,4483,93%,93% reported,edison,2,unknown,,1906,,,3474,569,118,0,0,0,2020-11-11T03:25:41Z,69.81495,R+70,Capito +70,republican,west-virginia,2020-11-12T00:38:33.558295Z
54087,Roane,5680,0,18,18,Merged into voters' home precincts and released with cumulative results,98,5772,98%,98% reported,edison,2,unknown,,3131,,,4260,1302,118,0,0,0,2020-11-11T03:25:42Z,52.07746,R+52,Capito +52,republican,west-virginia,2020-11-12T00:38:33.558295Z
54089,Summers,5418,0,14,14,Merged into voters' home precincts and released with cumulative results,97,5600,97%,97% reported,edison,2,unknown,,2744,,,3839,1467,112,0,0,0,2020-11-11T03:25:43Z,43.77999,R+44,Capito +44,republican,west-virginia,2020-11-12T00:38:33.558295Z
54091,Taylor,7258,0,19,19,Other,100,7146,>98%,>98% reported,edison,2,unknown,,2168,,,5370,1571,317,0,0,0,2020-11-11T03:25:35Z,52.34224,R+52,Capito +52,republican,west-virginia,2020-11-12T00:38:33.558295Z
54093,Tucker,3791,0,11,11,Merged into voters' home precincts and released with cumulative results,100,3799,>98%,>98% reported,edison,2,unknown,,1285,,,2706,854,231,0,0,0,2020-11-11T03:25:35Z,48.85255,R+49,Capito +49,republican,west-virginia,2020-11-12T00:38:33.558295Z
54095,Tyler,3837,0,10,10,Other,95,4019,95%,95% reported,edison,2,unknown,,1402,,,3095,612,130,0,0,0,2020-11-11T03:25:36Z,64.71201,R+65,Capito +65,republican,west-virginia,2020-11-12T00:38:33.558295Z
