fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
48001,Anderson,19007,14361,20,23,Released as a precinct as first report of the night,95,20048,95%,95% reported,edison,2,none,,15380,,,14897,3773,245,88,4,11036,3089,168,67,1,2020-11-11T03:27:02Z,58.52581,R+59,Cornyn +59,republican,texas,2020-11-12T00:38:28.291665Z
48003,Andrews,5694,4734,4,5,Released as a precinct as first report of the night,98,5837,98%,98% reported,edison,2,unknown,,4805,,,4888,679,107,20,0,4005,642,73,14,0,2020-11-11T03:27:03Z,73.91992,R+74,Cornyn +74,republican,texas,2020-11-12T00:38:28.291665Z
48005,Angelina,34357,28462,38,43,Released as a precinct as first report of the night,97,35322,97%,97% reported,edison,2,unknown,,28954,,,24955,8765,460,160,17,20639,7361,335,118,9,2020-11-11T03:27:03Z,47.12286,R+47,Cornyn +47,republican,texas,2020-11-12T00:38:28.291665Z
48007,Aransas,12116,10900,5,6,Released as a precinct as first report of the night,98,12414,98%,98% reported,edison,2,unknown,,10783,,,9161,2711,177,67,,8227,2479,140,54,,2020-11-11T03:27:04Z,53.23539,R+53,Cornyn +53,republican,texas,2020-11-12T00:38:28.291665Z
48009,Archer,4724,3581,10,12,Released as a precinct as first report of the night,89,5288,89%,89% reported,edison,2,unknown,,2737,,,4178,467,65,14,,3165,368,35,13,,2020-11-11T03:27:04Z,78.55631,R+79,Cornyn +79,republican,texas,2020-11-12T00:38:28.291665Z
48011,Armstrong,1106,842,7,8,Released as a precinct as first report of the night,88,1260,88%,88% reported,edison,2,unknown,,777,,,1025,64,12,5,,779,51,8,4,,2020-11-11T03:27:04Z,86.88969,R+87,Cornyn +87,republican,texas,2020-11-12T00:38:28.291665Z
48013,Atascosa,17864,14598,25,25,Released as a precinct as first report of the night,100,17775,>98%,>98% reported,edison,2,unknown,,10647,,,11889,5576,257,142,,9734,4589,188,87,,2020-11-11T03:27:04Z,35.33923,R+35,Cornyn +35,republican,texas,2020-11-12T00:38:28.291665Z
48015,Austin,14297,11500,16,18,Released as a precinct as first report of the night,94,15153,94%,94% reported,edison,2,some,,9966,,,11294,2732,211,57,3,9047,2260,153,38,2,2020-11-11T03:27:05Z,59.88669,R+60,Cornyn +60,republican,texas,2020-11-12T00:38:28.291665Z
48017,Bailey,1817,1266,4,5,Released as a precinct as first report of the night,77,2361,77%,77% reported,edison,2,unknown,,1464,,,1396,382,28,11,,1016,233,12,5,,2020-11-11T03:27:05Z,55.80627,R+56,Cornyn +56,republican,texas,2020-11-12T00:38:28.291665Z
48019,Bandera,12530,10936,10,11,Released as a precinct as first report of the night,99,12614,>98%,>98% reported,edison,2,unknown,,10011,,,9950,2291,234,55,,8619,2101,179,37,,2020-11-11T03:27:06Z,61.1253,R+61,Cornyn +61,republican,texas,2020-11-12T00:38:28.291665Z
48021,Bastrop,36476,31199,23,23,Released as a precinct as first report of the night,100,33601,>98%,>98% reported,edison,2,unknown,,25791,,,20439,15047,757,208,25,16975,13505,561,156,2,2020-11-11T03:27:06Z,14.78232,R+15,Cornyn +15,republican,texas,2020-11-12T00:38:28.291665Z
48023,Baylor,1659,1355,4,5,Released as a precinct as first report of the night,88,1880,88%,88% reported,edison,2,unknown,,1554,,,1447,174,29,8,1,1196,137,18,4,0,2020-11-11T03:27:06Z,76.73297,R+77,Cornyn +77,republican,texas,2020-11-12T00:38:28.291665Z
48025,Bee,9041,7265,15,18,Released as a precinct as first report of the night,90,10020,90%,90% reported,edison,2,unknown,,7301,,,5708,3094,171,58,10,4520,2572,126,42,5,2020-11-11T03:27:06Z,28.91273,R+29,Cornyn +29,republican,texas,2020-11-12T00:38:28.291665Z
48027,Bell,125122,102529,49,49,Released as a precinct as first report of the night,100,117276,>98%,>98% reported,edison,4,unknown,,89466,,,68118,53489,2687,719,109,54424,45741,1840,520,4,2020-11-11T03:27:07Z,11.69179,R+12,Cornyn +12,republican,texas,2020-11-12T00:38:28.291665Z
48029,Bexar,740460,660134,741,767,Released as a precinct as first report of the night,97,766539,97%,97% reported,edison,2,all,,609654,,,314896,404482,14896,6186,,277734,365778,11794,4828,,2020-11-11T03:27:07Z,12.0987,D+12,Hegar +12,democrat,texas,2020-11-12T00:38:28.291665Z
48031,Blanco,7391,6408,7,7,Released as a precinct as first report of the night,100,7019,>98%,>98% reported,edison,2,unknown,,4204,,,5441,1812,103,30,5,4635,1667,81,22,3,2020-11-11T03:27:07Z,49.10026,R+49,Cornyn +49,republican,texas,2020-11-12T00:38:28.291665Z
48033,Borden,407,302,7,8,Released as a precinct as first report of the night,86,475,86%,86% reported,edison,2,unknown,,320,,,388,17,0,2,0,290,11,0,1,0,2020-11-11T03:27:07Z,91.15479,R+91,Cornyn +91,republican,texas,2020-11-12T00:38:28.291665Z
48035,Bosque,9006,6473,11,12,Released as a precinct as first report of the night,97,9256,97%,97% reported,edison,2,unknown,,4229,,,7341,1483,121,60,1,5228,1130,77,38,0,2020-11-11T03:27:08Z,65.04553,R+65,Cornyn +65,republican,texas,2020-11-12T00:38:28.291665Z
48037,Bowie,37858,29818,36,43,Released as a precinct as first report of the night,91,41804,91%,91% reported,edison,4,all,,32487,,,26848,10344,471,142,53,20577,8772,336,96,37,2020-11-11T03:27:08Z,43.59448,R+44,Cornyn +44,republican,texas,2020-11-12T00:38:28.291665Z
48039,Brazoria,152437,138192,65,67,Released as a precinct as first report of the night,100,149605,>98%,>98% reported,edison,2,some,,131649,,,90214,58334,3009,875,5,81451,53556,2447,734,4,2020-11-11T03:26:53Z,20.91356,R+21,Cornyn +21,republican,texas,2020-11-12T00:38:28.291665Z
48041,Brazos,83974,71230,95,99,Released as a precinct as first report of the night,99,84753,>98%,>98% reported,edison,6,all,,57474,,,49271,32005,2239,459,0,41430,27828,1635,337,0,2020-11-11T03:26:54Z,20.56113,R+21,Cornyn +21,republican,texas,2020-11-12T00:38:28.291665Z
48043,Brewster,4761,3947,8,9,Released as a precinct as first report of the night,99,4805,>98%,>98% reported,edison,6,unknown,,4467,,,2447,2160,113,35,6,1986,1858,77,24,2,2020-11-11T03:26:54Z,6.02815,R+6,Cornyn +6,republican,texas,2020-11-12T00:38:28.291665Z
48045,Briscoe,714,448,4,6,Released as a precinct as first report of the night,75,957,75%,75% reported,edison,2,unknown,,503,,,625,78,6,5,,392,52,2,2,,2020-11-11T03:26:55Z,76.61064,R+77,Cornyn +77,republican,texas,2020-11-12T00:38:28.291665Z
48047,Brooks,2356,1745,4,6,Released as a precinct as first report of the night,70,3375,70%,70% reported,edison,2,unknown,,1853,,,859,1425,39,33,,566,1130,31,18,,2020-11-11T03:26:55Z,24.02377,D+24,Hegar +24,democrat,texas,2020-11-12T00:38:28.291665Z
48049,Brown,15732,12376,16,19,Released as a precinct as first report of the night,95,16564,95%,95% reported,edison,2,some,,14372,,,13465,1960,249,58,,10582,1577,174,43,,2020-11-11T03:26:56Z,73.1312,R+73,Cornyn +73,republican,texas,2020-11-12T00:38:28.291665Z
48051,Burleson,8485,6592,13,14,Released as a precinct as first report of the night,100,8219,>98%,>98% reported,edison,2,unknown,,5572,,,6593,1708,142,42,,5076,1393,97,26,,2020-11-11T03:26:56Z,57.57219,R+58,Cornyn +58,republican,texas,2020-11-12T00:38:28.291665Z
48053,Burnet,24468,20701,21,21,Released as a precinct as first report of the night,100,23708,>98%,>98% reported,edison,2,unknown,,17630,,,18642,5299,436,91,,15666,4659,318,58,,2020-11-11T03:26:57Z,54.53245,R+55,Cornyn +55,republican,texas,2020-11-12T00:38:28.291665Z
48055,Caldwell,14682,12256,30,32,Released as a precinct as first report of the night,100,14280,>98%,>98% reported,edison,2,unknown,,10580,,,7975,6325,270,100,12,6604,5369,199,76,8,2020-11-11T03:26:58Z,11.23825,R+11,Cornyn +11,republican,texas,2020-11-12T00:38:28.291665Z
48057,Calhoun,7741,5621,22,26,Released as a precinct as first report of the night,94,8225,94%,94% reported,edison,2,unknown,,5674,,,5530,2089,100,22,,3847,1701,61,12,,2020-11-11T03:26:58Z,44.45162,R+44,Cornyn +44,republican,texas,2020-11-12T00:38:28.291665Z
48059,Callahan,6711,5411,7,8,Released as a precinct as first report of the night,100,6589,>98%,>98% reported,edison,2,unknown,,4184,,,5886,680,106,39,,4745,564,77,25,,2020-11-11T03:26:59Z,77.57413,R+78,Cornyn +78,republican,texas,2020-11-12T00:38:28.291665Z
48061,Cameron,110743,93582,96,104,Released as a precinct as first report of the night,93,119703,93%,93% reported,edison,4,some,,71585,,,46289,61202,1789,1427,36,38954,52212,1361,1031,24,2020-11-11T03:26:59Z,13.46631,D+13,Hegar +13,democrat,texas,2020-11-12T00:38:28.291665Z
48063,Camp,5034,4279,4,5,Released as a precinct as first report of the night,94,5364,94%,94% reported,edison,2,unknown,,4295,,,3597,1357,57,22,1,3106,1123,36,14,0,2020-11-11T03:27:00Z,44.49742,R+44,Cornyn +44,republican,texas,2020-11-12T00:38:28.291665Z
48065,Carson,3074,1892,7,9,Released as a precinct as first report of the night,84,3659,84%,84% reported,edison,2,unknown,,1767,,,2725,278,63,5,3,1657,204,28,1,2,2020-11-11T03:27:00Z,79.60312,R+80,Cornyn +80,republican,texas,2020-11-12T00:38:28.291665Z
48067,Cass,13606,10581,16,19,Released as a precinct as first report of the night,93,14577,93%,93% reported,edison,2,unknown,,8478,,,10746,2655,153,52,,8294,2154,99,34,,2020-11-11T03:27:01Z,59.46641,R+59,Cornyn +59,republican,texas,2020-11-12T00:38:28.291665Z
48069,Castro,2040,1103,7,9,Released as a precinct as first report of the night,74,2755,74%,74% reported,edison,2,unknown,,1417,,,1571,432,24,13,,845,244,8,6,,2020-11-11T03:27:01Z,55.83333,R+56,Cornyn +56,republican,texas,2020-11-12T00:38:28.291665Z
48071,Chambers,21342,18832,15,15,Released as a precinct as first report of the night,100,19823,>98%,>98% reported,edison,2,some,,17808,,,17027,3786,418,111,0,15164,3250,330,88,0,2020-11-11T03:27:01Z,62.04198,R+62,Cornyn +62,republican,texas,2020-11-12T00:38:28.291665Z
48073,Cherokee,19280,15337,22,25,Released as a precinct as first report of the night,97,19827,97%,97% reported,edison,2,unknown,,16073,,,14907,4046,268,59,,11742,3359,194,42,,2020-11-11T03:27:02Z,56.33299,R+56,Cornyn +56,republican,texas,2020-11-12T00:38:28.291665Z
48075,Childress,2239,1776,4,5,Released as a precinct as first report of the night,91,2461,91%,91% reported,edison,2,unknown,,1817,,,1919,280,29,11,0,1531,217,19,9,0,2020-11-11T03:27:02Z,73.20232,R+73,Cornyn +73,republican,texas,2020-11-12T00:38:28.291665Z
48077,Clay,5694,4133,15,17,Released as a precinct as first report of the night,95,5971,95%,95% reported,edison,2,unknown,,3005,,,4955,632,69,27,11,3588,474,45,16,10,2020-11-11T03:27:02Z,75.92202,R+76,Cornyn +76,republican,texas,2020-11-12T00:38:28.291665Z
48079,Cochran,975,662,3,4,Released as a precinct as first report of the night,82,1192,82%,82% reported,edison,2,unknown,,604,,,761,183,22,8,1,521,125,10,5,1,2020-11-11T03:27:03Z,59.28205,R+59,Cornyn +59,republican,texas,2020-11-12T00:38:28.291665Z
48081,Coke,1732,1223,5,5,Released as a precinct as first report of the night,100,1681,>98%,>98% reported,edison,2,unknown,,1206,,,1537,170,22,3,,1084,128,10,1,,2020-11-11T03:27:03Z,78.9261,R+79,Cornyn +79,republican,texas,2020-11-12T00:38:28.291665Z
48083,Coleman,4064,3507,4,5,Released as a precinct as first report of the night,94,4302,94%,94% reported,edison,2,some,,3691,,,3585,426,37,16,0,3096,369,28,14,0,2020-11-11T03:27:04Z,77.7313,R+78,Cornyn +78,republican,texas,2020-11-12T00:38:28.291665Z
48085,Collin,476323,460756,240,240,Released as a precinct as first report of the night,98,486391,98%,98% reported,edison,6,unknown,,368567,,,260790,204276,8421,2678,158,247899,203244,7192,2286,135,2020-11-11T03:27:04Z,11.86464,R+12,Cornyn +12,republican,texas,2020-11-12T00:38:28.291665Z
48087,Collingsworth,1192,824,6,8,Released as a precinct as first report of the night,87,1365,87%,87% reported,edison,2,unknown,,1021,,,1032,145,10,4,1,713,104,5,2,0,2020-11-11T03:27:04Z,74.41275,R+74,Cornyn +74,republican,texas,2020-11-12T00:38:28.291665Z
48089,Colorado,9838,7966,4,5,Released as a precinct as first report of the night,98,10053,98%,98% reported,edison,2,unknown,,6404,,,7336,2345,114,43,,5851,2006,78,31,,2020-11-11T03:27:08Z,50.73186,R+51,Cornyn +51,republican,texas,2020-11-12T00:38:28.291665Z
48091,Comal,87330,79101,30,30,Released as a precinct as first report of the night,99,87942,>98%,>98% reported,edison,6,unknown,,64101,,,63043,22133,1740,412,2,56921,20474,1382,322,2,2020-11-11T03:27:08Z,46.8453,R+47,Cornyn +47,republican,texas,2020-11-12T00:38:28.291665Z
48093,Comanche,6003,4618,13,15,Released as a precinct as first report of the night,97,6184,97%,97% reported,edison,2,unknown,,4034,,,5053,830,90,30,,3888,656,59,15,,2020-11-11T03:27:08Z,70.34816,R+70,Cornyn +70,republican,texas,2020-11-12T00:38:28.291665Z
48095,Concho,1247,777,8,9,Released as a precinct as first report of the night,99,1261,>98%,>98% reported,edison,2,unknown,,569,,,1029,193,20,5,,634,128,13,2,,2020-11-11T03:27:08Z,67.0409,R+67,Cornyn +67,republican,texas,2020-11-12T00:38:28.291665Z
48097,Cooke,18855,13566,27,30,Released as a precinct as first report of the night,100,18842,>98%,>98% reported,edison,2,some,,10395,,,15498,2995,277,85,,10978,2354,190,44,,2020-11-11T03:27:06Z,66.31132,R+66,Cornyn +66,republican,texas,2020-11-12T00:38:28.291665Z
48099,Coryell,23182,19090,16,16,Released as a precinct as first report of the night,100,21555,>98%,>98% reported,edison,2,some,,16701,,,15331,7096,605,149,1,12445,6094,439,111,1,2020-11-11T03:27:06Z,35.52325,R+36,Cornyn +36,republican,texas,2020-11-12T00:38:28.291665Z
48101,Cottle,656,488,4,5,Released as a precinct as first report of the night,68,963,68%,68% reported,edison,2,unknown,,690,,,534,110,7,5,,397,84,5,2,,2020-11-11T03:27:07Z,64.63415,R+65,Cornyn +65,republican,texas,2020-11-12T00:38:28.291665Z
48103,Crane,1479,1067,3,4,Released as a precinct as first report of the night,82,1799,82%,82% reported,edison,2,unknown,,1280,,,1213,229,24,13,,886,157,16,8,,2020-11-11T03:27:07Z,66.53144,R+67,Cornyn +67,republican,texas,2020-11-12T00:38:28.291665Z
48105,Crockett,1492,1153,4,5,Released as a precinct as first report of the night,79,1894,79%,79% reported,edison,2,unknown,,1379,,,1145,314,21,12,,897,240,12,4,,2020-11-11T03:27:07Z,55.69705,R+56,Cornyn +56,republican,texas,2020-11-12T00:38:28.291665Z
48107,Crosby,1881,1186,4,5,Released as a precinct as first report of the night,89,2110,89%,89% reported,edison,2,unknown,,1368,,,1356,486,25,14,,862,305,13,6,,2020-11-11T03:27:07Z,46.25199,R+46,Cornyn +46,republican,texas,2020-11-12T00:38:28.291665Z
48109,Culberson,778,516,5,6,Released as a precinct as first report of the night,68,1143,68%,68% reported,edison,2,unknown,,681,,,367,385,19,6,1,239,264,9,3,1,2020-11-11T03:27:07Z,2.31362,D+2,Hegar +2,democrat,texas,2020-11-12T00:38:28.291665Z
