fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hyde_smithc,results_espym,results_edwardsj,results_write_ins,results_absentee_hyde_smithc,results_absentee_espym,results_absentee_edwardsj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
28069,Kemper,4726,0,14,14,None,100,4732,>98%,>98% reported,edison,10,unknown,,966,,,1720,2965,40,1,0,0,0,0,2020-11-24T13:22:37Z,26.34363,D+26,Espy +26,democrat,mississippi,2020-11-29T00:51:52.474766Z
28071,Lafayette,23365,0,18,18,Merged into voters' home precincts and released with cumulative results,100,23481,>98%,>98% reported,edison,10,some,,2116,,,12127,10806,432,0,0,0,0,0,2020-11-24T13:22:37Z,5.65376,R+6,Hyde-Smith +6,republican,mississippi,2020-11-29T00:51:52.474766Z
28073,Lamar,28469,0,23,23,Released as a separate subtotal at the end of tabulation,100,28526,>98%,>98% reported,edison,10,unknown,,946,,,19588,8157,693,31,0,0,0,0,2020-11-24T13:22:39Z,40.15245,R+40,Hyde-Smith +40,republican,mississippi,2020-11-29T00:51:52.474766Z
28075,Lauderdale,31137,0,40,40,Merged into voters' home precincts and released with cumulative results,100,31266,>98%,>98% reported,edison,10,unknown,,2082,,,17082,13537,501,17,0,0,0,0,2020-11-24T13:22:42Z,11.38517,R+11,Hyde-Smith +11,republican,mississippi,2020-11-29T00:51:52.474766Z
28077,Lawrence,6663,976,24,24,None,100,6547,>98%,>98% reported,edison,6,unknown,,602,,,4285,2318,57,3,554,415,7,0,2020-11-24T13:22:43Z,29.52124,R+30,Hyde-Smith +30,republican,mississippi,2020-11-29T00:51:52.474766Z
28079,Leake,9209,0,19,19,None,100,9209,>98%,>98% reported,edison,10,unknown,,646,,,4991,4123,92,3,0,0,0,0,2020-11-24T13:22:44Z,9.42556,R+9,Hyde-Smith +9,republican,mississippi,2020-11-29T00:51:52.474766Z
28081,Lee,36899,0,36,36,Merged into voters' home precincts and released with cumulative results,95,38837,95%,95% reported,edison,4,unknown,,1452,,,22739,13372,745,43,0,0,0,0,2020-11-24T13:22:47Z,25.38551,R+25,Hyde-Smith +25,republican,mississippi,2020-11-29T00:51:52.474766Z
28083,Leflore,10907,0,18,18,None,100,8181,>98%,>98% reported,edison,6,unknown,,646,,,2914,7936,57,0,0,0,0,0,2020-11-24T13:22:49Z,46.04383,D+46,Espy +46,democrat,mississippi,2020-11-29T00:51:52.474766Z
28085,Lincoln,16810,0,30,30,None,100,16818,>98%,>98% reported,edison,10,unknown,,1042,,,11378,5256,168,8,0,0,0,0,2020-11-24T13:22:50Z,36.4188,R+36,Hyde-Smith +36,republican,mississippi,2020-11-29T00:51:52.474766Z
28087,Lowndes,27237,26957,20,20,None,100,27273,>98%,>98% reported,edison,10,unknown,,1206,,,13010,13843,369,15,12918,13657,367,15,2020-11-24T13:22:52Z,3.05834,D+3,Espy +3,democrat,mississippi,2020-11-29T00:51:52.474766Z
28089,Madison,56273,0,43,43,None,100,56335,>98%,>98% reported,edison,10,unknown,,2144,,,30038,25374,823,38,0,0,0,0,2020-11-24T13:22:52Z,8.28817,R+8,Hyde-Smith +8,republican,mississippi,2020-11-29T00:51:52.474766Z
28091,Marion,12191,0,22,22,None,100,12194,>98%,>98% reported,edison,10,unknown,,980,,,7821,4177,187,6,0,0,0,0,2020-11-24T13:22:53Z,29.8909,R+30,Hyde-Smith +30,republican,mississippi,2020-11-29T00:51:52.474766Z
28093,Marshall,15708,0,24,24,Merged into voters' home precincts and released with cumulative results,99,15830,>98%,>98% reported,edison,10,unknown,,920,,,6904,8590,212,2,0,0,0,0,2020-11-24T13:22:55Z,10.73338,D+11,Espy +11,democrat,mississippi,2020-11-29T00:51:52.474766Z
28095,Monroe,17280,0,26,26,None,100,17280,>98%,>98% reported,edison,10,unknown,,978,,,10516,6441,314,9,0,0,0,0,2020-11-24T13:22:57Z,23.58218,R+24,Hyde-Smith +24,republican,mississippi,2020-11-29T00:51:52.474766Z
28097,Montgomery,5091,0,15,15,None,100,5091,>98%,>98% reported,edison,10,unknown,,726,,,2738,2264,86,3,0,0,0,0,2020-11-24T13:22:58Z,9.31055,R+9,Hyde-Smith +9,republican,mississippi,2020-11-29T00:51:52.474766Z
28099,Neshoba,11640,0,27,27,None,99,11720,>98%,>98% reported,edison,10,unknown,,468,,,7797,3602,234,7,0,0,0,0,2020-11-24T13:22:59Z,36.03952,R+36,Hyde-Smith +36,republican,mississippi,2020-11-29T00:51:52.474766Z
28101,Newton,10129,0,16,16,Merged into voters' home precincts and released with cumulative results,99,10189,>98%,>98% reported,edison,10,unknown,,568,,,6659,3290,176,4,0,0,0,0,2020-11-24T13:22:59Z,33.26093,R+33,Hyde-Smith +33,republican,mississippi,2020-11-29T00:51:52.474766Z
28103,Noxubee,5337,1282,8,8,Merged into voters' home precincts and released with cumulative results,100,5341,>98%,>98% reported,edison,10,unknown,,382,,,1178,4138,21,0,171,1108,3,0,2020-11-24T13:23:01Z,55.46187,D+55,Espy +55,democrat,mississippi,2020-11-29T00:51:52.474766Z
28105,Oktibbeha,19781,0,20,20,Released as a separate subtotal at the end of tabulation,100,19812,>98%,>98% reported,edison,10,some,,1134,,,8592,10870,313,6,0,0,0,0,2020-11-24T13:23:01Z,11.5161,D+12,Espy +12,democrat,mississippi,2020-11-29T00:51:52.474766Z
28107,Panola,15610,0,21,21,Merged into voters' home precincts AFTER election night,100,15635,>98%,>98% reported,edison,10,unknown,,1296,,,7425,7953,220,12,0,0,0,0,2020-11-24T13:23:04Z,3.38245,D+3,Espy +3,democrat,mississippi,2020-11-29T00:51:52.474766Z
28109,Pearl River,23669,0,26,26,Merged into voters' home precincts and released with cumulative results,98,24056,98%,98% reported,edison,10,unknown,,1048,,,17814,5053,780,22,0,0,0,0,2020-11-24T13:23:05Z,53.9144,R+54,Hyde-Smith +54,republican,mississippi,2020-11-29T00:51:52.474766Z
28111,Perry,5902,0,15,15,Merged into voters' home precincts and released with cumulative results,100,5922,>98%,>98% reported,edison,10,unknown,,400,,,4204,1555,142,1,0,0,0,0,2020-11-24T13:23:07Z,44.88309,R+45,Hyde-Smith +45,republican,mississippi,2020-11-29T00:51:52.474766Z
28113,Pike,17362,0,25,25,None,100,17362,>98%,>98% reported,edison,10,some,,1376,,,8044,9048,257,13,0,0,0,0,2020-11-24T13:23:07Z,5.78274,D+6,Espy +6,democrat,mississippi,2020-11-29T00:51:52.474766Z
28115,Pontotoc,14317,0,28,28,Merged into voters' home precincts and released with cumulative results,100,14377,>98%,>98% reported,edison,10,unknown,,602,,,10803,3164,337,13,0,0,0,0,2020-11-24T13:23:08Z,53.35615,R+53,Hyde-Smith +53,republican,mississippi,2020-11-29T00:51:52.474766Z
28117,Prentiss,10535,0,15,15,None,99,10588,>98%,>98% reported,edison,10,unknown,,438,,,7603,2694,227,11,0,0,0,0,2020-11-24T13:23:09Z,46.59706,R+47,Hyde-Smith +47,republican,mississippi,2020-11-29T00:51:52.474766Z
28119,Quitman,3238,0,10,10,Merged into voters' home precincts and released with cumulative results,100,3238,>98%,>98% reported,edison,10,unknown,,1586,,,883,2307,48,0,0,0,0,0,2020-11-24T13:23:10Z,43.97776,D+44,Espy +44,democrat,mississippi,2020-11-29T00:51:52.474766Z
28121,Rankin,70481,0,48,48,None,100,70655,>98%,>98% reported,edison,10,some,,3512,,,48502,20315,1664,0,0,0,0,0,2020-11-24T13:23:12Z,39.99234,R+40,Hyde-Smith +40,republican,mississippi,2020-11-29T00:51:52.474766Z
28123,Scott,10734,0,23,23,None,100,10744,>98%,>98% reported,edison,10,unknown,,356,,,5933,4649,151,1,0,0,0,0,2020-11-24T13:23:14Z,11.96199,R+12,Hyde-Smith +12,republican,mississippi,2020-11-29T00:51:52.474766Z
28125,Sharkey,2181,0,10,10,Released with cumulative results periodically election night,100,2183,>98%,>98% reported,edison,10,unknown,,144,,,663,1511,7,0,0,0,0,0,2020-11-24T13:23:14Z,38.88125,D+39,Espy +39,democrat,mississippi,2020-11-29T00:51:52.474766Z
28127,Simpson,11825,0,23,23,None,100,11825,>98%,>98% reported,edison,10,unknown,,558,,,7381,4303,138,3,0,0,0,0,2020-11-24T13:23:15Z,26.0296,R+26,Hyde-Smith +26,republican,mississippi,2020-11-29T00:51:52.474766Z
28129,Smith,8309,0,18,18,Merged into voters' home precincts and released with cumulative results,100,8327,>98%,>98% reported,edison,10,unknown,,678,,,6202,1977,130,0,0,0,0,0,2020-11-24T13:23:16Z,50.84848,R+51,Hyde-Smith +51,republican,mississippi,2020-11-29T00:51:52.474766Z
28131,Stone,7858,0,15,15,Merged into voters' home precincts and released with cumulative results,100,7878,>98%,>98% reported,edison,10,unknown,,338,,,5609,2051,198,0,0,0,0,0,2020-11-24T13:23:17Z,45.2787,R+45,Hyde-Smith +45,republican,mississippi,2020-11-29T00:51:52.474766Z
28133,Sunflower,9685,0,17,17,None,100,9685,>98%,>98% reported,edison,10,unknown,,234,,,2623,7020,42,0,0,0,0,0,2020-11-24T13:23:17Z,45.4001,D+45,Espy +45,democrat,mississippi,2020-11-29T00:51:52.474766Z
28135,Tallahatchie,5690,0,21,21,Merged into voters' home precincts and released with cumulative results,100,5691,>98%,>98% reported,edison,10,unknown,,916,,,2309,3316,64,1,0,0,0,0,2020-11-24T13:23:18Z,17.69772,D+18,Espy +18,democrat,mississippi,2020-11-29T00:51:52.474766Z
28137,Tate,13032,0,20,20,None,99,13101,>98%,>98% reported,edison,10,unknown,,602,,,8071,4694,256,11,0,0,0,0,2020-11-24T13:23:18Z,25.91314,R+26,Hyde-Smith +26,republican,mississippi,2020-11-29T00:51:52.474766Z
28139,Tippah,10034,0,24,24,None,99,10102,>98%,>98% reported,edison,10,unknown,,540,,,7394,2432,208,0,0,0,0,0,2020-11-24T13:23:20Z,49.45186,R+49,Hyde-Smith +49,republican,mississippi,2020-11-29T00:51:52.474766Z
28141,Tishomingo,9073,0,14,14,Merged into voters' home precincts and released with cumulative results,99,9147,>98%,>98% reported,edison,10,unknown,,594,,,7216,1594,256,7,0,0,0,0,2020-11-24T13:23:21Z,61.96407,R+62,Hyde-Smith +62,republican,mississippi,2020-11-29T00:51:52.474766Z
28143,Tunica,3573,0,12,12,Merged into voters' home precincts and released with cumulative results,100,3573,>98%,>98% reported,edison,10,unknown,,230,,,814,2717,42,0,0,0,0,0,2020-11-24T13:23:22Z,53.26057,D+53,Espy +53,democrat,mississippi,2020-11-29T00:51:52.474766Z
28145,Union,12656,0,20,20,Merged into voters' home precincts and released with cumulative results,100,12683,>98%,>98% reported,edison,10,none,,700,,,9572,2660,424,0,0,0,0,0,2020-11-24T13:23:23Z,54.61441,R+55,Hyde-Smith +55,republican,mississippi,2020-11-29T00:51:52.474766Z
28147,Walthall,7088,0,19,20,None,96,7402,96%,96% reported,edison,2,unknown,,466,,,4005,2993,86,4,0,0,0,0,2020-11-24T13:23:23Z,14.27765,R+14,Hyde-Smith +14,republican,mississippi,2020-11-29T00:51:52.474766Z
28149,Warren,20244,0,23,23,None,96,21056,96%,96% reported,edison,10,unknown,,1150,,,9912,10085,246,1,0,0,0,0,2020-11-24T13:23:23Z,0.85457,D+0.85,Espy +0.85,democrat,mississippi,2020-11-29T00:51:52.474766Z
28151,Washington,18164,0,19,19,None,100,16820,>98%,>98% reported,edison,4,unknown,,914,,,4891,13155,109,9,0,0,0,0,2020-11-24T13:23:24Z,45.49659,D+45,Espy +45,democrat,mississippi,2020-11-29T00:51:52.474766Z
28153,Wayne,10087,0,22,22,Merged into voters' home precincts and released with cumulative results,100,10087,>98%,>98% reported,edison,10,unknown,,850,,,5984,3954,144,5,0,0,0,0,2020-11-24T13:23:25Z,20.12491,R+20,Hyde-Smith +20,republican,mississippi,2020-11-29T00:51:52.474766Z
28155,Webster,5384,0,17,17,Merged into voters' home precincts and released with cumulative results,100,5402,>98%,>98% reported,edison,10,unknown,,262,,,4067,1198,113,6,0,0,0,0,2020-11-24T13:23:25Z,53.28752,R+53,Hyde-Smith +53,republican,mississippi,2020-11-29T00:51:52.474766Z
28157,Wilkinson,4078,0,9,9,None,99,4130,>98%,>98% reported,edison,10,none,,326,,,1295,2702,80,1,0,0,0,0,2020-11-24T13:23:26Z,34.50221,D+35,Espy +35,democrat,mississippi,2020-11-29T00:51:52.474766Z
28159,Winston,9266,0,12,12,Merged into voters' home precincts and released with cumulative results,100,9266,>98%,>98% reported,edison,10,some,,794,,,4846,4303,114,3,0,0,0,0,2020-11-24T13:23:26Z,5.86013,R+6,Hyde-Smith +6,republican,mississippi,2020-11-29T00:51:52.474766Z
28161,Yalobusha,6512,0,12,12,None,100,6538,>98%,>98% reported,edison,10,unknown,,552,,,3415,3005,88,4,0,0,0,0,2020-11-24T13:21:40Z,6.29607,R+6,Hyde-Smith +6,republican,mississippi,2020-11-29T00:51:52.474766Z
28163,Yazoo,10438,0,23,23,Merged into voters' home precincts and released with cumulative results,100,10441,>98%,>98% reported,edison,10,unknown,,470,,,4551,5804,79,4,0,0,0,0,2020-11-24T13:21:45Z,12.00422,D+12,Espy +12,democrat,mississippi,2020-11-29T00:51:52.474766Z
