fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
08001,Adams,235700,0,260,260,Other,100,236735,>98%,>98% reported,edison,8,all,,,,,130409,98341,4916,1071,963,,0,0,0,0,0,,2020-11-24T13:22:36Z,13.60543,D+14,Hickenlooper +14,democrat,colorado,2020-11-29T00:51:19.325176Z
08003,Alamosa,7707,0,8,8,Other,99,7808,>98%,>98% reported,edison,8,all,,,,,3734,3800,104,40,29,,0,0,0,0,0,,2020-11-24T13:22:37Z,0.85636,R+0.86,Gardner +0.86,republican,colorado,2020-11-29T00:51:19.325176Z
08005,Arapahoe,348741,0,380,390,Other,100,350283,>98%,>98% reported,edison,8,some,,,,,204112,136749,5695,1074,1111,,0,0,0,0,0,,2020-11-25T02:22:10Z,19.31605,D+19,Hickenlooper +19,democrat,colorado,2020-11-29T00:51:19.325176Z
08007,Archuleta,9019,0,8,8,Other,99,9144,>98%,>98% reported,edison,8,all,,,,,3591,5225,163,26,14,,0,0,0,0,0,,2020-11-24T13:22:40Z,18.11731,R+18,Gardner +18,republican,colorado,2020-11-29T00:51:19.325176Z
08009,Baca,2196,0,8,9,Other,99,2224,>98%,>98% reported,edison,8,all,,,,,329,1816,32,12,7,,0,0,0,0,0,,2020-11-24T13:22:42Z,67.71403,R+68,Gardner +68,republican,colorado,2020-11-29T00:51:19.325176Z
08011,Bent,2256,0,5,5,Other,99,2274,>98%,>98% reported,edison,8,unknown,,,,,702,1488,33,26,7,,0,0,0,0,0,,2020-11-24T13:22:43Z,34.84043,R+35,Gardner +35,republican,colorado,2020-11-29T00:51:19.325176Z
08013,Boulder,205516,0,222,240,Other,100,206111,>98%,>98% reported,edison,8,some,,,,,154552,47321,2869,317,457,,0,0,0,0,0,,2020-11-24T13:22:44Z,52.17647,D+52,Hickenlooper +52,democrat,colorado,2020-11-29T00:51:19.325176Z
08014,Broomfield,46196,0,37,37,Other,99,46632,>98%,>98% reported,edison,8,all,,,,,27447,17855,712,82,100,,0,0,0,0,0,,2020-11-24T13:22:07Z,20.7637,D+21,Hickenlooper +21,democrat,colorado,2020-11-29T00:51:19.325176Z
08015,Chaffee,13578,0,9,9,Other,99,13717,>98%,>98% reported,edison,8,unknown,,,,,6948,6344,232,32,22,,0,0,0,0,0,,2020-11-24T13:22:44Z,4.44837,D+4,Hickenlooper +4,democrat,colorado,2020-11-29T00:51:19.325176Z
08017,Cheyenne,1125,0,4,5,Other,99,1136,>98%,>98% reported,edison,8,some,,,,,119,995,7,2,2,,0,0,0,0,0,,2020-11-24T13:22:45Z,77.86667,R+78,Gardner +78,republican,colorado,2020-11-29T00:51:19.325176Z
08019,Clear Creek,6477,0,8,9,Other,99,6545,>98%,>98% reported,edison,8,some,,,,,3494,2835,121,15,12,,0,0,0,0,0,,2020-11-24T13:22:47Z,10.17446,D+10,Hickenlooper +10,democrat,colorado,2020-11-29T00:51:19.325176Z
08021,Conejos,4269,0,9,10,Other,99,4333,>98%,>98% reported,edison,8,all,,,,,1975,2243,24,18,9,,0,0,0,0,0,,2020-11-24T13:22:48Z,6.27782,R+6,Gardner +6,republican,colorado,2020-11-29T00:51:19.325176Z
08023,Costilla,2087,0,8,8,Other,100,2094,>98%,>98% reported,edison,8,all,,,,,1313,713,40,12,9,,0,0,0,0,0,,2020-11-24T13:22:49Z,28.7494,D+29,Hickenlooper +29,democrat,colorado,2020-11-29T00:51:19.325176Z
08025,Crowley,1741,0,6,6,Other,99,1750,>98%,>98% reported,edison,8,all,,,,,456,1230,36,12,7,,0,0,0,0,0,,2020-11-24T13:22:50Z,44.45721,R+44,Gardner +44,republican,colorado,2020-11-29T00:51:19.325176Z
08027,Custer,3594,0,3,3,Other,99,3630,>98%,>98% reported,edison,8,all,,,,,1059,2456,62,10,7,,0,0,0,0,0,,2020-11-24T23:30:39Z,38.87034,R+39,Gardner +39,republican,colorado,2020-11-29T00:51:19.325176Z
08029,Delta,19303,0,19,20,Other,100,19370,>98%,>98% reported,edison,8,all,,,,,5764,13118,308,79,34,,0,0,0,0,0,,2020-11-24T13:22:52Z,38.09771,R+38,Gardner +38,republican,colorado,2020-11-29T00:51:19.325176Z
08031,Denver,393088,0,356,356,Other,100,393824,>98%,>98% reported,edison,8,some,,,,,305602,80163,4984,963,1376,,0,0,0,0,0,,2020-11-25T21:43:30Z,57.35077,D+57,Hickenlooper +57,democrat,colorado,2020-11-29T00:51:19.325176Z
08033,Dolores,1427,0,4,4,Other,98,1449,98%,98% reported,edison,8,all,,,,,338,1064,17,4,4,,0,0,0,0,0,,2020-11-24T13:22:53Z,50.87596,R+51,Gardner +51,republican,colorado,2020-11-29T00:51:19.325176Z
08035,Douglas,231559,0,169,169,Other,100,231599,>98%,>98% reported,edison,8,all,,,,,97553,130045,3279,332,350,,0,0,0,0,0,,2020-11-24T13:22:54Z,14.03185,R+14,Gardner +14,republican,colorado,2020-11-29T00:51:19.325176Z
08037,Eagle,28748,0,29,30,Other,99,29139,>98%,>98% reported,edison,8,all,,,,,17902,10350,384,53,59,,0,0,0,0,0,,2020-11-24T16:20:40Z,26.26965,D+26,Hickenlooper +26,democrat,colorado,2020-11-29T00:51:19.325176Z
08041,El Paso,376880,0,291,291,Other,100,378234,>98%,>98% reported,edison,8,some,,,,,152126,212057,9932,1451,1314,,0,0,0,0,0,,2020-11-24T20:00:47Z,15.90188,R+16,Gardner +16,republican,colorado,2020-11-29T00:51:19.325176Z
08039,Elbert,18957,0,15,15,Other,100,18983,>98%,>98% reported,edison,8,unknown,,,,,4257,14340,299,35,26,,0,0,0,0,0,,2020-11-24T13:22:56Z,53.1888,R+53,Gardner +53,republican,colorado,2020-11-29T00:51:19.325176Z
