fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_warnerm,results_gaded,results_absentee_warnerm,results_absentee_gaded,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
51001,Accomack,16802,8569,17,17,Released separately AFTER election night,71,23766,71%,71% reported,edison,10,unknown,,1487,,,7939,8863,5569,3000,2020-11-24T13:25:29Z,5.49935,R+5,Gade +5,republican,virginia,2020-11-29T00:52:28.120131Z
51003,Albemarle,63430,42507,31,31,Released as a precinct at the end of tabulation,98,64657,98%,98% reported,edison,10,unknown,,6993,,,42730,20700,33176,9331,2020-11-24T13:25:29Z,34.7312,D+35,Warner +35,democrat,virginia,2020-11-29T00:52:28.120131Z
51510,Alexandria,81873,65545,31,31,Released as a precinct at the end of tabulation,99,82508,>98%,>98% reported,edison,10,unknown,,19940,,,65071,16802,54818,10727,2020-11-24T13:25:31Z,58.95594,D+59,Warner +59,democrat,virginia,2020-11-29T00:52:28.120131Z
51005,Alleghany,7981,2662,13,13,Released as a separate subtotal at the end of tabulation,97,8203,97%,97% reported,edison,10,unknown,,550,,,2822,5159,1380,1282,2020-11-24T13:25:30Z,29.28204,R+29,Gade +29,republican,virginia,2020-11-29T00:52:28.120131Z
51007,Amelia,7825,4331,6,6,Released as a precinct at the end of tabulation,99,7893,>98%,>98% reported,edison,10,unknown,,822,,,2559,5266,1786,2545,2020-11-24T13:25:30Z,34.59425,R+35,Gade +35,republican,virginia,2020-11-29T00:52:28.120131Z
51009,Amherst,16897,8400,12,12,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,17005,>98%,>98% reported,edison,10,all,,1222,,,6273,10624,4080,4320,2020-11-24T13:25:30Z,25.75013,R+26,Gade +26,republican,virginia,2020-11-29T00:52:28.120131Z
51011,Appomattox,9047,4487,10,10,Released as a precinct in the middle of the night,98,9268,98%,98% reported,edison,10,unknown,,525,,,2741,6306,1689,2798,2020-11-24T13:25:30Z,39.40533,R+39,Gade +39,republican,virginia,2020-11-29T00:52:28.120131Z
51013,Arlington,129470,106823,55,55,Released as a precinct at the end of tabulation,99,130699,>98%,>98% reported,edison,10,unknown,,37665,,,102880,26590,89563,17260,2020-11-24T13:25:30Z,58.92485,D+59,Warner +59,democrat,virginia,2020-11-29T00:52:28.120131Z
51015,Augusta,42018,20904,26,26,Released separately AFTER election night,99,42278,>98%,>98% reported,edison,10,unknown,,2612,,,12224,29794,8314,12590,2020-11-24T13:25:31Z,41.81541,R+42,Gade +42,republican,virginia,2020-11-29T00:52:28.120131Z
51017,Bath,2432,744,8,8,Released as a precinct in the middle of the night,97,2501,97%,97% reported,edison,10,unknown,,202,,,744,1688,377,367,2020-11-24T13:25:31Z,38.81579,R+39,Gade +39,republican,virginia,2020-11-29T00:52:28.120131Z
51019,Bedford,48279,24093,33,33,Released as a precinct at the end of tabulation,99,48669,>98%,>98% reported,edison,10,unknown,,3722,,,13872,34407,9312,14781,2020-11-24T13:25:31Z,42.53402,R+43,Gade +43,republican,virginia,2020-11-29T00:52:28.120131Z
51021,Bland,3383,1268,8,8,None,97,3479,97%,97% reported,edison,10,unknown,,209,,,732,2651,375,893,2020-11-24T13:25:31Z,56.7248,R+57,Gade +57,republican,virginia,2020-11-29T00:52:28.120131Z
51023,Botetourt,20702,11335,11,11,"As a precinct in the FIRST cumulative report, along with regular precincts",98,21120,98%,98% reported,edison,10,all,,1719,,,6512,14190,4545,6790,2020-11-24T13:25:31Z,37.0882,R+37,Gade +37,republican,virginia,2020-11-29T00:52:28.120131Z
51520,Bristol,7679,4644,5,5,Released as a separate subtotal as first report of the night,98,7806,98%,98% reported,edison,10,unknown,,770,,,2787,4892,2008,2636,2020-11-24T13:25:32Z,27.41242,R+27,Gade +27,republican,virginia,2020-11-29T00:52:28.120131Z
51025,Brunswick,7919,4170,14,14,None,100,7948,>98%,>98% reported,edison,10,unknown,,801,,,4727,3192,2859,1311,2020-11-24T13:25:31Z,19.38376,D+19,Warner +19,democrat,virginia,2020-11-29T00:52:28.120131Z
51027,Buchanan,9724,3023,18,18,Released as a precinct in the middle of the night,98,9953,98%,98% reported,edison,10,unknown,,942,,,2522,7202,983,2040,2020-11-24T13:25:32Z,48.12834,R+48,Gade +48,republican,virginia,2020-11-29T00:52:28.120131Z
51029,Buckingham,8048,4099,11,11,Released as a precinct in the middle of the night,99,8126,>98%,>98% reported,edison,10,unknown,,520,,,3656,4392,2353,1746,2020-11-24T13:25:32Z,9.14513,R+9,Gade +9,republican,virginia,2020-11-29T00:52:28.120131Z
51530,Buena Vista,2744,1783,3,3,Merged into voters' home precincts and released with cumulative results,99,2776,>98%,>98% reported,edison,10,unknown,,2407,,,1020,1724,760,1023,2020-11-24T13:25:32Z,25.65598,R+26,Gade +26,republican,virginia,2020-11-29T00:52:28.120131Z
51031,Campbell,29615,14935,17,17,Released separately AFTER election night,99,29892,>98%,>98% reported,edison,10,all,,2042,,,9278,20337,6032,8903,2020-11-24T13:25:32Z,37.34256,R+37,Gade +37,republican,virginia,2020-11-29T00:52:28.120131Z
51033,Caroline,16160,7834,13,13,None,99,16288,>98%,>98% reported,edison,10,unknown,,1350,,,8124,8036,5078,2756,2020-11-24T13:25:32Z,0.54455,D+0.54,Warner +0.54,democrat,virginia,2020-11-29T00:52:28.120131Z
51035,Carroll,15201,5486,18,18,Released as a precinct at the end of tabulation,97,15651,97%,97% reported,edison,10,unknown,,1199,,,3591,11610,1953,3533,2020-11-24T13:25:32Z,52.75311,R+53,Gade +53,republican,virginia,2020-11-29T00:52:28.120131Z
51036,Charles City,4404,2835,4,4,Released separately AFTER election night,99,4441,>98%,>98% reported,edison,10,unknown,,611,,,2700,1704,2049,786,2020-11-24T13:25:33Z,22.6158,D+23,Warner +23,democrat,virginia,2020-11-29T00:52:28.120131Z
51037,Charlotte,6155,2927,8,8,None,99,6191,>98%,>98% reported,edison,10,unknown,,425,,,2522,3633,1596,1331,2020-11-24T13:25:33Z,18.05037,R+18,Gade +18,republican,virginia,2020-11-29T00:52:28.120131Z
51540,Charlottesville,24081,17799,10,10,Released as a precinct in the middle of the night,99,24205,>98%,>98% reported,edison,10,unknown,,3257,,,20672,3409,16213,1586,2020-11-24T13:25:32Z,71.68722,D+72,Warner +72,democrat,virginia,2020-11-29T00:52:28.120131Z
51550,Chesapeake,126283,90164,64,64,"As a precinct in the FIRST cumulative report, along with regular precincts",99,127108,>98%,>98% reported,edison,10,none,,15226,,,68129,58154,54418,35746,2020-11-24T13:25:32Z,7.89893,D+8,Warner +8,democrat,virginia,2020-11-29T00:52:28.120131Z
51041,Chesterfield,200226,142095,81,81,Released as a precinct at the end of tabulation,98,203884,98%,98% reported,edison,10,unknown,,17975,,,107568,92658,85134,56961,2020-11-24T13:25:33Z,7.44659,D+7,Warner +7,democrat,virginia,2020-11-29T00:52:28.120131Z
51043,Clarke,9266,5745,8,8,Released as a precinct at the end of tabulation,99,9337,>98%,>98% reported,edison,10,unknown,,1052,,,4052,5214,3159,2586,2020-11-24T13:25:33Z,12.54047,R+13,Gade +13,republican,virginia,2020-11-29T00:52:28.120131Z
