fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_nehlst,results_kulkarnis,results_leblancj,results_absentee_nehlst,results_absentee_kulkarnis,results_absentee_leblancj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48039,Brazoria,87141,80039,37,37,Released as a precinct as first report of the night,99,87733,>98%,>98% reported,edison,2,some,131649,44029,38657,4455,40168,35989,3882,2020-11-11T03:27:05Z,6.16472,R+6,Nehls +6,republican,TX-G-H-22-2020-11-03,tx-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"The retirement of Representative Pete Olson created a highly competitive race in the Houston suburbs, which were once reliably Republican but are shifting demographically and politically. The candidates are Sheriff Troy Nehls of Fort Bend County, a Republican, and Sri Preston Kulkarni, a Democrat who lost narrowly to Mr. Olson in 2018.",tossup,TRUE,22,District 22,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406799,373222,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,190,190,100% reporting,100%,99,402000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T19:42:56Z,FALSE,6.98551,28417,R+7,Nehls +7,republican,"","",1,0,1604466965016
48157,Fort Bend,276888,255619,126,126,Released as a precinct as first report of the night,100,269200,>98%,>98% reported,edison,2,unknown,267057,144860,123018,9010,133135,114624,7860,2020-11-11T03:27:05Z,7.88839,R+8,Nehls +8,republican,TX-G-H-22-2020-11-03,tx-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"The retirement of Representative Pete Olson created a highly competitive race in the Houston suburbs, which were once reliably Republican but are shifting demographically and politically. The candidates are Sheriff Troy Nehls of Fort Bend County, a Republican, and Sri Preston Kulkarni, a Democrat who lost narrowly to Mr. Olson in 2018.",tossup,TRUE,22,District 22,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406799,373222,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,190,190,100% reporting,100%,99,402000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T19:42:56Z,FALSE,6.98551,28417,R+7,Nehls +7,republican,"","",1,0,1604466965016
48201,Harris,42770,37564,27,27,Released as a precinct as first report of the night,95,44945,95%,95% reported,edison,2,some,1267589,20846,19643,2281,18210,17476,1878,2020-11-11T19:42:55Z,2.81272,R+3,Nehls +3,republican,TX-G-H-22-2020-11-03,tx-house-general-district-022-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-22.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 22,U.S. House,H,"The retirement of Representative Pete Olson created a highly competitive race in the Houston suburbs, which were once reliably Republican but are shifting demographically and politically. The candidates are Sheriff Troy Nehls of Fort Bend County, a Republican, and Sri Preston Kulkarni, a Democrat who lost narrowly to Mr. Olson in 2018.",tossup,TRUE,22,District 22,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",406799,373222,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,190,190,100% reporting,100%,99,402000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T19:42:56Z,FALSE,6.98551,28417,R+7,Nehls +7,republican,"","",1,0,1604466965016
