fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_dingelld,results_jonesj,results_walkowiczg,results_absentee_dingelld,results_absentee_jonesj,results_absentee_walkowiczg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
26161,Washtenaw,147340,115894,105,105,Other,100,147336,>98%,>98% reported,edison,6,all,40520,118481,25962,2897,98663,15540,1691,2020-11-12T22:03:46Z,62.79286,D+63,Dingell +63,democrat,MI-G-H-12-2020-11-03,mi-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-dem,12,District 12,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",383868,146608,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,368,377,98% reporting,98%,96,400000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-12T22:03:55Z,TRUE,35.75734,137261,D+36,Dingell +36,democrat,"","",0,-1,1604481663904
26163,Wayne,236528,30714,263,272,Released separately AFTER election night,97,245084,97%,97% reported,edison,4,unknown,172169,136510,91768,8250,19222,10828,664,2020-11-11T03:25:38Z,18.91615,D+19,Dingell +19,democrat,MI-G-H-12-2020-11-03,mi-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-michigan.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-michigan.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-dem,12,District 12,MI,michigan,Michigan,Mich.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",383868,146608,2,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,368,377,98% reporting,98%,96,400000,edison,96%,96% reported,edison,democrat,FALSE,2020-11-12T22:03:55Z,TRUE,35.75734,137261,D+36,Dingell +36,democrat,"","",0,-1,1604481663904
