fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_smithc,results_garciam,results_absentee_smithc,results_absentee_garciam,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race
06037,Los Angeles,266197,187398,216,216,Released as a separate subtotal as first report of the night,100,250928,>98%,>98% reported,edison,4,all,1561325,135857,130340,98274,89124,2020-11-13T23:01:02Z,2.07253,D+2,Smith +2,democrat,CA-G-H-25-2020-11-03,ca-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,"Katie Hill, a Democratic newcomer, won this seat in 2018 as part of California’s “blue wave.” But <a href=""https://www.nytimes.com/2019/10/27/us/katie-hill-resigns.html""> her resignation</a> a year ago reopened the field to a wide range of contenders, including Mike Garcia, a Republican former military pilot, who easily beat Christy Smith, a Democratic member of the State Assembly, in <a href=""https://www.nytimes.com/2020/05/13/us/politics/christy-smith-mike-garcia.html""> a May special election</a>. That win for the seat was just on a temporary basis, though, and the two are now fighting a rematch.",tossup,TRUE,25,District 25,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,"",FALSE,"",333130,187398,1,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,277,277,100% reporting,100%,99,315000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-13T23:01:14Z,TRUE,0.03122,104,R+0.03,Garcia +0.03,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0
06111,Ventura,66933,0,61,61,Released as a separate subtotal as first report of the night,100,63273,>98%,>98% reported,edison,2,some,263890,30656,36277,0,0,2020-11-13T02:36:08Z,8.39795,R+8,Garcia +8,republican,CA-G-H-25-2020-11-03,ca-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-california.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-california.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,"Katie Hill, a Democratic newcomer, won this seat in 2018 as part of California’s “blue wave.” But <a href=""https://www.nytimes.com/2019/10/27/us/katie-hill-resigns.html""> her resignation</a> a year ago reopened the field to a wide range of contenders, including Mike Garcia, a Republican former military pilot, who easily beat Christy Smith, a Democratic member of the State Assembly, in <a href=""https://www.nytimes.com/2020/05/13/us/politics/christy-smith-mike-garcia.html""> a May special election</a>. That win for the seat was just on a temporary basis, though, and the two are now fighting a rematch.",tossup,TRUE,25,District 25,CA,california,California,Calif.,vertical,0.5,"",FALSE,TRUE,"",FALSE,"",333130,187398,1,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,277,277,100% reporting,100%,99,315000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-13T23:01:14Z,TRUE,0.03122,104,R+0.03,Garcia +0.03,republican,"All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.","All active registered voters were sent mail ballots, and late-arriving mail ballots and provisional ballots will be counted in the days and weeks after the election.",17,0
