fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_murphyg,results_farrowd,results_absentee_murphyg,results_absentee_farrowd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
37013,Beaufort,25702,20041,18,21,Released as a precinct as first report of the night,87,29666,87%,87% reported,edison,4,all,22376,16659,9043,12293,7748,2020-11-13T16:46:45Z,29.63194,R+30,Murphy +30,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37029,Camden,5736,4316,3,3,Released as a precinct as first report of the night,92,6211,92%,92% reported,edison,4,all,4042,4269,1467,3073,1243,2020-11-11T03:26:21Z,48.84937,R+49,Murphy +49,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37031,Carteret,39941,32684,22,26,Released as a separate subtotal as first report of the night,85,46776,85%,85% reported,edison,2,all,34930,29252,10689,23202,9482,2020-11-13T01:02:11Z,46.47605,R+46,Murphy +46,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37041,Chowan,7618,6528,5,6,Released as a precinct as first report of the night,85,8960,85%,85% reported,edison,4,all,8195,4487,3131,3757,2771,2020-11-13T19:02:48Z,17.79995,R+18,Murphy +18,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37049,Craven,51657,43845,19,21,Released as a precinct as first report of the night,89,58214,89%,89% reported,edison,2,unknown,49498,31936,19721,26350,17495,2020-11-13T18:02:50Z,23.64636,R+24,Murphy +24,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37053,Currituck,15620,9979,11,11,Released as a precinct as first report of the night,100,15620,>98%,>98% reported,edison,6,unknown,6061,11671,3949,6993,2986,2020-11-13T16:13:51Z,49.43662,R+49,Murphy +49,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37055,Dare,23115,18384,15,16,Released as a separate subtotal as first report of the night,100,20712,>98%,>98% reported,edison,6,unknown,12962,13824,9291,10263,8121,2020-11-13T17:37:56Z,19.61064,R+20,Murphy +20,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37061,Duplin,21916,16391,16,19,Released as a precinct as first report of the night,84,25950,84%,84% reported,edison,4,all,15685,13560,8356,9484,6907,2020-11-11T03:26:27Z,23.74521,R+24,Murphy +24,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37095,Hyde,2409,1212,6,7,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,2409,>98%,>98% reported,edison,6,all,1194,1397,1012,556,656,2020-11-12T17:14:53Z,15.98174,R+16,Murphy +16,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
37103,Jones,5409,3750,6,7,Released as a separate subtotal as first report of the night,85,6373,85%,85% reported,edison,4,unknown,3869,3296,2113,2140,1610,2020-11-13T16:43:20Z,21.87096,R+22,Murphy +22,republican,NC-G-H-3-2020-11-03,nc-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",358755,287799,17,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,201,228,88% reporting,88%,87,411000,edison,87%,87% reported,edison,republican,FALSE,2020-11-11T03:25:26Z,TRUE,26.89607,96491,R+27,Murphy +27,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456669457
