fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bacond,results_eastmank,results_schaeffert,results_absentee_bacond,results_absentee_eastmank,results_absentee_schaeffert,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
31055,Douglas,270180,0,237,237,Released separately AFTER election night,100,265730,>98%,>98% reported,edison,2,unknown,125011,130462,131672,8046,0,0,0,2020-11-14T00:00:44Z,0.44785,D+0.45,Eastman +0.45,democrat,NE-G-H-2-2020-11-03,ne-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"It is theoretically possible that the presidential election will be decided by the one Electoral College vote held by Omaha and its suburbs, where polling has shown Joseph R. Biden Jr. with an edge. Representative Don Bacon, the Republican incumbent, <a href=""https://www.nytimes.com/elections/results/nebraska-house-district-2"">defeated his Democratic opponent, Kara Eastman, by just two points</a> here in 2018, and the rematch is expected to be competitive again. ",tossup,TRUE,2,District 2,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332727,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,270,270,100% reporting,100%,99,323000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T00:00:49Z,TRUE,4.66178,15511,R+5,Bacon +5,republican,"","",0,0,1604472369535
31153,Sarpy,62547,0,33,33,Merged into voters' home precincts and released with cumulative results,100,56559,>98%,>98% reported,edison,2,unknown,41779,38672,21951,1924,0,0,0,2020-11-11T03:25:31Z,26.7335,R+27,Bacon +27,republican,NE-G-H-2-2020-11-03,ne-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nebraska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nebraska.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"It is theoretically possible that the presidential election will be decided by the one Electoral College vote held by Omaha and its suburbs, where polling has shown Joseph R. Biden Jr. with an edge. Representative Don Bacon, the Republican incumbent, <a href=""https://www.nytimes.com/elections/results/nebraska-house-district-2"">defeated his Democratic opponent, Kara Eastman, by just two points</a> here in 2018, and the rematch is expected to be competitive again. ",tossup,TRUE,2,District 2,NE,nebraska,Nebraska,Neb.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332727,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,270,270,100% reporting,100%,99,323000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T00:00:49Z,TRUE,4.66178,15511,R+5,Bacon +5,republican,"","",0,0,1604472369535
