fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_harrisa,results_masonm,results_absentee_harrisa,results_absentee_masonm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
24005,Baltimore,29373,0,16,20,Released separately AFTER election night,82,35842,82%,82% reported,edison,2,none,89978,18448,10925,0,0,2020-11-12T01:33:43Z,25.61196,R+26,Harris +26,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24011,Caroline,15420,0,8,8,Released as a precinct as first report of the night,99,15625,>98%,>98% reported,edison,2,unknown,3784,10691,4729,0,0,2020-11-13T21:29:43Z,38.66407,R+39,Harris +39,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24013,Carroll,37712,19869,13,14,Released separately AFTER election night,95,39674,95%,95% reported,edison,4,some,16653,27258,10454,13116,6753,2020-11-13T21:29:43Z,44.55876,R+45,Harris +45,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24015,Cecil,45960,0,25,28,Other,92,50121,92%,92% reported,edison,2,none,9424,29918,16042,0,0,2020-11-13T16:32:45Z,30.19147,R+30,Harris +30,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24019,Dorchester,15669,0,36,39,Other,93,16916,93%,93% reported,edison,2,none,3944,9294,6375,0,0,2020-11-13T21:01:47Z,18.62914,R+19,Harris +19,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24025,Harford,97751,46711,56,58,Released as a separate subtotal as first report of the night,98,99697,98%,98% reported,edison,4,some,26224,65514,32237,36202,10509,2020-11-13T22:22:49Z,34.04262,R+34,Harris +34,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24029,Kent,10502,0,10,11,None,95,11064,95%,95% reported,edison,2,none,3816,5396,5106,0,0,2020-11-13T19:40:43Z,2.76138,R+3,Harris +3,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24035,Queen Anne's,29521,0,12,12,Other,100,29319,>98%,>98% reported,edison,2,unknown,6419,19707,9814,0,0,2020-11-13T16:32:43Z,33.51174,R+34,Harris +34,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24039,Somerset,9933,0,20,23,None,91,10966,91%,91% reported,edison,2,unknown,2648,6038,3895,0,0,2020-11-13T21:01:46Z,21.57455,R+22,Harris +22,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24041,Talbot,22144,0,11,12,Released as a separate subtotal as first report of the night,98,22637,98%,98% reported,edison,2,unknown,9517,11838,10306,0,0,2020-11-13T21:34:42Z,6.91835,R+7,Harris +7,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24045,Wicomico,42508,0,49,54,Released as a precinct as first report of the night,90,47014,90%,90% reported,edison,2,unknown,10264,23621,18887,0,0,2020-11-11T03:24:55Z,11.13673,R+11,Harris +11,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24047,Worcester,30890,0,15,16,Released as a precinct as first report of the night,99,31301,>98%,>98% reported,edison,2,unknown,4518,19751,11139,0,0,2020-11-13T21:29:43Z,27.87957,R+28,Harris +28,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",387383,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,271,295,92% reporting,92%,94,411000,edison,94%,94% reported,edison,republican,FALSE,2020-11-13T22:22:56Z,TRUE,27.76709,107565,R+28,Harris +28,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
