fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_tiffanyt,results_zunkert,results_absentee_tiffanyt,results_absentee_zunkert,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
55053,Jackson,1090,0,3,3,None,100,930,>98%,>98% reported,edison,6,unknown,1378,764,326,0,0,2020-11-04T11:30:02Z,40.18349,R+40,Tiffany +40,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55057,Juneau,3444,0,7,7,Released as a separate subtotal at the end of tabulation,100,2933,>98%,>98% reported,edison,6,unknown,1959,2403,1041,0,0,2020-11-04T12:28:01Z,39.54704,R+40,Tiffany +40,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55067,Langlade,11089,0,27,27,Merged into voters' home precincts and released with cumulative results,100,9017,>98%,>98% reported,edison,2,unknown,2079,7413,3676,0,0,2020-11-04T17:29:29Z,33.70006,R+34,Tiffany +34,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55069,Lincoln,16251,0,27,27,Merged into voters' home precincts and released with cumulative results,92,17625,92%,92% reported,edison,2,unknown,2972,10123,6128,0,0,2020-11-04T17:29:18Z,24.5831,R+25,Tiffany +25,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55073,Marathon,75864,0,109,109,Merged into voters' home precincts and released with cumulative results,100,75864,>98%,>98% reported,edison,6,unknown,23595,46094,29770,0,0,2020-11-04T10:43:45Z,21.51745,R+22,Tiffany +22,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55081,Monroe,2635,0,5,5,Merged into voters' home precincts and released with cumulative results,100,2267,>98%,>98% reported,edison,4,unknown,5014,1839,796,0,0,2020-11-04T12:19:26Z,39.58254,R+40,Tiffany +40,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55085,Oneida,23876,0,29,29,Merged into voters' home precincts and released with cumulative results,100,21476,>98%,>98% reported,edison,6,unknown,3561,13877,9999,0,0,2020-11-04T17:28:42Z,16.24225,R+16,Tiffany +16,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55095,Polk,25937,0,36,36,Merged into voters' home precincts and released with cumulative results,100,15676,>98%,>98% reported,edison,6,unknown,3181,16675,9262,0,0,2020-11-04T10:43:46Z,28.58079,R+29,Tiffany +29,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55099,Price,8443,0,23,23,Merged into voters' home precincts and released with cumulative results,100,7298,>98%,>98% reported,edison,6,unknown,1569,5327,3116,0,0,2020-11-04T12:25:22Z,26.18737,R+26,Tiffany +26,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55107,Rusk,7725,0,33,33,Released as a separate subtotal at the end of tabulation,100,6325,>98%,>98% reported,edison,6,unknown,1175,5172,2553,0,0,2020-11-04T11:30:59Z,33.90291,R+34,Tiffany +34,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
