fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_pascrellb,results_prempehb,results_auriemmac,results_absentee_pascrellb,results_absentee_prempehb,results_absentee_auriemmac,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
34003,Bergen,150470,141943,176,203,Merged into voters' home precincts AFTER election night,87,173078,87%,87% reported,edison,2,some,45653,91794,55392,3284,87552,51378,3013,2020-11-06T23:55:26Z,24.1922,D+24,Pascrell +24,democrat,NJ-G-H-9-2020-11-03,nj-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",249646,189549,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,309,394,78% reporting,78%,79,316000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-09T21:25:28Z,TRUE,34.02578,84944,D+34,Pascrell +34,democrat,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604458761436
34017,Hudson,11582,0,21,30,Released as a separate subtotal as first report of the night,70,16577,70%,70% reported,edison,2,some,14745,7188,4070,324,0,0,0,2020-11-04T10:44:07Z,26.92108,D+27,Pascrell +27,democrat,NJ-G-H-9-2020-11-03,nj-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",249646,189549,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,309,394,78% reporting,78%,79,316000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-09T21:25:28Z,TRUE,34.02578,84944,D+34,Pascrell +34,democrat,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604458761436
34031,Passaic,87594,47606,112,161,None,70,125826,70%,70% reported,edison,2,unknown,17333,65550,20126,1918,37843,8847,916,2020-11-09T21:44:14Z,51.85743,D+52,Pascrell +52,democrat,NJ-G-H-9-2020-11-03,nj-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",249646,189549,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,309,394,78% reporting,78%,79,316000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-09T21:25:28Z,TRUE,34.02578,84944,D+34,Pascrell +34,democrat,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604458761436
