fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_van_drewj,results_kennedya,results_harveyj,results_ehrnstromj,results_absentee_van_drewj,results_absentee_kennedya,results_absentee_harveyj,results_absentee_ehrnstromj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
34001,Atlantic,129013,112158,143,151,Released separately AFTER election night,95,136058,95%,95% reported,edison,2,some,14118,62024,65017,1277,695,52943,57679,1001,535,2020-11-07T14:01:21Z,2.31992,D+2,Kennedy +2,democrat,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
34005,Burlington,1182,800,2,2,Merged into voters' home precincts and released with cumulative results,93,1268,93%,93% reported,edison,2,some,31397,799,359,10,14,507,277,7,9,2020-11-10T17:23:57Z,37.22504,R+37,Van Drew +37,republican,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
34007,Camden,5310,0,7,8,Released separately AFTER election night,89,5993,89%,89% reported,edison,2,unknown,59568,2923,2301,29,57,0,0,0,0,2020-11-07T13:42:13Z,11.71375,R+12,Van Drew +12,republican,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
34009,Cape May,54228,48883,122,127,Merged into voters' home precincts and released with cumulative results,96,56518,96%,96% reported,edison,4,some,9231,32934,20784,202,308,29110,19369,165,239,2020-11-07T14:08:41Z,22.4054,R+22,Van Drew +22,republican,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
34011,Cumberland,39556,17310,58,92,Released separately AFTER election night,63,62645,63%,63% reported,edison,4,some,5984,17384,21431,547,194,6280,10728,231,71,2020-11-07T14:40:47Z,10.23106,D+10,Kennedy +10,democrat,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
34015,Gloucester,51986,46146,71,71,Merged into voters' home precincts and released with cumulative results,100,50078,>98%,>98% reported,edison,4,some,25391,27104,23678,623,581,23470,21738,463,475,2020-11-07T14:55:57Z,6.59024,R+7,Van Drew +7,republican,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
34029,Ocean,24677,21378,32,33,Released as a separate subtotal as first report of the night,96,25593,96%,96% reported,edison,4,unknown,43803,15159,9119,180,219,12887,8198,128,165,2020-11-09T16:44:51Z,24.47623,R+24,Van Drew +24,republican,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
34033,Salem,29577,0,39,45,None,86,34213,86%,86% reported,edison,4,unknown,3501,16057,12604,477,439,0,0,0,0,2020-11-09T21:44:20Z,11.67461,R+12,Van Drew +12,republican,NJ-G-H-2-2020-11-03,nj-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-jersey.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-jersey.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jeff Van Drew, a Republican, is fighting to hold on to a seat that he won as a Democrat in 2018. Mr. Van Drew switched parties in 2019, saying he could not support the impeachment of President Trump and now faces Amy Kennedy, a Democrat and former schoolteacher who is married to former Representative Patrick Kennedy of Rhode Island.",tossup,TRUE,2,District 2,NJ,new-jersey,New Jersey,N.J.,vertical,0.7,"",FALSE,TRUE,winner,AP,FALSE,"",335529,246675,6,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,474,529,90% reporting,90%,90,373000,edison,90%,90% reported,edison,republican,FALSE,2020-11-10T17:24:03Z,TRUE,5.68982,19091,R+6,Van Drew +6,republican,"Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10. It took weeks to finish counting ballots during the state's July primary.","Mail ballots were sent to all active, registered voters, and those postmarked by Election Day have until Nov. 10 to arrive. All in-person voters cast provisional ballots, which will be counted beginning Nov. 10.",7,0,1604682704590
