fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_bentzc,results_spensera,results_werchr,results_absentee_bentzc,results_absentee_spensera,results_absentee_werchr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
41035,Klamath,35269,0,43,43,Other,100,33833,>98%,>98% reported,edison,2,unknown,25317,8761,1191,0,0,0,2020-11-04T10:43:54Z,46.94207,R+47,Bentz +47,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41037,Lake,4224,0,18,19,Other,96,4394,96%,96% reported,edison,4,all,3519,616,89,0,0,0,2020-11-04T14:45:49Z,68.72633,R+69,Bentz +69,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41045,Malheur,11540,0,24,24,Other,100,11450,>98%,>98% reported,edison,2,unknown,8819,2415,306,0,0,0,2020-11-04T10:43:54Z,55.49393,R+55,Bentz +55,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41049,Morrow,4935,0,5,5,Other,100,4592,>98%,>98% reported,edison,2,unknown,3601,1146,188,0,0,0,2020-11-04T10:43:55Z,49.74671,R+50,Bentz +50,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41055,Sherman,1153,0,5,5,Other,100,1127,>98%,>98% reported,edison,2,unknown,943,186,24,0,0,0,2020-11-04T10:43:56Z,65.65481,R+66,Bentz +66,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41059,Umatilla,31293,0,45,45,Other,100,30413,>98%,>98% reported,edison,2,unknown,21423,8717,1153,0,0,0,2020-11-04T10:43:57Z,40.60333,R+41,Bentz +41,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41061,Union,14339,0,19,19,Other,100,14308,>98%,>98% reported,edison,2,unknown,10449,3516,374,0,0,0,2020-11-04T10:43:58Z,48.35065,R+48,Bentz +48,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41063,Wallowa,5015,0,12,12,Other,100,4817,>98%,>98% reported,edison,4,all,3562,1332,121,0,0,0,2020-11-04T10:43:59Z,44.4666,R+44,Bentz +44,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41065,Wasco,13339,0,14,14,Other,100,13158,>98%,>98% reported,edison,2,unknown,7355,5546,438,0,0,0,2020-11-04T10:43:59Z,13.56174,R+14,Bentz +14,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
41069,Wheeler,928,0,3,3,Other,100,914,>98%,>98% reported,edison,2,unknown,738,172,18,0,0,0,2020-11-04T10:43:59Z,60.99138,R+61,Bentz +61,republican,OR-G-H-2-2020-11-03,or-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oregon.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-oregon.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,OR,oregon,Oregon,Ore.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",448631,0,unknown,Most polls close at 11 p.m. Eastern time.,Most polls close in,Most polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,384,386,99% reporting,99%,99,435000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T02:00:52Z,FALSE,23.28417,104460,R+23,Bentz +23,republican,"","",0,0,1604464647145
