fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_womacks,results_williamsc,results_kalagiasm,results_absentee_womacks,results_absentee_williamsc,results_absentee_kalagiasm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
05007,Benton,118814,102474,117,117,Released as a separate subtotal as first report of the night,100,108443,>98%,>98% reported,edison,4,some,64995,76513,37176,5125,65159,33398,3917,2020-11-06T18:49:47Z,33.10805,R+33,Womack +33,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05009,Boone,16930,12659,28,30,Released as a separate subtotal as first report of the night,100,16930,>98%,>98% reported,edison,6,some,15309,13815,2642,473,10135,2221,303,2020-11-04T10:43:52Z,65.99527,R+66,Womack +66,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05015,Carroll,11544,9158,12,13,Other,96,12049,96%,96% reported,edison,4,all,6619,7517,3731,296,5644,3319,195,2020-11-05T15:03:42Z,32.79626,R+33,Womack +33,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05033,Crawford,17151,13589,29,31,Released as a precinct as first report of the night,95,18123,95%,95% reported,edison,4,unknown,10542,13136,3427,588,10290,2903,396,2020-11-04T10:43:53Z,56.60894,R+57,Womack +57,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05089,Marion,7408,5268,29,31,Released as a separate subtotal as first report of the night,100,7408,>98%,>98% reported,edison,6,some,5478,5892,1323,193,4101,1041,126,2020-11-04T10:43:53Z,61.67657,R+62,Womack +62,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05101,Newton,1823,815,6,6,Released as a separate subtotal at the end of tabulation,100,1374,>98%,>98% reported,edison,2,unknown,2074,1555,235,33,656,145,14,2020-11-04T23:10:40Z,72.40812,R+72,Womack +72,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05115,Pope,24247,20587,53,55,Released as a separate subtotal as first report of the night,96,25277,96%,96% reported,edison,4,all,17896,18437,5097,713,15568,4476,543,2020-11-04T10:43:54Z,55.01712,R+55,Womack +55,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05129,Searcy,253,143,1,1,Released as a precinct as first report of the night,96,264,96%,96% reported,edison,2,unknown,3016,224,26,3,125,16,2,2020-11-04T10:43:57Z,78.26087,R+78,Womack +78,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05131,Sebastian,41058,34059,96,103,Released as a separate subtotal as first report of the night,93,44004,93%,93% reported,edison,2,all,30462,27150,12235,1673,22361,10457,1241,2020-11-04T10:43:54Z,36.32666,R+36,Womack +36,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
05143,Washington,92939,73778,154,154,Released as a separate subtotal as first report of the night,100,91684,>98%,>98% reported,edison,2,unknown,43475,49705,39437,3797,37499,33726,2553,2020-11-04T10:43:56Z,11.04811,R+11,Womack +11,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",332167,272530,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,525,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-05T15:03:44Z,TRUE,32.69891,108615,R+33,Womack +33,republican,"","",0,0,1604461986981
