fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12091,Okaloosa,116677,0,52,52,Released as a precinct as first report of the night,95,122360,95%,95% reported,edison,4,all,,88549,,,79771,34227,1879,389,183,73,76,79,0,0,0,0,0,0,0,0,2020-11-14T16:41:44Z,39.03426,R+39,Trump +39,republican,39.03426,102096,47.1,94798,49.31,florida,2020-11-16T00:42:13.216499Z
12093,Okeechobee,15983,11616,11,11,Released as a separate subtotal as first report of the night,100,14937,>98%,>98% reported,edison,4,all,,10432,,,11470,4389,66,31,7,4,8,8,8081,3455,42,19,6,1,5,7,2020-11-14T16:41:44Z,44.30332,R+44,Trump +44,republican,44.30332,13761,39.2,12324,20.06,florida,2020-11-16T00:42:13.216499Z
12095,Orange,647296,532878,238,247,Released as a separate subtotal as first report of the night,96,671918,96%,96% reported,edison,4,unknown,,424003,,,245398,395014,4685,,1146,444,386,223,186196,341876,3200,,844,326,267,169,2020-11-15T16:16:45Z,23.114,D+23,Biden +23,democrat,-23.114,551902,-24.4,466359,-18.24,florida,2020-11-16T00:42:13.216499Z
12097,Osceola,172407,142872,100,100,Released as a separate subtotal as first report of the night,100,168293,>98%,>98% reported,edison,6,unknown,,109152,,,73480,97297,964,,290,140,166,70,57676,83996,689,,220,110,123,58,2020-11-15T16:16:45Z,13.8144,D+14,Biden +14,democrat,-13.8144,141468,-24.9,108698,-24.51,florida,2020-11-16T00:42:13.216499Z
12099,Palm Beach,773093,614147,797,798,Released as a precinct as first report of the night,95,814668,95%,95% reported,edison,2,some,,408584,,,334711,433572,3040,,891,335,356,188,238940,372169,1965,,615,215,243,0,2020-11-15T16:16:45Z,12.78772,D+13,Biden +13,democrat,-12.78772,666212,-15.4,600721,-17.02,florida,2020-11-16T00:42:13.216499Z
12101,Pasco,301970,0,111,111,Released as a separate subtotal as first report of the night,100,298744,>98%,>98% reported,edison,6,all,,193701,,,179621,119073,2265,33,467,169,200,142,0,0,0,0,0,0,0,0,2020-11-15T16:11:47Z,20.051,R+20,Trump +20,republican,20.051,243265,21.4,213573,6.63,florida,2020-11-16T00:42:13.216499Z
12103,Pinellas,561125,560668,301,301,Released as a precinct as first report of the night,93,605656,93%,93% reported,edison,4,all,,462237,,,276191,277397,4263,1547,912,311,305,199,275949,277191,4257,1547,910,310,305,199,2020-11-14T16:41:45Z,0.21493,D+0.21,Biden +0.21,democrat,-0.21493,497485,1.1,457702,-5.65,florida,2020-11-16T00:42:13.216499Z
12105,Polk,343979,243083,167,167,Released as a separate subtotal as first report of the night,100,342615,>98%,>98% reported,edison,6,some,,195002,,,194571,145022,2592,808,425,217,204,140,125948,114613,1439,454,269,147,126,87,2020-11-14T16:41:45Z,14.40466,R+14,Trump +14,republican,14.40466,286969,13.9,248683,6.82,florida,2020-11-16T00:42:13.216499Z
12107,Putnam,36408,25591,35,35,Released as a precinct as first report of the night,100,36384,>98%,>98% reported,edison,6,all,,27784,,,25514,10524,225,40,50,21,14,20,17052,8419,120,0,0,0,0,0,2020-11-14T16:41:45Z,41.17227,R+41,Trump +41,republican,41.17227,33301,36.2,31324,24.45,florida,2020-11-16T00:42:13.216499Z
12113,Santa Rosa,106928,0,41,41,Released as a separate subtotal as first report of the night,100,106454,>98%,>98% reported,edison,4,some,,63466,,,77385,27612,1645,3,122,46,60,55,0,0,0,0,0,0,0,0,2020-11-15T16:11:47Z,46.54814,R+47,Trump +47,republican,46.54814,88684,52.9,76846,52.6,florida,2020-11-16T00:42:13.216499Z
