fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_westk,results_jorgensenj,results_collinsp,results_hawkinsh,results_carrollb,results_blankenshipd,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_westk,results_absentee_jorgensenj,results_absentee_collinsp,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
28001,Adams,12268,0,19,19,None,100,12268,>98%,>98% reported,edison,6,all,,1098,,,5222,6914,47,42,16,10,8,7,2,0,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:39:34Z,13.79198,D+14,Biden +14,democrat,-13.79198,13836,-13.6,15447,-17.92,mississippi,2020-11-16T00:41:57.524121Z
28003,Alcorn,15811,0,17,17,Merged into voters' home precincts and released with cumulative results,100,15811,>98%,>98% reported,edison,10,unknown,,1390,,,12818,2782,30,118,12,9,7,11,4,20,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:51:42Z,63.4748,R+63,Trump +63,republican,63.4748,14783,61.8,14830,51.25,mississippi,2020-11-16T00:41:57.524121Z
28005,Amite,7207,0,21,21,Merged into voters' home precincts and released with cumulative results,100,7207,>98%,>98% reported,edison,10,all,,466,,,4503,2620,17,21,7,10,10,5,3,11,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:57:42Z,26.12738,R+26,Trump +26,republican,26.12738,7050,22.6,7706,15.21,mississippi,2020-11-16T00:41:57.524121Z
28007,Attala,8832,0,20,20,Merged into voters' home precincts and released with cumulative results,100,8832,>98%,>98% reported,edison,10,unknown,,476,,,5178,3542,22,36,7,11,8,15,4,9,0,0,0,0,0,0,0,0,0,0,2020-11-14T17:00:48Z,18.52355,R+19,Trump +19,republican,18.52355,8256,20,9092,13.19,mississippi,2020-11-16T00:41:57.524121Z
28009,Benton,4292,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4292,>98%,>98% reported,edison,10,unknown,,442,,,2570,1679,6,12,5,5,6,3,3,3,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:07:54Z,20.75955,R+21,Trump +21,republican,20.75955,4022,13.2,4116,-0.24,mississippi,2020-11-16T00:41:57.524121Z
28011,Bolivar,11631,0,28,28,None,89,13023,89%,89% reported,edison,4,none,,410,,,4260,7203,58,44,10,15,20,7,3,11,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:26Z,25.30307,D+25,Biden +25,democrat,-25.30307,13824,-32.2,15428,-38.12,mississippi,2020-11-16T00:41:57.524121Z
28013,Calhoun,6595,0,10,10,Merged into voters' home precincts and released with cumulative results,100,6595,>98%,>98% reported,edison,10,unknown,,532,,,4625,1902,17,15,10,4,2,9,6,5,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:10:47Z,41.28886,R+41,Trump +41,republican,41.28886,6396,38.8,7068,25.83,mississippi,2020-11-16T00:41:57.524121Z
28015,Carroll,4509,0,14,14,None,77,5833,77%,77% reported,edison,4,none,,342,,,3257,1203,11,12,3,7,2,8,2,4,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:28Z,45.55334,R+46,Trump +46,republican,45.55334,5528,38.3,5992,32.59,mississippi,2020-11-16T00:41:57.524121Z
28017,Chickasaw,8148,0,15,15,None,100,8160,>98%,>98% reported,edison,10,unknown,,476,,,4175,3810,37,75,14,9,8,11,2,7,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:15:23Z,4.47963,R+4,Trump +4,republican,4.47963,7890,6.1,8503,-4.52,mississippi,2020-11-16T00:41:57.524121Z
28019,Choctaw,4225,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4225,>98%,>98% reported,edison,10,unknown,,246,,,3001,1185,6,16,4,2,3,5,1,2,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:17:26Z,42.98225,R+43,Trump +43,republican,42.98225,4065,38.6,4273,32.39,mississippi,2020-11-16T00:41:57.524121Z
28021,Claiborne,4453,0,11,11,Released as a separate subtotal at the end of tabulation,99,4489,>98%,>98% reported,edison,10,unknown,,776,,,603,3772,23,11,7,10,10,7,6,4,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:19:17Z,71.16551,D+71,Biden +71,democrat,-71.16551,4272,-74.2,5484,-76.82,mississippi,2020-11-16T00:41:57.524121Z
28023,Clarke,8277,1240,23,23,None,100,8035,>98%,>98% reported,edison,2,some,,708,,,5372,2815,19,27,6,14,5,7,3,9,734,498,2,4,0,2,0,0,0,0,2020-11-14T16:38:36Z,30.89284,R+31,Trump +31,republican,30.89284,7791,32.8,8253,23.48,mississippi,2020-11-16T00:41:57.524121Z
28025,Clay,10206,1939,14,14,Merged into voters' home precincts and released with cumulative results,99,10296,>98%,>98% reported,edison,10,unknown,,652,,,4181,5844,35,48,17,12,17,27,8,17,811,1117,3,1,1,0,1,1,2,2,2020-11-14T22:23:22Z,16.29434,D+16,Biden +16,democrat,-16.29434,10003,-15.7,11072,-21.87,mississippi,2020-11-16T00:41:57.524121Z
28027,Coahoma,8642,0,18,18,Merged into voters' home precincts and released with cumulative results,100,8660,>98%,>98% reported,edison,10,unknown,,,,,2400,6130,39,20,6,14,14,11,2,6,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:25:20Z,43.16131,D+43,Biden +43,democrat,-43.16131,8912,-44.3,10549,-48.16,mississippi,2020-11-16T00:41:57.524121Z
28029,Copiah,12897,0,19,19,None,100,12915,>98%,>98% reported,edison,10,unknown,,542,,,6250,6470,40,58,20,11,15,15,4,14,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:27:34Z,1.70582,D+1.7,Biden +1.7,democrat,-1.70582,12982,-4.9,14123,-10.39,mississippi,2020-11-16T00:41:57.524121Z
28031,Covington,9294,0,14,15,Merged into voters' home precincts and released with cumulative results,100,9101,>98%,>98% reported,edison,2,unknown,,806,,,5811,3382,27,33,7,3,5,13,2,11,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:43Z,26.13514,R+26,Trump +26,republican,26.13514,8811,24.5,9348,16.34,mississippi,2020-11-16T00:41:57.524121Z
28033,DeSoto,75013,0,41,41,Merged into voters' home precincts and released with cumulative results,100,72373,>98%,>98% reported,edison,4,unknown,,1400,,,45788,27733,215,706,92,91,78,67,119,124,0,0,0,0,0,0,0,0,0,0,2020-11-14T16:38:44Z,24.06916,R+24,Trump +24,republican,24.06916,66155,34,65794,33.41,mississippi,2020-11-16T00:41:57.524121Z
28035,Forrest,31726,0,34,34,None,100,31726,>98%,>98% reported,edison,10,unknown,,1294,,,17290,13756,119,329,29,54,33,31,14,71,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:29:54Z,11.13913,R+11,Trump +11,republican,11.13913,28064,13.3,30236,10.92,mississippi,2020-11-16T00:41:57.524121Z
28037,Franklin,4464,0,14,14,None,100,4464,>98%,>98% reported,edison,10,unknown,,530,,,2923,1480,14,21,4,3,6,6,4,3,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:32:19Z,32.32527,R+32,Trump +32,republican,32.32527,4290,28.4,4493,22.46,mississippi,2020-11-16T00:41:57.524121Z
28039,George,11064,0,22,22,Released as a separate subtotal at the end of tabulation,100,11064,>98%,>98% reported,edison,10,unknown,,208,,,9713,1218,21,54,12,10,6,10,5,15,0,0,0,0,0,0,0,0,0,0,2020-11-14T22:34:39Z,76.78055,R+77,Trump +77,republican,76.78055,9891,77.5,9856,71.2,mississippi,2020-11-16T00:41:57.524121Z
28041,Greene,5816,0,13,13,Released as a precinct at the end of tabulation,100,5816,>98%,>98% reported,edison,10,unknown,,700,,,4794,966,10,20,4,4,2,8,4,4,0,0,0,0,0,0,0,0,0,0,2020-11-14T23:06:33Z,65.81843,R+66,Trump +66,republican,65.81843,5369,62.6,5922,54.14,mississippi,2020-11-16T00:41:57.524121Z
