fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_segalj,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_segalj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
24001,Allegany,30511,0,23,26,"As a subtotal in the FIRST cumulative report, along with regular precincts",89,34332,89%,89% reported,edison,2,unknown,,4312,,,9158,20886,308,120,39,0,0,0,0,0,2020-11-14T16:40:52Z,38.4386,R+38,Trump +38,republican,38.4386,30654,43.7,29850,31.57,maryland,2020-11-16T00:42:23.040954Z
24003,Anne Arundel,306912,0,202,202,Released as a precinct as first report of the night,100,302491,>98%,>98% reported,edison,2,none,,61018,,,172823,127810,4651,1247,381,0,0,0,0,0,2020-11-14T16:40:52Z,14.66642,D+15,Biden +15,democrat,-14.66642,270081,-2.2,260155,0.08,maryland,2020-11-16T00:42:23.040954Z
24005,Baltimore,372666,0,201,236,Released separately AFTER election night,85,437564,85%,85% reported,edison,2,none,,89978,,,229339,136950,4318,1571,488,0,0,0,0,0,2020-11-14T16:40:52Z,24.79137,D+25,Biden +25,democrat,-24.79137,390682,-17.6,384782,-17,maryland,2020-11-16T00:42:23.040954Z
24510,Baltimore City,230077,0,254,296,Other,82,279607,82%,82% reported,edison,2,none,,72816,,,201995,24666,1688,1292,436,0,0,0,0,0,2020-11-14T16:40:52Z,77.07376,D+77,Biden +77,democrat,-77.07376,239402,-74.1,254005,-76.1,maryland,2020-11-16T00:42:23.040954Z
24009,Calvert,48832,0,22,24,"As a precinct in the FIRST cumulative report, along with regular precincts",92,53097,92%,92% reported,edison,2,unknown,,11262,,,22587,25346,733,127,39,0,0,0,0,0,2020-11-14T16:40:52Z,5.64998,R+6,Trump +6,republican,5.64998,47408,16.8,45518,7.52,maryland,2020-11-16T00:42:23.040954Z
24011,Caroline,15729,0,8,8,Released as a precinct as first report of the night,100,15807,>98%,>98% reported,edison,2,unknown,,3784,,,5095,10283,229,90,32,0,0,0,0,0,2020-11-14T16:40:53Z,32.98366,R+33,Trump +33,republican,32.98366,14113,38,13357,23.42,maryland,2020-11-16T00:42:23.040954Z
24013,Carroll,99394,58185,35,36,Released separately AFTER election night,97,102870,97%,97% reported,edison,4,some,,16653,,,36454,60206,2028,537,169,24488,32426,898,283,90,2020-11-14T16:40:53Z,23.89681,R+24,Trump +24,republican,23.89681,91848,34.5,87536,32.93,maryland,2020-11-16T00:42:23.040954Z
24015,Cecil,47273,0,26,28,Other,93,50701,93%,93% reported,edison,2,none,,9424,,,16809,29439,706,229,90,0,0,0,0,0,2020-11-14T16:40:53Z,26.71715,R+27,Trump +27,republican,26.71715,45269,33.6,42480,19.42,maryland,2020-11-16T00:42:23.040954Z
24017,Charles,89063,0,44,44,Released as a precinct as first report of the night,100,87699,>98%,>98% reported,edison,2,unknown,,19179,,,62171,25579,769,408,136,0,0,0,0,0,2020-11-15T06:37:51Z,41.08552,D+41,Biden +41,democrat,-41.08552,78303,-30.3,75222,-31.37,maryland,2020-11-16T00:42:23.040954Z
24019,Dorchester,15934,0,36,39,Other,93,17061,93%,93% reported,edison,2,none,,3944,,,6857,8764,174,97,42,0,0,0,0,0,2020-11-14T16:40:54Z,11.96812,R+12,Trump +12,republican,11.96812,15225,14.2,15444,4.66,maryland,2020-11-16T00:42:23.040954Z
24021,Frederick,140410,52530,79,79,Released as a precinct as first report of the night,100,140758,>98%,>98% reported,edison,4,some,,22179,,,75094,62221,2195,660,240,20063,31486,681,208,92,2020-11-14T16:40:54Z,9.16815,D+9,Biden +9,democrat,-9.16815,125677,2.4,117115,3.12,maryland,2020-11-16T00:42:23.040954Z
24023,Garrett,15577,0,20,20,Released separately AFTER election night,99,15692,>98%,>98% reported,edison,2,none,,2480,,,3281,12000,212,64,20,0,0,0,0,0,2020-11-14T16:40:54Z,55.97355,R+56,Trump +56,republican,55.97355,14011,58.6,13157,50.31,maryland,2020-11-16T00:42:23.040954Z
24025,Harford,147221,68976,85,86,Released as a separate subtotal as first report of the night,98,149713,98%,98% reported,edison,4,some,,26224,,,63095,80930,2473,577,146,22216,45623,899,200,38,2020-11-14T16:40:54Z,12.11444,R+12,Trump +12,republican,12.11444,133672,23,125954,18.41,maryland,2020-11-16T00:42:23.040954Z
24027,Howard,181324,60430,119,119,Released separately AFTER election night,100,181656,>98%,>98% reported,edison,2,some,,48738,,,129433,48390,2471,785,245,35872,23430,810,248,70,2020-11-14T16:40:55Z,44.69513,D+45,Biden +45,democrat,-44.69513,162193,-34,153108,-21.97,maryland,2020-11-16T00:42:23.040954Z
24029,Kent,10740,0,11,11,None,96,11224,96%,96% reported,edison,2,none,,3816,,,5329,5195,117,68,31,0,0,0,0,0,2020-11-14T16:40:55Z,1.24767,D+1.2,Biden +1.2,democrat,-1.24767,10021,3,9904,0.28,maryland,2020-11-16T00:42:23.040954Z
24031,Montgomery,480242,0,240,269,Released as a precinct as first report of the night,90,536338,90%,90% reported,edison,2,unknown,,124702,,,378957,93466,3822,2737,1260,0,0,0,0,0,2020-11-15T06:37:51Z,59.44732,D+59,Biden +59,democrat,-59.44732,478873,-55.4,455992,-43.87,maryland,2020-11-16T00:42:23.040954Z
24033,Prince George's,407943,306363,269,288,None,100,312395,>98%,>98% reported,edison,6,some,,111886,,,366037,35624,1707,3223,1352,278000,24509,982,2015,857,2020-11-14T16:40:55Z,80.99489,D+81,Biden +81,democrat,-80.99489,390385,-79.7,387744,-80.52,maryland,2020-11-16T00:42:23.040954Z
