fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_simmonsj,results_pierceb,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_simmonsj,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
40035,Craig,6032,1371,12,12,Released as a separate subtotal as first report of the night,100,6032,>98%,>98% reported,edison,10,unknown,,944,,,4686,1217,88,20,10,11,910,443,12,3,3,0,2020-11-24T13:23:01Z,57.50995,R+58,Trump +58,republican,57.50995,5785,52.4,5306,34.15,oklahoma,2020-11-29T00:49:41.097Z
40037,Creek,30505,6068,35,35,Released as a separate subtotal as first report of the night,100,30505,>98%,>98% reported,edison,10,unknown,,6525,,,23294,6577,438,83,64,49,3607,2366,65,6,15,9,2020-11-24T13:23:06Z,54.80085,R+55,Trump +55,republican,54.80085,28830,54.6,26114,45.41,oklahoma,2020-11-29T00:49:41.097Z
40039,Custer,10691,2545,13,13,Released as a separate subtotal as first report of the night,100,10691,>98%,>98% reported,edison,10,unknown,,2330,,,8060,2369,197,31,20,14,1670,832,33,2,7,1,2020-11-24T13:23:10Z,53.23169,R+53,Trump +53,republican,53.23169,10541,54.3,9805,51.88,oklahoma,2020-11-29T00:49:41.097Z
40041,Delaware,17245,4236,22,22,Released as a separate subtotal as first report of the night,100,17245,>98%,>98% reported,edison,10,unknown,,3314,,,13557,3472,136,33,29,18,2765,1414,36,5,9,7,2020-11-24T13:23:14Z,58.48072,R+58,Trump +58,republican,58.48072,15716,54.2,14276,41.22,oklahoma,2020-11-29T00:49:41.097Z
40043,Dewey,2359,372,9,9,Released as a separate subtotal as first report of the night,100,2359,>98%,>98% reported,edison,10,unknown,,440,,,2124,214,12,5,2,2,329,39,3,0,0,1,2020-11-24T13:23:17Z,80.96651,R+81,Trump +81,republican,80.96651,2248,77.5,2093,71.24,oklahoma,2020-11-29T00:49:41.097Z
40045,Ellis,1873,389,7,7,Released as a separate subtotal as first report of the night,100,1873,>98%,>98% reported,edison,10,unknown,,469,,,1688,162,18,3,1,1,332,50,5,2,0,0,2020-11-24T13:23:18Z,81.47357,R+81,Trump +81,republican,81.47357,1827,79.7,1801,74.9,oklahoma,2020-11-29T00:49:41.097Z
40047,Garfield,22430,5342,30,30,Released as a separate subtotal as first report of the night,100,22430,>98%,>98% reported,edison,10,unknown,,5979,,,16970,4919,371,70,61,39,3269,1966,74,7,12,14,2020-11-24T13:23:21Z,53.72715,R+54,Trump +54,republican,53.72715,21710,53.5,19910,52.46,oklahoma,2020-11-29T00:49:41.097Z
40049,Garvin,10922,2293,17,17,Released as a separate subtotal as first report of the night,100,10922,>98%,>98% reported,edison,10,unknown,,2240,,,8878,1865,115,34,18,12,1660,603,16,7,4,3,2020-11-24T13:23:23Z,64.20985,R+64,Trump +64,republican,64.20985,10546,60.7,9484,46.04,oklahoma,2020-11-29T00:49:41.097Z
40051,Grady,23101,5510,28,28,Released as a separate subtotal as first report of the night,100,23101,>98%,>98% reported,edison,10,unknown,,4398,,,18538,4144,287,68,34,30,3752,1665,69,7,7,10,2020-11-24T13:23:25Z,62.30899,R+62,Trump +62,republican,62.30899,22286,60.3,19619,51.21,oklahoma,2020-11-29T00:49:41.097Z
40053,Grant,2226,439,7,7,Released as a separate subtotal as first report of the night,100,2226,>98%,>98% reported,edison,10,unknown,,400,,,1916,280,24,2,2,2,330,100,8,1,0,0,2020-11-24T13:23:26Z,73.49506,R+73,Trump +73,republican,73.49506,2201,69.9,2068,61.99,oklahoma,2020-11-29T00:49:41.097Z
