fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_pierceb,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36001,Albany,154101,0,317,317,Merged into voters' home precincts AFTER election night,98,156602,98%,98% reported,edison,4,none,,,,,99474,51081,1523,779,649,595,0,0,0,0,0,0,2020-11-28T13:55:50Z,31.40343,D+31,Biden +31,democrat,-31.40343,139818,-25.2,135767,-31.3,new-york,2020-11-29T00:49:35.917007Z
36003,Allegany,20782,0,34,34,Merged into voters' home precincts AFTER election night,99,20935,>98%,>98% reported,edison,2,unknown,,,,,6048,14135,338,88,81,92,0,0,0,0,0,0,2020-11-24T13:22:07Z,38.91348,R+39,Trump +39,republican,38.91348,18692,40.9,16953,25.08,new-york,2020-11-29T00:49:35.917007Z
36005,Bronx,329638,0,706,959,Merged into voters' home precincts AFTER election night,74,447465,74%,74% reported,edison,2,unknown,,,,,271835,55849,607,1020,,327,0,0,0,0,,0,2020-11-24T13:22:09Z,65.52218,D+66,Biden +66,democrat,-65.52218,399522,-79.1,370935,-83.37,new-york,2020-11-29T00:49:35.917007Z
36047,Brooklyn,693937,0,1331,1730,Merged into voters' home precincts AFTER election night,77,902278,77%,77% reported,edison,2,unknown,,,,,514133,174731,1852,2704,,517,0,0,0,0,,0,2020-11-24T13:22:43Z,48.90963,D+49,Biden +49,democrat,-48.90963,805605,-62,730534,-65.05,new-york,2020-11-29T00:49:35.917007Z
36007,Broome,92853,20452,136,141,Merged into voters' home precincts AFTER election night,96,96401,96%,96% reported,edison,4,unknown,,,,,46909,43728,1100,432,313,371,14620,5369,196,115,75,77,2020-11-24T13:22:10Z,3.42585,D+3,Biden +3,democrat,-3.42585,86072,2,81565,-5.31,new-york,2020-11-29T00:49:35.917007Z
36009,Cattaraugus,34845,0,44,51,Merged into voters' home precincts AFTER election night,100,34900,>98%,>98% reported,edison,2,unknown,,,,,11879,22155,450,113,94,154,0,0,0,0,0,0,2020-11-24T20:18:01Z,29.4906,R+29,Trump +29,republican,29.4906,31161,32.7,29767,13.17,new-york,2020-11-29T00:49:35.917007Z
36011,Cayuga,36433,6137,38,47,Merged into voters' home precincts AFTER election night,98,37153,98%,98% reported,edison,4,some,,,,,16143,19495,399,185,49,162,4150,1856,64,30,0,37,2020-11-24T13:24:45Z,9.20045,R+9,Trump +9,republican,9.20045,33172,11.6,31161,-11.4,new-york,2020-11-29T00:49:35.917007Z
36013,Chautauqua,59304,0,54,55,Merged into voters' home precincts AFTER election night,98,60742,98%,98% reported,edison,2,unknown,,,,,23087,34853,756,203,133,272,0,0,0,0,0,0,2020-11-24T13:22:16Z,19.84015,R+20,Trump +20,republican,19.84015,54234,23.1,52852,7.87,new-york,2020-11-29T00:49:35.917007Z
36015,Chemung,39410,0,89,89,Merged into voters' home precincts AFTER election night,97,40453,97%,97% reported,edison,2,unknown,,,,,16636,21922,560,117,13,162,0,0,0,0,0,0,2020-11-25T02:14:23Z,13.41284,R+13,Trump +13,republican,13.41284,36119,17.6,35010,2.33,new-york,2020-11-29T00:49:35.917007Z
36017,Chenango,22269,4992,31,31,Merged into voters' home precincts AFTER election night,99,22579,>98%,>98% reported,edison,2,unknown,,,,,8251,13464,316,107,51,80,3125,1728,61,37,15,26,2020-11-24T13:22:21Z,23.40922,R+23,Trump +23,republican,23.40922,20160,25.5,19314,3.09,new-york,2020-11-29T00:49:35.917007Z
