fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_tubervillet,results_jonesd,results_write_ins,results_absentee_tubervillet,results_absentee_jonesd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
01045,Dale,19603,0,19,20,None,100,19699,>98%,>98% reported,edison,6,all,,1464,,,13633,5938,32,0,0,0,2020-11-16T15:47:51Z,39.2542,R+39,Tuberville +39,republican,alabama,2020-11-23T00:46:36.666785Z
01047,Dallas,17813,0,25,30,Released as a precinct in the middle of the night,94,18927,94%,94% reported,edison,4,all,,1571,,,5297,12501,15,0,0,0,2020-11-16T21:54:59Z,40.44237,D+40,Jones +40,democrat,alabama,2020-11-23T00:46:36.666785Z
01049,DeKalb,29213,0,53,53,Released as a precinct as first report of the night,100,29322,>98%,>98% reported,edison,6,all,,1682,,,23920,5240,53,0,0,0,2020-11-16T15:47:52Z,63.94413,R+64,Tuberville +64,republican,alabama,2020-11-23T00:46:36.666785Z
01051,Elmore,40780,0,29,30,"As a precinct in the FIRST cumulative report, along with regular precincts",100,40891,>98%,>98% reported,edison,6,some,,2117,,,29381,11339,60,0,0,0,2020-11-16T15:47:52Z,44.24228,R+44,Tuberville +44,republican,alabama,2020-11-23T00:46:36.666785Z
01053,Escambia,15807,0,31,33,None,100,15861,>98%,>98% reported,edison,6,all,,848,,,10401,5392,14,0,0,0,2020-11-16T15:47:53Z,31.68849,R+32,Tuberville +32,republican,alabama,2020-11-23T00:46:36.666785Z
01055,Etowah,47326,0,31,32,"As a precinct in the FIRST cumulative report, along with regular precincts",100,47358,>98%,>98% reported,edison,6,all,,2245,,,34179,13054,93,0,0,0,2020-11-16T15:47:53Z,44.6372,R+45,Tuberville +45,republican,alabama,2020-11-23T00:46:36.666785Z
01057,Fayette,8741,481,26,28,Released as a precinct as first report of the night,99,8794,>98%,>98% reported,edison,4,unknown,,362,,,7084,1646,11,281,200,0,2020-11-16T15:47:54Z,62.21256,R+62,Tuberville +62,republican,alabama,2020-11-23T00:46:36.666785Z
01059,Franklin,12466,0,23,25,Released as a precinct as first report of the night,99,12564,>98%,>98% reported,edison,6,all,,653,,,9844,2602,20,0,0,0,2020-11-16T15:47:54Z,58.09402,R+58,Tuberville +58,republican,alabama,2020-11-23T00:46:36.666785Z
01061,Geneva,12515,0,27,28,Released separately AFTER election night,100,12534,>98%,>98% reported,edison,2,unknown,,507,,,10378,2119,18,0,0,0,2020-11-16T15:47:55Z,65.99281,R+66,Tuberville +66,republican,alabama,2020-11-23T00:46:36.666785Z
01063,Greene,4775,1565,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",99,4824,>98%,>98% reported,edison,2,all,,590,,,816,3958,1,92,1473,0,2020-11-16T15:47:57Z,65.80105,D+66,Jones +66,democrat,alabama,2020-11-23T00:46:36.666785Z
01065,Hale,7904,1474,13,15,None,100,7922,>98%,>98% reported,edison,6,all,,982,,,3090,4810,4,171,1302,1,2020-11-16T21:55:06Z,21.76113,D+22,Jones +22,democrat,alabama,2020-11-23T00:46:36.666785Z
01067,Henry,9246,0,15,15,"As a precinct in the FIRST cumulative report, along with regular precincts",100,9043,>98%,>98% reported,edison,4,unknown,,994,,,6384,2853,9,0,0,0,2020-11-16T15:47:58Z,38.18949,R+38,Tuberville +38,republican,alabama,2020-11-23T00:46:36.666785Z
01069,Houston,45608,0,27,28,Released as a precinct as first report of the night,100,45750,>98%,>98% reported,edison,6,all,,3363,,,31225,14307,76,0,0,0,2020-11-16T15:47:58Z,37.09437,R+37,Tuberville +37,republican,alabama,2020-11-23T00:46:36.666785Z
01071,Jackson,23470,0,31,31,Released as a precinct as first report of the night,100,22369,>98%,>98% reported,edison,4,none,,1483,,,18867,4574,29,0,0,0,2020-11-16T21:49:15Z,60.89902,R+61,Tuberville +61,republican,alabama,2020-11-23T00:46:36.666785Z
01073,Jefferson,324335,0,165,173,Released as a precinct as first report of the night,100,275449,>98%,>98% reported,edison,6,some,,15352,,,133931,189854,550,0,0,0,2020-11-16T21:55:22Z,17.24236,D+17,Jones +17,democrat,alabama,2020-11-23T00:46:36.666785Z
01075,Lamar,7154,475,24,26,Released as a precinct as first report of the night,100,7187,>98%,>98% reported,edison,6,some,,790,,,6081,1070,3,343,129,3,2020-11-16T15:48:00Z,70.04473,R+70,Tuberville +70,republican,alabama,2020-11-23T00:46:36.666785Z
01077,Lauderdale,43841,0,32,32,Released as a precinct as first report of the night,99,44149,>98%,>98% reported,edison,6,unknown,,2931,,,29929,13825,87,0,0,0,2020-11-16T21:49:55Z,36.73274,R+37,Tuberville +37,republican,alabama,2020-11-23T00:46:36.666785Z
01079,Lawrence,15880,862,29,30,Released as a precinct in the middle of the night,100,15957,>98%,>98% reported,edison,6,all,,725,,,11655,4192,33,413,446,3,2020-11-16T15:48:01Z,46.99622,R+47,Tuberville +47,republican,alabama,2020-11-23T00:46:36.666785Z
01081,Lee,70788,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,66294,>98%,>98% reported,edison,2,unknown,,4032,,,40962,29714,112,0,0,0,2020-11-16T15:48:02Z,15.8897,R+16,Tuberville +16,republican,alabama,2020-11-23T00:46:36.666785Z
01083,Limestone,48560,0,26,26,Released as a precinct as first report of the night,99,49000,>98%,>98% reported,edison,2,unknown,,2880,,,33074,15396,90,0,0,0,2020-11-16T21:49:49Z,36.40445,R+36,Tuberville +36,republican,alabama,2020-11-23T00:46:36.666785Z
01085,Lowndes,6814,0,12,13,Merged into voters' home precincts and released with cumulative results,100,6794,>98%,>98% reported,edison,2,unknown,,576,,,1766,5046,2,0,0,0,2020-11-16T21:55:37Z,48.13619,D+48,Jones +48,democrat,alabama,2020-11-23T00:46:36.666785Z
01087,Macon,8691,0,12,14,Released as a precinct as first report of the night,100,8697,>98%,>98% reported,edison,6,all,,715,,,1478,7201,12,0,0,0,2020-11-16T15:48:03Z,65.84973,D+66,Jones +66,democrat,alabama,2020-11-23T00:46:36.666785Z
