fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_dainess,results_bullocks,results_absentee_dainess,results_absentee_bullocks,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
30001,Beaverhead,5665,0,16,16,Merged into voters' home precincts AFTER election night,100,5665,>98%,>98% reported,edison,8,all,,4174,,,3775,1890,0,0,2020-11-19T21:03:18Z,33.27449,R+33,Daines +33,republican,montana,2020-11-23T00:47:19.842722Z
30003,Big Horn,4793,0,19,19,Released as a separate subtotal as first report of the night,100,4794,>98%,>98% reported,edison,8,some,,2040,,,2106,2687,0,0,2020-11-19T21:42:49Z,12.12184,D+12,Bullock +12,democrat,montana,2020-11-23T00:47:19.842722Z
30005,Blaine,3135,0,8,8,Merged into voters' home precincts AFTER election night,100,3135,>98%,>98% reported,edison,6,all,,1576,,,1343,1792,0,0,2020-11-19T18:37:24Z,14.32217,D+14,Bullock +14,democrat,montana,2020-11-23T00:47:19.842722Z
30007,Broadwater,4110,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4110,>98%,>98% reported,edison,6,all,,2206,,,3107,1003,0,0,2020-11-19T21:43:05Z,51.19221,R+51,Daines +51,republican,montana,2020-11-23T00:47:19.842722Z
30009,Carbon,6995,0,13,13,Merged into voters' home precincts and released with cumulative results,99,7101,>98%,>98% reported,edison,8,all,,4579,,,4404,2591,0,0,2020-11-19T21:43:26Z,25.91851,R+26,Daines +26,republican,montana,2020-11-23T00:47:19.842722Z
30011,Carter,861,0,4,4,Merged into voters' home precincts and released with cumulative results,100,864,>98%,>98% reported,edison,8,unknown,,414,,,767,94,0,0,2020-11-16T15:48:13Z,78.16492,R+78,Daines +78,republican,montana,2020-11-23T00:47:19.842722Z
30013,Cascade,40039,0,23,23,Merged into voters' home precincts and released with cumulative results,100,40039,>98%,>98% reported,edison,8,all,,42859,,,22312,17727,0,0,2020-11-19T21:57:36Z,11.45133,R+11,Daines +11,republican,montana,2020-11-23T00:47:19.842722Z
30015,Chouteau,2992,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2992,>98%,>98% reported,edison,8,all,,2205,,,1813,1179,0,0,2020-11-19T21:44:00Z,21.18984,R+21,Daines +21,republican,montana,2020-11-23T00:47:19.842722Z
30017,Custer,5860,0,14,14,Merged into voters' home precincts AFTER election night,100,5883,>98%,>98% reported,edison,8,unknown,,3874,,,3995,1865,0,0,2020-11-19T21:44:16Z,36.34812,R+36,Daines +36,republican,montana,2020-11-23T00:47:19.842722Z
30019,Daniels,1030,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1030,>98%,>98% reported,edison,8,unknown,,595,,,787,243,0,0,2020-11-16T15:48:14Z,52.81553,R+53,Daines +53,republican,montana,2020-11-23T00:47:19.842722Z
