fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_cornynj,results_hegarm,results_mckennonk,results_collinsda,results_write_ins,results_absentee_cornynj,results_absentee_hegarm,results_absentee_mckennonk,results_absentee_collinsda,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
48299,Llano,12596,11135,9,10,Released as a precinct as first report of the night,98,12897,98%,98% reported,edison,2,unknown,,11573,,,10047,2331,171,47,,8855,2120,121,39,,2020-11-19T21:51:04Z,61.25754,R+61,Cornyn +61,republican,texas,2020-11-23T00:47:50.530696Z
48301,Loving,66,45,4,5,Released as a precinct as first report of the night,78,85,78%,78% reported,edison,2,unknown,,56,,,58,5,3,0,,41,3,1,0,,2020-11-16T15:48:10Z,80.30303,R+80,Cornyn +80,republican,texas,2020-11-23T00:47:50.530696Z
48303,Lubbock,119498,105230,91,98,Released as a precinct as first report of the night,99,120204,>98%,>98% reported,edison,6,all,,108791,,,79459,36319,3018,702,,70495,31861,2348,526,,2020-11-19T21:51:03Z,36.10102,R+36,Cornyn +36,republican,texas,2020-11-23T00:47:50.530696Z
48305,Lynn,2263,2263,13,15,Released as a precinct as first report of the night,95,2373,95%,95% reported,edison,2,unknown,,1615,,,1817,411,25,10,0,1817,411,25,10,0,2020-11-16T15:48:13Z,62.12992,R+62,Cornyn +62,republican,texas,2020-11-23T00:47:50.530696Z
48313,Madison,5223,4325,5,5,Released as a precinct as first report of the night,100,5065,>98%,>98% reported,edison,2,unknown,,4216,,,4118,1030,61,14,,3399,874,40,12,,2020-11-19T21:51:02Z,59.12311,R+59,Cornyn +59,republican,texas,2020-11-23T00:47:50.530696Z
48315,Marion,4758,3637,9,10,Released as a precinct as first report of the night,94,5057,94%,94% reported,edison,2,unknown,,3462,,,3380,1276,85,17,,2566,1001,57,13,,2020-11-19T21:51:02Z,44.22026,R+44,Cornyn +44,republican,texas,2020-11-23T00:47:50.530696Z
48317,Martin,2112,1667,6,6,Released as a precinct as first report of the night,100,2081,>98%,>98% reported,edison,2,unknown,,738,,,1811,263,27,11,,1443,196,20,8,,2020-11-16T15:48:19Z,73.29545,R+73,Cornyn +73,republican,texas,2020-11-23T00:47:50.530696Z
48319,Mason,2553,2293,5,5,Released as a precinct as first report of the night,100,2429,>98%,>98% reported,edison,2,unknown,,2092,,,1979,542,25,7,,1775,492,20,6,,2020-11-16T15:48:21Z,56.28672,R+56,Cornyn +56,republican,texas,2020-11-23T00:47:50.530696Z
48321,Matagorda,13482,10783,16,19,Released as a precinct as first report of the night,94,14402,94%,94% reported,edison,2,unknown,,12052,,,9647,3551,222,62,,7680,2901,156,46,,2020-11-19T21:51:02Z,45.21584,R+45,Cornyn +45,republican,texas,2020-11-23T00:47:50.530696Z
48323,Maverick,14291,10691,14,14,Released as a precinct as first report of the night,81,17664,81%,81% reported,edison,2,unknown,,9456,,,5708,7958,269,349,7,4114,6189,170,213,5,2020-11-16T15:48:23Z,15.74417,D+16,Hegar +16,democrat,texas,2020-11-23T00:47:50.530696Z
48307,McCulloch,3385,2632,3,4,Released as a precinct as first report of the night,92,3664,92%,92% reported,edison,2,unknown,,3128,,,2843,460,63,19,,2195,382,44,11,,2020-11-19T21:51:00Z,70.39882,R+70,Cornyn +70,republican,texas,2020-11-23T00:47:50.530696Z
48309,McLennan,96126,78872,86,92,Released as a precinct as first report of the night,98,97624,98%,98% reported,edison,2,some,,70693,,,60036,33439,2015,636,,48454,28574,1404,440,,2020-11-19T21:51:00Z,27.66889,R+28,Cornyn +28,republican,texas,2020-11-23T00:47:50.530696Z
48311,McMullen,500,359,4,5,Released as a precinct as first report of the night,76,654,76%,76% reported,edison,2,unknown,,417,,,454,43,2,1,,337,21,1,0,,2020-11-16T15:48:16Z,82.2,R+82,Cornyn +82,republican,texas,2020-11-23T00:47:50.530696Z
48325,Medina,22210,19554,8,8,Released as a precinct as first report of the night,100,20366,>98%,>98% reported,edison,2,unknown,,18044,,,15594,6207,313,96,,13784,5441,250,79,,2020-11-19T21:50:59Z,42.26475,R+42,Cornyn +42,republican,texas,2020-11-23T00:47:50.530696Z
48327,Menard,1000,779,6,7,Released as a precinct as first report of the night,89,1123,89%,89% reported,edison,2,unknown,,813,,,797,189,10,4,,620,154,2,3,,2020-11-19T21:50:59Z,60.8,R+61,Cornyn +61,republican,texas,2020-11-23T00:47:50.530696Z
