fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_dunnn,results_write_ins,results_absentee_dunnn,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,dunnn,dunnn_1,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12005,Bay,78363,0,44,44,Released as a precinct as first report of the night,100,78363,>98%,>98% reported,edison,10,unknown,82646,76997,1366,0,0,2020-11-16T17:30:15Z,96.51366,R+97,Dunn +97,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12013,Calhoun,5677,4030,14,15,Released as a precinct as first report of the night,100,5677,>98%,>98% reported,edison,10,all,5416,5662,15,4030,0,2020-11-16T17:30:15Z,99.47155,R+99,Dunn +99,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12023,Columbia,24561,18993,18,19,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,24561,>98%,>98% reported,edison,10,some,28810,24293,268,18993,0,2020-11-16T17:30:14Z,97.81768,R+98,Dunn +98,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12029,Dixie,7034,4757,11,12,Released as a separate subtotal as first report of the night,100,7034,>98%,>98% reported,edison,10,some,5219,6993,41,4757,0,2020-11-16T17:30:14Z,98.83423,R+99,Dunn +99,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12037,Franklin,5356,3767,8,8,Released as a precinct as first report of the night,100,5356,>98%,>98% reported,edison,10,all,4651,5220,136,3767,0,2020-11-16T17:30:14Z,94.92158,R+95,Dunn +95,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12041,Gilchrist,8560,5180,10,10,Released as a precinct as first report of the night,100,8560,>98%,>98% reported,edison,10,some,5958,8484,76,5180,0,2020-11-16T17:30:14Z,98.2243,R+98,Dunn +98,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12045,Gulf,6880,0,10,10,Released as a precinct as first report of the night,100,6880,>98%,>98% reported,edison,10,all,7363,6806,74,0,0,2020-11-16T17:30:14Z,97.84884,R+98,Dunn +98,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12059,Holmes,2985,2142,3,3,Released as a precinct as first report of the night,100,2985,>98%,>98% reported,edison,10,unknown,6853,2968,17,2142,0,2020-11-16T17:30:14Z,98.86097,R+99,Dunn +99,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12063,Jackson,18403,13837,14,14,Released as a precinct as first report of the night,100,18403,>98%,>98% reported,edison,10,all,19451,18262,141,13837,0,2020-11-16T17:30:13Z,98.46764,R+98,Dunn +98,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
12065,Jefferson,597,0,2,2,Released as a precinct as first report of the night,100,597,>98%,>98% reported,edison,10,all,6382,586,11,0,0,2020-11-16T17:30:13Z,96.31491,R+96,Dunn +96,republican,,,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",311999,126366,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,294,303,97% reporting,97%,100,311999,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-20T14:23:22Z,TRUE,95.72947,298675,R+96,Dunn +96,republican,"","",0,0,1604451716493
