fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_westermanb,results_hansonw,results_gilbertf,results_absentee_westermanb,results_absentee_hansonw,results_absentee_gilbertf,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
05003,Ashley,7864,7850,26,30,Released as a separate subtotal as first report of the night,100,7850,>98%,>98% reported,edison,6,unknown,5934,5603,2092,169,5595,2086,169,2020-11-16T15:48:19Z,44.64649,R+45,Westerman +45,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05011,Bradley,3610,2516,12,14,Released as a precinct as first report of the night,97,3707,97%,97% reported,edison,2,unknown,2557,2398,1124,88,1619,842,55,2020-11-16T17:38:43Z,35.29086,R+35,Westerman +35,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05013,Calhoun,2147,1384,17,20,Released as a precinct as first report of the night,93,2302,93%,93% reported,edison,2,unknown,1190,1649,457,41,1041,317,26,2020-11-16T15:48:21Z,55.51933,R+56,Westerman +56,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05019,Clark,8295,6452,27,27,Merged into voters' home precincts and released with cumulative results,100,8257,>98%,>98% reported,edison,6,unknown,6814,4967,3137,191,3645,2671,136,2020-11-19T14:00:53Z,22.06148,R+22,Westerman +22,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05025,Cleveland,3551,2134,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",95,3756,95%,95% reported,edison,2,unknown,1656,2893,581,77,1688,406,40,2020-11-16T15:48:22Z,65.10842,R+65,Westerman +65,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05027,Columbia,8456,7190,12,14,"As a precinct in the FIRST cumulative report, along with regular precincts",100,8395,>98%,>98% reported,edison,6,all,9640,5591,2700,165,4803,2263,124,2020-11-17T15:17:42Z,34.18874,R+34,Westerman +34,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05033,Crawford,6827,5141,12,12,Released as a precinct as first report of the night,97,7021,97%,97% reported,edison,4,some,10542,5458,1126,243,4100,874,167,2020-11-16T15:47:43Z,63.45393,R+63,Westerman +63,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05039,Dallas,2601,1669,8,9,Released as a precinct as first report of the night,92,2813,92%,92% reported,edison,2,unknown,2288,1615,928,58,947,691,31,2020-11-16T15:48:23Z,26.41292,R+26,Westerman +26,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05043,Drew,6838,5388,18,19,Released as a precinct as first report of the night,93,7386,93%,93% reported,edison,2,some,5899,4447,2221,170,3491,1779,118,2020-11-17T20:00:43Z,32.55338,R+33,Westerman +33,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
05047,Franklin,7040,5417,36,39,Merged into voters' home precincts and released with cumulative results,93,7582,93%,93% reported,edison,2,unknown,4789,5689,1171,180,4326,967,124,2020-11-16T15:47:46Z,64.17614,R+64,Westerman +64,republican,AR-G-H-4-2020-11-03,ar-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",273802,206703,33,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,786,871,90% reporting,90%,93,304000,edison,93%,93% reported,edison,republican,FALSE,2020-11-23T19:30:48Z,TRUE,42.11218,115304,R+42,Westerman +42,republican,"","",0,0,1604461623462
