fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_wrightr,results_daniels,results_blackm,results_absentee_wrightr,results_absentee_daniels,results_absentee_blackm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48139,Ellis,84137,73833,50,50,Released as a precinct as first report of the night,100,84021,>98%,>98% reported,edison,6,all,56843,56889,24595,2653,49810,21949,2074,2020-11-19T21:51:05Z,38.38264,R+38,Wright +38,republican,TX-G-H-6-2020-11-03,tx-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339992,295134,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,295,93% reporting,93%,94,360000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,8.81697,29977,R+9,Wright +9,republican,"","",1,0,1604472544284
48349,Navarro,18902,13888,26,30,Released as a precinct as first report of the night,88,21480,88%,88% reported,edison,2,unknown,13004,13807,4629,466,10063,3518,307,2020-11-19T21:51:08Z,48.55571,R+49,Wright +49,republican,TX-G-H-6-2020-11-03,tx-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339992,295134,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,295,93% reporting,93%,94,360000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,8.81697,29977,R+9,Wright +9,republican,"","",1,0,1604472544284
48439,Tarrant,236953,207413,199,215,Released as a precinct as first report of the night,93,255692,93%,93% reported,edison,4,some,685898,108811,120306,7836,94315,106976,6122,2020-11-16T21:17:42Z,4.85117,D+5,Daniel +5,democrat,TX-G-H-6-2020-11-03,tx-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,likely-rep,6,District 6,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339992,295134,3,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,275,295,93% reporting,93%,94,360000,edison,94%,94% reported,edison,republican,FALSE,2020-11-20T14:19:44Z,TRUE,8.81697,29977,R+9,Wright +9,republican,"","",1,0,1604472544284
