fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
46003,Aurora,1405,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1405,>98%,>98% reported,edison,10,unknown,,349,,,1052,317,36,0,0,0,2020-11-16T15:48:27Z,52.31317,R+52,Trump +52,republican,52.31317,1407,45.1,1400,17.71,south-dakota,2020-11-20T00:43:33.000254Z
46005,Beadle,7081,0,10,10,Merged into voters' home precincts and released with cumulative results,100,7090,>98%,>98% reported,edison,10,unknown,,3675,,,4808,2107,166,0,0,0,2020-11-16T15:48:27Z,38.14433,R+38,Trump +38,republican,38.14433,6772,37.6,7263,18.57,south-dakota,2020-11-20T00:43:33.000254Z
46007,Bennett,1183,0,4,4,Merged into voters' home precincts and released with cumulative results,100,1183,>98%,>98% reported,edison,10,unknown,,352,,,694,466,23,0,0,0,2020-11-16T15:48:27Z,19.27303,R+19,Trump +19,republican,19.27303,1149,22.1,1203,6.48,south-dakota,2020-11-20T00:43:33.000254Z
46009,Bon Homme,3001,0,5,5,Merged into voters' home precincts and released with cumulative results,100,3001,>98%,>98% reported,edison,10,unknown,,656,,,2235,721,45,0,0,0,2020-11-16T15:48:27Z,50.44985,R+50,Trump +50,republican,50.44985,2974,47.1,3074,21.57,south-dakota,2020-11-20T00:43:33.000254Z
46011,Brookings,14567,0,9,9,Released as a separate subtotal as first report of the night,100,14567,>98%,>98% reported,edison,10,unknown,,11464,,,8000,6110,457,0,0,0,2020-11-16T15:48:27Z,12.97453,R+13,Trump +13,republican,12.97453,12680,14.7,12400,3.17,south-dakota,2020-11-20T00:43:33.000254Z
46013,Brown,17547,0,12,12,Other,100,17547,>98%,>98% reported,edison,10,unknown,,7536,,,10580,6538,429,0,0,0,2020-11-16T15:48:27Z,23.03528,R+23,Trump +23,republican,23.03528,16114,25.8,16068,6.67,south-dakota,2020-11-20T00:43:33.000254Z
46015,Brule,2490,0,5,5,Merged into voters' home precincts and released with cumulative results,100,2491,>98%,>98% reported,edison,10,unknown,,987,,,1750,673,67,0,0,0,2020-11-16T15:48:27Z,43.25301,R+43,Trump +43,republican,43.25301,2288,43.4,2379,28.37,south-dakota,2020-11-20T00:43:33.000254Z
46017,Buffalo,549,0,3,3,Merged into voters' home precincts and released with cumulative results,100,549,>98%,>98% reported,edison,10,unknown,,347,,,183,352,14,0,0,0,2020-11-16T15:48:28Z,30.78324,D+31,Biden +31,democrat,-30.78324,490,-25.5,641,-47.74,south-dakota,2020-11-20T00:43:33.000254Z
46019,Butte,4802,0,16,16,Merged into voters' home precincts and released with cumulative results,100,4802,>98%,>98% reported,edison,10,unknown,,2926,,,3731,939,132,0,0,0,2020-11-16T15:48:28Z,58.14244,R+58,Trump +58,republican,58.14244,4351,61.2,4208,49.22,south-dakota,2020-11-20T00:43:33.000254Z
46021,Campbell,873,0,5,5,Merged into voters' home precincts and released with cumulative results,100,873,>98%,>98% reported,edison,10,unknown,,146,,,747,117,9,0,0,0,2020-11-16T15:48:28Z,72.16495,R+72,Trump +72,republican,72.16495,831,72.1,787,58.83,south-dakota,2020-11-20T00:43:33.000254Z
