fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_de_la_fuenter,results_carrollb,results_la_rivag,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_de_la_fuenter,results_absentee_carrollb,results_absentee_la_rivag,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
44001,Bristol,28239,0,17,17,,,,,"",edison,,,,,,,18050,9745,326,41,39,38,0,0,0,0,0,0,2020-11-16T15:48:15Z,29.40968,D+29,Biden +29,democrat,-29.40968,25475,-22.2,24676,-23.27,rhode-island,2020-11-20T00:44:09.355639Z
44003,Kent,92571,0,70,70,,,,,"",edison,,,,,,,49112,41999,1065,164,131,100,0,0,0,0,0,0,2020-11-16T15:48:29Z,7.68383,D+8,Biden +8,democrat,-7.68383,82053,0.7,78923,-17.74,rhode-island,2020-11-20T00:44:09.355639Z
44005,Newport,45900,0,31,31,,,,,"",edison,,,,,,,29485,15722,504,71,61,57,0,0,0,0,0,0,2020-11-16T15:48:22Z,29.98475,D+30,Biden +30,democrat,-29.98475,41045,-18.9,39452,-20.94,rhode-island,2020-11-20T00:44:09.355639Z
44007,Providence,271306,0,250,259,,,,,"",edison,,,,,,,164997,102546,2291,497,422,553,0,0,0,0,0,0,2020-11-16T15:48:20Z,23.01866,D+23,Biden +23,democrat,-23.01866,248474,-20.9,239786,-34.92,rhode-island,2020-11-20T00:44:09.355639Z
44009,Washington,75586,0,44,44,,,,,"",edison,,,,,,,44548,29818,861,150,114,95,0,0,0,0,0,0,2020-11-16T15:48:20Z,19.48774,D+19,Biden +19,democrat,-19.48774,66369,-9.8,62879,-16.73,rhode-island,2020-11-20T00:44:09.355639Z
