fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
25001,Barnstable,148389,0,64,65,,,,,"",edison,,,,,,,90617,54759,1847,612,554,0,0,0,0,0,2020-11-16T15:48:12Z,24.16486,D+24,Biden +24,democrat,-24.16486,135781,-13.5,133115,-7.79,massachusetts,2020-11-20T00:43:59.747998Z
25003,Berkshire,70125,0,56,59,,,,,"",edison,,,,,,,50864,17713,911,463,174,0,0,0,0,0,2020-11-16T15:48:04Z,47.27415,D+47,Biden +47,democrat,-47.27415,65617,-41,64486,-53.64,massachusetts,2020-11-20T00:43:59.747998Z
25005,Bristol,274045,16404,163,172,,,,,"",edison,,,,,,,150063,118085,3590,1364,943,9544,6550,186,61,63,2020-11-16T15:47:59Z,11.66889,D+12,Biden +12,democrat,-11.66889,252140,-9.6,241509,-20.38,massachusetts,2020-11-20T00:43:59.747998Z
25007,Dukes,12595,0,6,7,,,,,"",edison,,,,,,,9763,2588,134,81,29,0,0,0,0,0,2020-11-16T15:48:00Z,56.96705,D+57,Biden +57,democrat,-56.96705,11674,-50.7,10968,-47.28,massachusetts,2020-11-20T00:43:59.747998Z
25009,Essex,414348,0,230,240,,,,,"",edison,,,,,,,262332,142822,5205,1839,2150,0,0,0,0,0,2020-11-16T15:48:00Z,28.8429,D+29,Biden +29,democrat,-28.8429,385370,-22.3,366357,-16.33,massachusetts,2020-11-20T00:43:59.747998Z
25011,Franklin,41106,876,37,40,,,,,"",edison,,,,,,,29048,10875,666,363,154,662,196,16,2,0,2020-11-16T15:48:01Z,44.21009,D+44,Biden +44,democrat,-44.21009,38821,-36.4,37758,-46.95,massachusetts,2020-11-20T00:43:59.747998Z
25013,Hampden,215225,5630,154,166,,,,,"",edison,,,,,,,124231,86191,2865,1142,796,3574,1973,67,16,0,2020-11-16T15:48:03Z,17.67453,D+18,Biden +18,democrat,-17.67453,206101,-16.5,200399,-25.06,massachusetts,2020-11-20T00:43:59.747998Z
25015,Hampshire,85304,4916,49,56,,,,,"",edison,,,,,,,61555,21807,1008,710,224,2340,2440,91,45,0,2020-11-16T15:48:02Z,46.5957,D+47,Biden +47,democrat,-46.5957,84193,-39.9,81621,-43.96,massachusetts,2020-11-20T00:43:59.747998Z
25017,Middlesex,842171,10502,450,474,,,,,"",edison,,,,,,,599370,223374,10411,4496,4520,6970,3326,124,41,41,2020-11-16T15:47:58Z,44.64604,D+45,Biden +45,democrat,-44.64604,796735,-37.7,754170,-27.11,massachusetts,2020-11-20T00:43:59.747998Z
25019,Nantucket,7297,4518,1,1,,,,,"",edison,,,,,,,5234,1912,81,41,29,3587,861,36,21,13,2020-11-16T15:48:12Z,45.52556,D+46,Biden +46,democrat,-45.52556,6508,-34.6,6120,-26.85,massachusetts,2020-11-20T00:43:59.747998Z
25021,Norfolk,401272,24338,208,211,,,,,"",edison,,,,,,,268378,123839,5090,1710,2255,19312,4601,255,72,98,2020-11-16T15:47:58Z,36.02021,D+36,Biden +36,democrat,-36.02021,367695,-27.8,356523,-15.24,massachusetts,2020-11-20T00:43:59.747998Z
25023,Plymouth,298477,40570,142,143,,,,,"",edison,,,,,,,171347,120192,4266,1287,1385,28363,11371,445,162,229,2020-11-16T15:48:06Z,17.13867,D+17,Biden +17,democrat,-17.13867,271177,-7.4,256531,-4.19,massachusetts,2020-11-20T00:43:59.747998Z
25025,Suffolk,314110,0,297,298,,,,,"",edison,,,,,,,252661,55699,2677,1560,1513,0,0,0,0,0,2020-11-16T15:47:58Z,62.70478,D+63,Biden +63,democrat,-62.70478,313283,-62.3,289098,-56.69,massachusetts,2020-11-20T00:43:59.747998Z
25027,Worcester,425133,20145,233,242,,,,,"",edison,,,,,,,243957,169758,7080,2477,1861,12409,7134,373,120,109,2020-11-16T15:47:59Z,17.45313,D+17,Biden +17,democrat,-17.45313,389951,-10.5,369112,-9.44,massachusetts,2020-11-20T00:43:59.747998Z
