fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36001,Albany,121529,0,246,317,Merged into voters' home precincts AFTER election night,78,156602,78%,78% reported,edison,4,unknown,,,,,73189,45570,1258,574,478,460,0,0,0,0,0,0,2020-11-16T15:47:55Z,22.72626,D+23,Biden +23,democrat,-22.72626,139818,-25.2,135767,-31.3,new-york,2020-11-20T00:43:13.213240Z
36003,Allegany,20782,0,34,34,Merged into voters' home precincts AFTER election night,99,20935,>98%,>98% reported,edison,2,unknown,,,,,6048,14135,338,88,92,81,0,0,0,0,0,0,2020-11-19T17:38:40Z,38.91348,R+39,Trump +39,republican,38.91348,18692,40.9,16953,25.08,new-york,2020-11-20T00:43:13.213240Z
36005,Bronx,329638,0,706,959,Merged into voters' home precincts AFTER election night,74,447465,74%,74% reported,edison,2,unknown,,,,,271835,55849,607,1020,327,,0,0,0,0,0,,2020-11-16T15:47:57Z,65.52218,D+66,Biden +66,democrat,-65.52218,399522,-79.1,370935,-83.37,new-york,2020-11-20T00:43:13.213240Z
36047,Brooklyn,693937,0,1331,1730,Merged into voters' home precincts AFTER election night,77,902278,77%,77% reported,edison,2,unknown,,,,,514133,174731,1852,2704,517,,0,0,0,0,0,,2020-11-16T15:48:13Z,48.90963,D+49,Biden +49,democrat,-48.90963,805605,-62,730534,-65.05,new-york,2020-11-20T00:43:13.213240Z
36007,Broome,92828,20452,136,141,Merged into voters' home precincts AFTER election night,96,96401,96%,96% reported,edison,4,some,,,,,46895,43720,1098,432,370,313,14620,5369,196,115,77,75,2020-11-19T16:15:51Z,3.4203,D+3,Biden +3,democrat,-3.4203,86072,2,81565,-5.31,new-york,2020-11-20T00:43:13.213240Z
36009,Cattaraugus,30051,0,44,51,Merged into voters' home precincts AFTER election night,86,34900,86%,86% reported,edison,2,unknown,,,,,9142,20295,387,93,134,,0,0,0,0,0,,2020-11-16T15:47:58Z,37.11357,R+37,Trump +37,republican,37.11357,31161,32.7,29767,13.17,new-york,2020-11-20T00:43:13.213240Z
36011,Cayuga,36433,6137,38,47,Merged into voters' home precincts AFTER election night,98,37153,98%,98% reported,edison,4,some,,,,,16143,19495,399,185,162,49,4150,1856,64,30,37,0,2020-11-17T14:16:02Z,9.20045,R+9,Trump +9,republican,9.20045,33172,11.6,31161,-11.4,new-york,2020-11-20T00:43:13.213240Z
36013,Chautauqua,59283,0,44,55,Merged into voters' home precincts AFTER election night,98,60742,98%,98% reported,edison,2,unknown,,,,,23075,34846,755,202,272,133,0,0,0,0,0,0,2020-11-16T15:48:00Z,19.85561,R+20,Trump +20,republican,19.85561,54234,23.1,52852,7.87,new-york,2020-11-20T00:43:13.213240Z
36015,Chemung,31646,0,70,89,Merged into voters' home precincts AFTER election night,78,40453,78%,78% reported,edison,2,unknown,,,,,11573,19388,480,83,122,,0,0,0,0,0,,2020-11-16T15:48:01Z,24.69506,R+25,Trump +25,republican,24.69506,36119,17.6,35010,2.33,new-york,2020-11-20T00:43:13.213240Z
36017,Chenango,17277,0,24,31,Merged into voters' home precincts AFTER election night,77,22579,77%,77% reported,edison,2,unknown,,,,,5126,11736,255,70,54,36,0,0,0,0,0,0,2020-11-18T16:20:03Z,38.25896,R+38,Trump +38,republican,38.25896,20160,25.5,19314,3.09,new-york,2020-11-20T00:43:13.213240Z
