fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13301,Warren,2651,2188,1,1,Other,99,2681,>98%,>98% reported,edison,10,unknown,,1914,,,1469,1166,16,0,1191,987,10,0,2020-11-19T18:43:54Z,11.42965,D+11,Biden +11,democrat,-11.42965,2334,-13.8,2526,-21.34,georgia,2020-11-20T00:43:08.139660Z
13303,Washington,9459,6872,8,8,None,100,9459,>98%,>98% reported,edison,10,unknown,,6994,,,4730,4663,66,,3654,3177,41,,2020-11-16T15:48:23Z,0.70832,D+0.71,Biden +0.71,democrat,-0.70832,8485,-0.6,8808,-7.71,georgia,2020-11-20T00:43:08.139660Z
13305,Wayne,12778,9779,12,12,None,100,12778,>98%,>98% reported,edison,10,all,,8427,,,2687,9987,104,,2225,7485,69,,2020-11-16T15:48:24Z,57.12944,R+57,Trump +57,republican,57.12944,10440,58.5,10269,48.31,georgia,2020-11-20T00:43:08.139660Z
13307,Webster,1390,1109,1,1,Released as a precinct as first report of the night,100,1390,>98%,>98% reported,edison,10,unknown,,994,,,639,748,3,0,497,609,3,0,2020-11-16T15:48:24Z,7.84173,R+8,Trump +8,republican,7.84173,1116,14.1,1187,1.6,georgia,2020-11-20T00:43:08.139660Z
13309,Wheeler,2285,1645,2,2,None,100,2284,>98%,>98% reported,edison,6,unknown,,293,,,689,1583,13,,492,1145,8,,2020-11-16T15:48:25Z,39.12473,R+39,Trump +39,republican,39.12473,2102,36.9,2160,27.5,georgia,2020-11-20T00:43:08.139660Z
13311,White,14816,10910,11,11,Released as a precinct at the end of tabulation,100,14816,>98%,>98% reported,edison,10,all,,8221,,,2411,12222,183,,2039,8768,103,,2020-11-16T15:48:26Z,66.21895,R+66,Trump +66,republican,66.21895,11912,67.9,10488,66.55,georgia,2020-11-20T00:43:08.139660Z
13313,Whitfield,36746,24711,23,23,None,100,36746,>98%,>98% reported,edison,6,unknown,,18126,,,10670,25636,440,,7837,16628,246,,2020-11-16T15:48:27Z,40.72824,R+41,Trump +41,republican,40.72824,30776,44.2,26876,45,georgia,2020-11-20T00:43:08.139660Z
13315,Wilcox,3281,2245,6,6,None,100,3281,>98%,>98% reported,edison,10,unknown,,2054,,,862,2403,16,0,577,1660,8,0,2020-11-16T15:48:27Z,46.96739,R+47,Trump +47,republican,46.96739,2976,41.8,3129,31.74,georgia,2020-11-20T00:43:08.139660Z
13317,Wilkes,5029,3798,7,7,None,100,5029,>98%,>98% reported,edison,10,some,,3725,,,2160,2823,46,0,1651,2116,31,0,2020-11-19T18:44:24Z,13.18354,R+13,Trump +13,republican,13.18354,4486,16.1,4761,11.51,georgia,2020-11-20T00:43:08.139660Z
13319,Wilkinson,4770,2926,9,9,Released as a separate subtotal as first report of the night,100,4770,>98%,>98% reported,edison,10,unknown,,2746,,,2075,2664,31,0,1544,1368,14,0,2020-11-16T15:48:29Z,12.34801,R+12,Trump +12,republican,12.34801,4297,10.2,4450,1.46,georgia,2020-11-20T00:43:08.139660Z
13321,Worth,9285,5903,15,15,None,100,9286,>98%,>98% reported,edison,10,unknown,,5098,,,2395,6830,60,0,1814,4051,38,0,2020-11-19T18:47:06Z,47.76521,R+48,Trump +48,republican,47.76521,8319,49.7,8419,40.17,georgia,2020-11-20T00:43:08.139660Z
