fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_warnerm,results_gaded,results_absentee_warnerm,results_absentee_gaded,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
51001,Accomack,16802,8569,17,17,Released separately AFTER election night,71,23766,71%,71% reported,edison,10,unknown,,1487,,,7939,8863,5569,3000,2020-11-22T16:18:01Z,5.49935,R+5,Gade +5,republican,virginia,2020-11-24T00:49:18.323457Z
51003,Albemarle,63430,42507,31,31,Released as a precinct at the end of tabulation,98,64657,98%,98% reported,edison,10,unknown,,6993,,,42730,20700,33176,9331,2020-11-22T14:13:39Z,34.7312,D+35,Warner +35,democrat,virginia,2020-11-24T00:49:18.323457Z
51510,Alexandria,81873,65545,31,31,Released as a precinct at the end of tabulation,99,82508,>98%,>98% reported,edison,10,unknown,,19940,,,65071,16802,54818,10727,2020-11-22T15:04:09Z,58.95594,D+59,Warner +59,democrat,virginia,2020-11-24T00:49:18.323457Z
51005,Alleghany,7981,2662,13,13,Released as a separate subtotal at the end of tabulation,97,8203,97%,97% reported,edison,10,unknown,,550,,,2822,5159,1380,1282,2020-11-22T14:14:19Z,29.28204,R+29,Gade +29,republican,virginia,2020-11-24T00:49:18.323457Z
51007,Amelia,7825,4331,6,6,Released as a precinct at the end of tabulation,99,7893,>98%,>98% reported,edison,10,unknown,,822,,,2559,5266,1786,2545,2020-11-22T15:04:21Z,34.59425,R+35,Gade +35,republican,virginia,2020-11-24T00:49:18.323457Z
51009,Amherst,16897,8400,12,12,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,17005,>98%,>98% reported,edison,10,all,,1222,,,6273,10624,4080,4320,2020-11-22T16:18:41Z,25.75013,R+26,Gade +26,republican,virginia,2020-11-24T00:49:18.323457Z
51011,Appomattox,9047,4487,10,10,Released as a precinct in the middle of the night,98,9268,98%,98% reported,edison,10,unknown,,525,,,2741,6306,1689,2798,2020-11-22T15:05:13Z,39.40533,R+39,Gade +39,republican,virginia,2020-11-24T00:49:18.323457Z
51013,Arlington,129470,106823,55,55,Released as a precinct at the end of tabulation,99,130699,>98%,>98% reported,edison,10,unknown,,37665,,,102880,26590,89563,17260,2020-11-22T16:19:02Z,58.92485,D+59,Warner +59,democrat,virginia,2020-11-24T00:49:18.323457Z
51015,Augusta,42018,20904,26,26,Released separately AFTER election night,99,42278,>98%,>98% reported,edison,10,unknown,,2612,,,12224,29794,8314,12590,2020-11-22T15:05:50Z,41.81541,R+42,Gade +42,republican,virginia,2020-11-24T00:49:18.323457Z
51017,Bath,2432,744,8,8,Released as a precinct in the middle of the night,97,2501,97%,97% reported,edison,10,unknown,,202,,,744,1688,377,367,2020-11-22T15:06:01Z,38.81579,R+39,Gade +39,republican,virginia,2020-11-24T00:49:18.323457Z
