fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_sotod,results_olsonb,results_absentee_sotod,results_absentee_olsonb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12095,Orange,100374,82235,37,39,Released as a separate subtotal as first report of the night,96,104787,96%,96% reported,edison,4,unknown,424003,62020,38354,52989,29246,2020-11-11T03:26:38Z,23.57782,D+24,Soto +24,democrat,,,FL-G-H-9-2020-11-03,fl-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",429208,203670,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,214,216,99% reporting,99%,98,439000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-11T03:26:31Z,TRUE,12.03682,51663,D+12,Soto +12,democrat,"","",0,0,1604450851155
12097,Osceola,168888,0,100,100,Released as a separate subtotal as first report of the night,100,165073,>98%,>98% reported,edison,6,unknown,109152,103127,65746,0,0,2020-11-11T03:26:38Z,22.1336,D+22,Soto +22,democrat,15,0,FL-G-H-9-2020-11-03,fl-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",429208,203670,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,214,216,99% reporting,99%,98,439000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-11T03:26:31Z,TRUE,12.03682,51663,D+12,Soto +12,democrat,"","",0,0,1604450851155
12105,Polk,160420,121349,77,77,Released as a separate subtotal as first report of the night,100,160031,>98%,>98% reported,edison,6,some,195002,75535,84763,62190,59070,2020-11-11T03:26:39Z,5.7524,R+6,Olson +6,republican,122,89,FL-G-H-9-2020-11-03,fl-house-general-district-009-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-9.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 9,U.S. House,H,solid-dem,9,District 9,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",429208,203670,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,214,216,99% reporting,99%,98,439000,edison,98%,98% reported,edison,democrat,FALSE,2020-11-11T03:26:31Z,TRUE,12.03682,51663,D+12,Soto +12,democrat,"","",0,0,1604450851155
