fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_rosendalem,results_williamsk,results_absentee_rosendalem,results_absentee_williamsk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
30001,Beaverhead,5628,0,16,16,Merged into voters' home precincts AFTER election night,100,5627,>98%,>98% reported,edison,6,all,4174,3811,1817,0,0,2020-11-11T03:26:31Z,35.42999,R+35,Rosendale +35,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30003,Big Horn,4668,0,18,19,Released as a separate subtotal as first report of the night,98,4786,98%,98% reported,edison,2,some,2040,2082,2586,0,0,2020-11-11T03:26:31Z,10.79692,D+11,Williams +11,democrat,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30005,Blaine,3098,0,8,8,Merged into voters' home precincts AFTER election night,100,3098,>98%,>98% reported,edison,6,all,1576,1391,1707,0,0,2020-11-11T03:26:31Z,10.20013,D+10,Williams +10,democrat,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30007,Broadwater,4045,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4045,>98%,>98% reported,edison,6,all,2206,3116,929,0,0,2020-11-11T03:26:31Z,54.06675,R+54,Rosendale +54,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30009,Carbon,7006,0,13,13,Merged into voters' home precincts and released with cumulative results,100,7006,>98%,>98% reported,edison,6,all,4579,4422,2584,0,0,2020-11-11T03:26:32Z,26.23466,R+26,Rosendale +26,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30011,Carter,854,0,4,4,Merged into voters' home precincts and released with cumulative results,97,882,97%,97% reported,edison,2,unknown,414,758,96,0,0,2020-11-11T03:26:32Z,77.51756,R+78,Rosendale +78,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30013,Cascade,39567,0,22,23,Merged into voters' home precincts and released with cumulative results,100,39567,>98%,>98% reported,edison,6,all,42859,22606,16961,0,0,2020-11-11T03:25:59Z,14.26694,R+14,Rosendale +14,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30015,Chouteau,2953,0,9,9,Merged into voters' home precincts and released with cumulative results,100,2953,>98%,>98% reported,edison,6,all,2205,1817,1136,0,0,2020-11-11T03:25:59Z,23.06129,R+23,Rosendale +23,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30017,Custer,5841,0,13,14,Merged into voters' home precincts AFTER election night,100,5841,>98%,>98% reported,edison,6,unknown,3874,4071,1770,0,0,2020-11-11T03:25:59Z,39.39394,R+39,Rosendale +39,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
30019,Daniels,1015,0,4,4,Merged into voters' home precincts and released with cumulative results,97,1050,97%,97% reported,edison,2,unknown,595,786,229,0,0,2020-11-11T03:26:00Z,54.87685,R+55,Rosendale +55,republican,MT-G-H-1-2020-11-03,mt-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-montana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-montana.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,lean-rep,1,At-Large,MT,montana,Montana,Mont.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",598549,0,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,650,663,98% reporting,98%,99,590000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:48Z,FALSE,12.00887,71879,R+12,Rosendale +12,republican,"","",0,0,1604473773708
