fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_guthrieb,results_lindermanh,results_perryr,results_carterl,results_absentee_guthrieb,results_absentee_lindermanh,results_absentee_perryr,results_absentee_carterl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
21091,Hancock,4510,0,9,10,Released as a separate subtotal as first report of the night,87,5195,87%,87% reported,edison,2,unknown,474,3172,1226,83,29,0,0,0,0,2020-11-16T15:47:47Z,43.14856,R+43,Guthrie +43,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21093,Hardin,48512,0,55,59,Released as a separate subtotal as first report of the night,93,52202,93%,93% reported,edison,2,unknown,2776,31241,15604,1227,440,0,0,0,0,2020-11-16T15:47:48Z,32.23326,R+32,Guthrie +32,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21099,Hart,8217,0,18,19,Other,94,8788,94%,94% reported,edison,2,unknown,614,6330,1684,169,34,0,0,0,0,2020-11-16T15:47:49Z,56.54132,R+57,Guthrie +57,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21113,Jessamine,7639,0,10,11,Merged into voters' home precincts and released with cumulative results,90,8481,90%,90% reported,edison,4,some,1824,5527,1857,200,55,0,0,0,0,2020-11-16T15:47:58Z,48.04294,R+48,Guthrie +48,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21123,LaRue,7174,4556,11,12,None,93,7704,93%,93% reported,edison,4,all,507,5760,1208,136,70,3879,562,77,38,2020-11-16T15:47:50Z,63.45135,R+63,Guthrie +63,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21163,Meade,13846,0,18,19,Released as a separate subtotal as first report of the night,94,14797,94%,94% reported,edison,2,unknown,904,10135,3304,332,75,0,0,0,0,2020-11-16T15:47:50Z,49.33555,R+49,Guthrie +49,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21167,Mercer,11447,0,15,17,Merged into voters' home precincts and released with cumulative results,89,12807,89%,89% reported,edison,4,all,813,8461,2661,266,59,0,0,0,0,2020-11-16T15:47:58Z,50.6683,R+51,Guthrie +51,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21179,Nelson,22876,0,22,24,Merged into voters' home precincts and released with cumulative results,91,25135,91%,91% reported,edison,4,some,1342,16151,6178,402,145,0,0,0,0,2020-11-16T15:47:51Z,43.59591,R+44,Guthrie +44,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21215,Spencer,3090,0,4,4,Merged into voters' home precincts and released with cumulative results,97,3202,97%,97% reported,edison,2,unknown,654,2425,583,64,18,0,0,0,0,2020-11-16T15:47:51Z,59.61165,R+60,Guthrie +60,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21227,Warren,55104,44966,114,121,Other,100,53774,>98%,>98% reported,edison,6,all,3734,36177,17497,1115,315,29355,14630,762,219,2020-11-16T15:47:52Z,33.89954,R+34,Guthrie +34,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
21229,Washington,5821,0,12,13,None,89,6536,89%,89% reported,edison,4,all,418,4256,1423,103,39,0,0,0,0,2020-11-16T15:47:53Z,48.66861,R+49,Guthrie +49,republican,KY-G-H-2-2020-11-03,ky-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kentucky.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-kentucky.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,KY,kentucky,Kentucky,Ky.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",360388,87268,7,unknown,First polls close at 6 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,503,545,92% reporting,92%,92,393000,edison,92%,92% reported,edison,republican,FALSE,2020-11-16T15:48:26Z,TRUE,44.69905,161090,R+45,Guthrie +45,republican,"","",3,0,1604449875973
