fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_wasserman_schultzd,results_spaldingc,results_write_ins,results_absentee_wasserman_schultzd,results_absentee_spaldingc,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12011,Broward,345901,303126,211,214,Released as a separate subtotal as first report of the night,100,303252,>98%,>98% reported,edison,4,some,668379,203940,141886,75,185595,117531,0,2020-11-16T17:30:23Z,17.93982,D+18,Wasserman Schultz +18,democrat,FL-G-H-23-2020-11-03,fl-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-dem,23,District 23,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",380196,337218,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,236,240,98% reporting,98%,92,416000,edison,92%,92% reported,edison,democrat,FALSE,2020-11-16T17:30:26Z,TRUE,16.40338,62365,D+16,Wasserman Schultz +16,democrat,"","",0,0,1604449590227
12086,Miami-Dade,34295,34092,25,26,Released as a separate subtotal as first report of the night,95,36092,95%,95% reported,edison,4,unknown,773122,17299,16988,8,17191,16901,0,2020-11-16T17:30:23Z,0.90684,D+0.91,Wasserman Schultz +0.91,democrat,FL-G-H-23-2020-11-03,fl-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-dem,23,District 23,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",380196,337218,2,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,236,240,98% reporting,98%,92,416000,edison,92%,92% reported,edison,democrat,FALSE,2020-11-16T17:30:26Z,TRUE,16.40338,62365,D+16,Wasserman Schultz +16,democrat,"","",0,0,1604449590227
