fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_chabots,results_schroderk,results_kahnk,results_absentee_chabots,results_absentee_schroderk,results_absentee_kahnk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
39061,Hamilton,242761,135385,292,338,Released as a separate subtotal as first report of the night,86,281213,86%,86% reported,edison,4,unknown,183454,109345,125316,8100,45629,86069,3687,2020-11-16T15:48:21Z,6.5789,D+7,Schroder +7,democrat,,,OH-G-H-1-2020-11-03,oh-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Steve Chabot, a Republican from Cincinnati, is facing one of the biggest challenges of his political career against the Democratic challenger, Kate Schroder, a health industry executive. 
",tossup,TRUE,1,District 1,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372797,222936,2,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,467,513,91% reporting,91%,90,416000,edison,90%,90% reported,edison,republican,FALSE,2020-11-16T15:48:12Z,TRUE,7.39706,27576,R+7,Chabot +7,republican,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604465096229
39165,Warren,130036,87547,175,175,Merged into voters' home precincts and released with cumulative results,100,129979,>98%,>98% reported,edison,6,unknown,59072,84292,40745,4942,51265,33453,2795,2020-11-16T15:48:22Z,33.48842,R+33,Chabot +33,republican,57,34,OH-G-H-1-2020-11-03,oh-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-ohio.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-ohio.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Steve Chabot, a Republican from Cincinnati, is facing one of the biggest challenges of his political career against the Democratic challenger, Kate Schroder, a health industry executive. 
",tossup,TRUE,1,District 1,OH,ohio,Ohio,Ohio,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",372797,222936,2,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,467,513,91% reporting,91%,90,416000,edison,90%,90% reported,edison,republican,FALSE,2020-11-16T15:48:12Z,TRUE,7.39706,27576,R+7,Chabot +7,republican,"Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported reported for at least a week and a half after the election. Counties may report their full official count after their vote canvass, due by Nov. 18, but full statewide results will not be available until final certification, due by Nov. 28. ","Postmarked ballots have until Nov. 13 to arrive, but no additional results will be reported for at least a week and a half after the election.",10,-1,1604465096229
