fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_garbarinoa,results_gordonj,results_burgerh,results_write_ins,results_absentee_garbarinoa,results_absentee_gordonj,results_absentee_burgerh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race
36059,Nassau,90978,0,180,180,Merged into voters' home precincts AFTER election night,100,54760,>98%,>98% reported,edison,4,unknown,59630,30622,701,25,0,0,0,0,2020-11-16T15:47:55Z,31.88463,R+32,Garbarino +32,republican,NY-G-H-2-2020-11-03,ny-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jackie Gordon, a public-school teacher and a 29-year veteran of the Army Reserve, is the Democrat vying against Andrew Garbarino, a Republican state assemblyman, for the former seat of Representative Peter T. King, a 14-term Republican and Trump supporter who opted against another term.",tossup,TRUE,2,District 2,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",278214,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,443,518,86% reporting,86%,80,348000,edison,80%,80% reported,edison,republican,FALSE,2020-11-16T15:48:25Z,FALSE,15.4834,43077,R+15,Garbarino +15,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0
36103,Suffolk,187236,0,263,338,Merged into voters' home precincts AFTER election night,78,241075,78%,78% reported,edison,4,none,99674,85605,1957,,0,0,0,,2020-11-16T15:47:56Z,7.51405,R+8,Garbarino +8,republican,NY-G-H-2-2020-11-03,ny-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Jackie Gordon, a public-school teacher and a 29-year veteran of the Army Reserve, is the Democrat vying against Andrew Garbarino, a Republican state assemblyman, for the former seat of Representative Peter T. King, a 14-term Republican and Trump supporter who opted against another term.",tossup,TRUE,2,District 2,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,"",FALSE,"",278214,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,443,518,86% reporting,86%,80,348000,edison,80%,80% reported,edison,republican,FALSE,2020-11-16T15:48:25Z,FALSE,15.4834,43077,R+15,Garbarino +15,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0
