fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bushc,results_rogersa,results_furmana,results_absentee_bushc,results_absentee_rogersa,results_absentee_furmana,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29510,St. Louis City,128875,45778,199,222,None,100,45778,>98%,>98% reported,edison,6,all,23331,103183,22878,2814,39330,5756,692,2020-11-16T15:47:44Z,62.31232,D+62,Bush +62,democrat,MO-G-H-1-2020-11-03,mo-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",311357,45778,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,602,681,88% reporting,88%,88,352000,edison,88%,88% reported,edison,democrat,FALSE,2020-11-16T15:48:03Z,FALSE,59.85541,186364,D+60,Bush +60,democrat,"","",0,0,1604460598628
29189,St. Louis County,182482,0,403,459,Merged into voters' home precincts and released with cumulative results,88,207594,88%,88% reported,edison,4,all,107806,142337,36278,3867,0,0,0,2020-11-16T15:47:44Z,58.12025,D+58,Bush +58,democrat,MO-G-H-1-2020-11-03,mo-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-dem,1,District 1,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",311357,45778,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,602,681,88% reporting,88%,88,352000,edison,88%,88% reported,edison,democrat,FALSE,2020-11-16T15:48:03Z,FALSE,59.85541,186364,D+60,Bush +60,democrat,"","",0,0,1604460598628
